orig,new,sentence
hexaanion,hexaanions,Each of the two independent Na atoms which occupy centrosymmetric sites are coordinated by one of the vanadyl atoms of one of the two independent centrosymmetric V10O286 minus  hexaanions thus effectively linking the chains into infinite layered structure
protein:2:terminase:1:complex:0:consist:3:phage:0:numb:1:as:2:bacillus:0:subtili:1:bacteriophage,protein:2:terminase:1:complex:0:consist:3:phage:0:numb:1:as:2:bacillus:0:subtilis:1:bacteriophage,As in a number of other phages in the Bacillus subtilis bacteriophages SF6 and SPP1 the terminase complex consists of two proteins G1P and G2P
phage:0:numb:1:as:2:bacillus:0:subtili:1:bacteriophage,phage:0:numb:1:as:2:bacillus:0:subtilis:1:bacteriophage,As in a number of other phages in the Bacillus subtilis bacteriophages SF6 and SPP1 the terminase complex consists of two proteins G1P and G2P
bacillus:0:subtili:1:bacteriophage,bacillus:0:subtilis:1:bacteriophage,As in a number of other phages in the Bacillus subtilis bacteriophages SF6 and SPP1 the terminase complex consists of two proteins G1P and G2P
commonly:3:zachariasen:1:extinction:0:correction:2:application:4:assumption,commonly:3:zachariasens:1:extinction:0:correction:2:application:4:assumption,The assumption commonly made in the application of Zachariasens extinction correction ie that primary extinction is negligible is shown to be invalid in many cases
commonly:3:zachariasen:1:extinction:0:correction:2:application,commonly:3:zachariasens:1:extinction:0:correction:2:application,The assumption commonly made in the application of Zachariasens extinction correction ie that primary extinction is negligible is shown to be invalid in many cases
zachariasen:1:extinction:0:correction:2:application,zachariasens:1:extinction:0:correction:2:application,The assumption commonly made in the application of Zachariasens extinction correction ie that primary extinction is negligible is shown to be invalid in many cases
zachariasen:1:extinction:0:correction,zachariasens:1:extinction:0:correction,The assumption commonly made in the application of Zachariasens extinction correction ie that primary extinction is negligible is shown to be invalid in many cases
ti:3:k:2:-:1:a:0:edge:4:xanes:3:x:1:-:0:ray:2:absorption:4:near:1:-:0:edge:2:structure:0:spectrum,ti:3:k:2:-:1:a:0:edge:4:lanes:3:x:1:-:0:ray:2:absorption:4:near:1:-:0:edge:2:structure:0:spectrum,XANES Xray absorption nearedge structure spectra of the Ti Kedges of ATiO3 A
xanes:3:x:1:-:0:ray:2:absorption:4:near:1:-:0:edge:2:structure:0:spectrum,lanes:3:x:1:-:0:ray:2:absorption:4:near:1:-:0:edge:2:structure:0:spectrum,XANES Xray absorption nearedge structure spectra of the Ti Kedges of ATiO3 A
xanes:3:x:1:-:0:ray:2:absorption:4:near:1:-:0:edge:2:structure,lanes:3:x:1:-:0:ray:2:absorption:4:near:1:-:0:edge:2:structure,XANES Xray absorption nearedge structure spectra of the Ti Kedges of ATiO3 A
xanes:3:x:1:-:0:ray:2:absorption,lanes:3:x:1:-:0:ray:2:absorption,XANES Xray absorption nearedge structure spectra of the Ti Kedges of ATiO3 A
x:1:-:0:ray:2:powder:3:diffraction:4:measurment,x:1:-:0:ray:2:powder:3:diffraction:4:measurments,Lattice parameters of some binary and ternary alloys of copper aluminium cadmium indium and tin are given based on Xray powder diffraction measurments
measurment,measurments,Lattice parameters of some binary and ternary alloys of copper aluminium cadmium indium and tin are given based on Xray powder diffraction measurments
.:1:present:0:aurescen,.:1:present:0:aurescens,aurescens TC1 are presented
present:0:aurescen,present:0:aurescens,aurescens TC1 are presented
aurescen,aurescens,aurescens TC1 are presented
grain:0:boundary:1:quasicrystal:2:theory:3:interest:0:link,grain:0:boundary:1:quasicrystals:2:theory:3:interest:0:link,It establishes an interesting link between the theory of quasicrystals and grain boundaries
grain:0:boundary:1:quasicrystal:2:theory,grain:0:boundary:1:quasicrystals:2:theory,It establishes an interesting link between the theory of quasicrystals and grain boundaries
grain:0:boundary:1:quasicrystal,grain:0:boundary:1:quasicrystals,It establishes an interesting link between the theory of quasicrystals and grain boundaries
quasicrystal,quasicrystals,It establishes an interesting link between the theory of quasicrystals and grain boundaries
desulfovibrio:0:africanu:2:pfor:1:ferredoxin:0:oxidoreductase:3:homodimeric:1:kda:0:pyruvate:2:structure,desulfovibrio:0:africanus:2:pfor:1:ferredoxin:0:oxidoreductase:3:homodimeric:1:kda:0:pyruvate:2:structure,The structure of the homodimeric 267 emsp14 kDa pyruvateferredoxin oxidoreductase PFOR of Desulfovibrio africanus was solved with data from two crystals forms both containing two monomers per asymmetric unit
desulfovibrio:0:africanu:2:pfor:1:ferredoxin:0:oxidoreductase,desulfovibrio:0:africanus:2:pfor:1:ferredoxin:0:oxidoreductase,The structure of the homodimeric 267 emsp14 kDa pyruvateferredoxin oxidoreductase PFOR of Desulfovibrio africanus was solved with data from two crystals forms both containing two monomers per asymmetric unit
desulfovibrio:0:africanu,desulfovibrio:0:africanus,The structure of the homodimeric 267 emsp14 kDa pyruvateferredoxin oxidoreductase PFOR of Desulfovibrio africanus was solved with data from two crystals forms both containing two monomers per asymmetric unit
africanu,africanus,The structure of the homodimeric 267 emsp14 kDa pyruvateferredoxin oxidoreductase PFOR of Desulfovibrio africanus was solved with data from two crystals forms both containing two monomers per asymmetric unit
.:6:dermatophagoide:0:farinae:5:hdm:3:allergic:0:disease:1:because:2:speci:4:major:2:house:1:dust:0:mite,.:6:dermatophagoides:0:farinae:5:hdm:3:allergic:0:disease:1:because:2:speci:4:major:2:house:1:dust:0:mite,Dermatophagoides farinae is one of the major house dust mite HDM species that cause allergic diseases
dermatophagoide:0:farinae:5:hdm:3:allergic:0:disease:1:because:2:speci:4:major:2:house:1:dust:0:mite,dermatophagoides:0:farinae:5:hdm:3:allergic:0:disease:1:because:2:speci:4:major:2:house:1:dust:0:mite,Dermatophagoides farinae is one of the major house dust mite HDM species that cause allergic diseases
dermatophagoide:0:farinae,dermatophagoides:0:farinae,Dermatophagoides farinae is one of the major house dust mite HDM species that cause allergic diseases
dermatophagoide,dermatophagoides,Dermatophagoides farinae is one of the major house dust mite HDM species that cause allergic diseases
.:7:a:5:meningitidi:4:neisseria:0:lipid:3:phosphoethanolamine:0:moiety:1:addition:2:involve:6:enzyme:0:phosphoethanolamine:1:transferase,.:7:a:5:meningitidis:4:neisseria:0:lipid:3:phosphoethanolamine:0:moiety:1:addition:2:involve:6:enzyme:0:phosphoethanolamine:1:transferase,The enzyme phosphoethanolamine transferase A is involved in the addition of phosphoethanolamine moieties to lipid A in Neisseria meningitidis
a:5:meningitidi:4:neisseria:0:lipid:3:phosphoethanolamine:0:moiety:1:addition:2:involve:6:enzyme:0:phosphoethanolamine:1:transferase,a:5:meningitidis:4:neisseria:0:lipid:3:phosphoethanolamine:0:moiety:1:addition:2:involve:6:enzyme:0:phosphoethanolamine:1:transferase,The enzyme phosphoethanolamine transferase A is involved in the addition of phosphoethanolamine moieties to lipid A in Neisseria meningitidis
meningitidi,meningitidis,The enzyme phosphoethanolamine transferase A is involved in the addition of phosphoethanolamine moieties to lipid A in Neisseria meningitidis
pattern:0:nanostructure,pattern:0:nanostructures,A distinct signature of regular nearneighbour ordering is observed which is commonly observed in patterned nanostructures
nanostructure,nanostructures,A distinct signature of regular nearneighbour ordering is observed which is commonly observed in patterned nanostructures
eno:0:salt:1:cocrystal,eno:0:salt:1:cocrystals,The single crystals recrystallized from water pale brown and methanol yellow are equal to the dihydrate and the methanol vapor applied forms respectively and their crystal structure determination revealed that the cocrystals are 11 salt of ENO and 35DABA  
bacterial:0:speceis,bacterial:0:species,In other bacterial speceis 510CH2H4folate is directly synthesized by T and Hproteins that are enzymes in Glycine Cleavage System
speceis,species,In other bacterial speceis 510CH2H4folate is directly synthesized by T and Hproteins that are enzymes in Glycine Cleavage System
pathway:1:molecular:0:mechanisim,pathway:1:molecular:0:mechanism,To elucidate the molecular mechanisim of this pathway we have carried out the structural analysis of LigM LigM was purified by using IMPACT system provided from NEB which use intein and affinity chitinbinding tag
molecular:0:mechanisim,molecular:0:mechanism,To elucidate the molecular mechanisim of this pathway we have carried out the structural analysis of LigM LigM was purified by using IMPACT system provided from NEB which use intein and affinity chitinbinding tag
mechanisim,mechanism,To elucidate the molecular mechanisim of this pathway we have carried out the structural analysis of LigM LigM was purified by using IMPACT system provided from NEB which use intein and affinity chitinbinding tag
proinflammatory:0:cytokine:1:activation,proinflammatory:0:cytokines:1:activation,IPS1 is essential for the activation of proinflammatory cytokines and type 1 interferon
proinflammatory:0:cytokine,proinflammatory:0:cytokines,IPS1 is essential for the activation of proinflammatory cytokines and type 1 interferon
cytokine,cytokines,IPS1 is essential for the activation of proinflammatory cytokines and type 1 interferon
bdamage,damage,BDamage has been validated using a paired set of lowdosehighdose protein structures 3
pocn:1:-:0:ni:2:precursor:3:base:4:specie:5:substitue:6:influence,pocn:1:-:0:ni:2:precursor:3:base:4:specie:5:substitute:6:influence,In this presentation Xray crystallography is used to describe the influence of the substitue on the 18electron species based on POCNNi precursors
pocn:1:-:0:ni:2:precursor:3:base:4:specie:5:substitue,pocn:1:-:0:ni:2:precursor:3:base:4:specie:5:substitute,In this presentation Xray crystallography is used to describe the influence of the substitue on the 18electron species based on POCNNi precursors
substitue,substitute,In this presentation Xray crystallography is used to describe the influence of the substitue on the 18electron species based on POCNNi precursors
.:4:superconduct:0:parent:1:compund:2:isostructural:3:mn:0:ni:3:square:1:-:0:planar:2:coordinate:0:oxychloride,.:4:superconduct:0:parent:1:compound:2:isostructural:3:mn:0:ni:3:square:1:-:0:planar:2:coordinate:0:oxychloride,We present structural and magnetic properties of highvalent nickel oxyhalides Sr2NiO3X X  F Cl and squareplanar coordinated oxychlorides Sr2MO2Cl2 Mn Ni and Ba2PdO2Cl2 isostructural with superconducting parent compund Ca2CuO2Cl2
superconduct:0:parent:1:compund:2:isostructural:3:mn:0:ni:3:square:1:-:0:planar:2:coordinate:0:oxychloride,superconduct:0:parent:1:compound:2:isostructural:3:mn:0:ni:3:square:1:-:0:planar:2:coordinate:0:oxychloride,We present structural and magnetic properties of highvalent nickel oxyhalides Sr2NiO3X X  F Cl and squareplanar coordinated oxychlorides Sr2MO2Cl2 Mn Ni and Ba2PdO2Cl2 isostructural with superconducting parent compund Ca2CuO2Cl2
superconduct:0:parent:1:compund,superconduct:0:parent:1:compound,We present structural and magnetic properties of highvalent nickel oxyhalides Sr2NiO3X X  F Cl and squareplanar coordinated oxychlorides Sr2MO2Cl2 Mn Ni and Ba2PdO2Cl2 isostructural with superconducting parent compund Ca2CuO2Cl2
compund,compound,We present structural and magnetic properties of highvalent nickel oxyhalides Sr2NiO3X X  F Cl and squareplanar coordinated oxychlorides Sr2MO2Cl2 Mn Ni and Ba2PdO2Cl2 isostructural with superconducting parent compund Ca2CuO2Cl2
highly:0:stable:3:carbon:1:-:0:phosphorus:2:bond:4:contain:5:organophosphonate,highly:0:stable:3:carbon:1:-:0:phosphorus:2:bond:4:contain:5:organophosphonates,Organophosphonates which contain a highly stable carbonphosphorus bond are widely used as herbicidal chelation antiscale and medicinal agents
organophosphonate,organophosphonates,Organophosphonates which contain a highly stable carbonphosphorus bond are widely used as herbicidal chelation antiscale and medicinal agents
.:5:strategy:0:echo:3:unesco:0:iucr:1:flagship:2:initiative:4:south:0:africa:1:bloemfontein:2:regional:0:summit:1:meet:3:africa:0:nbsp:4:operational:1:crystallographic:0:laboratory:2:network:3:iucr:1:-:0:unesco:2:openlab,.:5:strategy:0:echo:3:unesco:0:iucr:1:flagship:2:initiative:4:south:0:africa:1:bloemfontein:2:regional:0:summit:1:meet:3:africa:0:nbsp:4:operational:1:crystallographic:0:laboratory:2:network:3:iucr:1:-:0:unesco:2:openlabs,Some of the UNESCOIUCr flagships initiatives echoing to this strategy are both the IUCrUNESCO OpenLabs a network of operational crystallographic laboratories nbsp in Africa and the Regional Summit meeting in Bloemfontein South Africa
strategy:0:echo:3:unesco:0:iucr:1:flagship:2:initiative:4:south:0:africa:1:bloemfontein:2:regional:0:summit:1:meet:3:africa:0:nbsp:4:operational:1:crystallographic:0:laboratory:2:network:3:iucr:1:-:0:unesco:2:openlab,strategy:0:echo:3:unesco:0:iucr:1:flagship:2:initiative:4:south:0:africa:1:bloemfontein:2:regional:0:summit:1:meet:3:africa:0:nbsp:4:operational:1:crystallographic:0:laboratory:2:network:3:iucr:1:-:0:unesco:2:openlabs,Some of the UNESCOIUCr flagships initiatives echoing to this strategy are both the IUCrUNESCO OpenLabs a network of operational crystallographic laboratories nbsp in Africa and the Regional Summit meeting in Bloemfontein South Africa
south:0:africa:1:bloemfontein:2:regional:0:summit:1:meet:3:africa:0:nbsp:4:operational:1:crystallographic:0:laboratory:2:network:3:iucr:1:-:0:unesco:2:openlab,south:0:africa:1:bloemfontein:2:regional:0:summit:1:meet:3:africa:0:nbsp:4:operational:1:crystallographic:0:laboratory:2:network:3:iucr:1:-:0:unesco:2:openlabs,Some of the UNESCOIUCr flagships initiatives echoing to this strategy are both the IUCrUNESCO OpenLabs a network of operational crystallographic laboratories nbsp in Africa and the Regional Summit meeting in Bloemfontein South Africa
africa:0:nbsp:4:operational:1:crystallographic:0:laboratory:2:network:3:iucr:1:-:0:unesco:2:openlab,africa:0:nbsp:4:operational:1:crystallographic:0:laboratory:2:network:3:iucr:1:-:0:unesco:2:openlabs,Some of the UNESCOIUCr flagships initiatives echoing to this strategy are both the IUCrUNESCO OpenLabs a network of operational crystallographic laboratories nbsp in Africa and the Regional Summit meeting in Bloemfontein South Africa
operational:1:crystallographic:0:laboratory:2:network:3:iucr:1:-:0:unesco:2:openlab,operational:1:crystallographic:0:laboratory:2:network:3:iucr:1:-:0:unesco:2:openlabs,Some of the UNESCOIUCr flagships initiatives echoing to this strategy are both the IUCrUNESCO OpenLabs a network of operational crystallographic laboratories nbsp in Africa and the Regional Summit meeting in Bloemfontein South Africa
iucr:1:-:0:unesco:2:openlab,iucr:1:-:0:unesco:2:openlabs,Some of the UNESCOIUCr flagships initiatives echoing to this strategy are both the IUCrUNESCO OpenLabs a network of operational crystallographic laboratories nbsp in Africa and the Regional Summit meeting in Bloemfontein South Africa
openlab,openlabs,Some of the UNESCOIUCr flagships initiatives echoing to this strategy are both the IUCrUNESCO OpenLabs a network of operational crystallographic laboratories nbsp in Africa and the Regional Summit meeting in Bloemfontein South Africa
kindly:5:et:0:al:2:dr:1:jim:0:brannigan:3:publication:4:provide:6:bacillus:0:subtili:2:cephalosporin:1:c:0:deacetylase:7:model,kindly:5:et:0:al:2:dr:1:jim:0:brannigan:3:publication:4:provide:6:bacillus:0:subtilis:2:cephalosporin:1:c:0:deacetylase:7:model,The cell parameters were compatible with a reasonable crystal packing as in the model cephalosporin C deacetylase from Bacillus subtilis kindly provided before publication by Dr Jim Brannigan et al
kindly:5:et:0:al:2:dr:1:jim:0:brannigan:3:publication:4:provide:6:bacillus:0:subtili:2:cephalosporin:1:c:0:deacetylase,kindly:5:et:0:al:2:dr:1:jim:0:brannigan:3:publication:4:provide:6:bacillus:0:subtilis:2:cephalosporin:1:c:0:deacetylase,The cell parameters were compatible with a reasonable crystal packing as in the model cephalosporin C deacetylase from Bacillus subtilis kindly provided before publication by Dr Jim Brannigan et al
bacillus:0:subtili:2:cephalosporin:1:c:0:deacetylase,bacillus:0:subtilis:2:cephalosporin:1:c:0:deacetylase,The cell parameters were compatible with a reasonable crystal packing as in the model cephalosporin C deacetylase from Bacillus subtilis kindly provided before publication by Dr Jim Brannigan et al
bacillus:0:subtili,bacillus:0:subtilis,The cell parameters were compatible with a reasonable crystal packing as in the model cephalosporin C deacetylase from Bacillus subtilis kindly provided before publication by Dr Jim Brannigan et al
subtili,subtilis,The cell parameters were compatible with a reasonable crystal packing as in the model cephalosporin C deacetylase from Bacillus subtilis kindly provided before publication by Dr Jim Brannigan et al
micrometre:0:range:1:structure:5:resorcinol:0:ndash:1:formaldehyde:2:gel:3:low:0:ph:4:formation:6:during:7:small:1:-:0:angle:4:x:1:-:0:ray:2:scatter:3:exhibit:5:.:4:reaction:0:time:1:function:3:non:1:-:0:monotonic:2:intensity:0:variation,micrometer:0:range:1:structure:5:resorcinol:0:ndash:1:formaldehyde:2:gel:3:low:0:ph:4:formation:6:during:7:small:1:-:0:angle:4:x:1:-:0:ray:2:scatter:3:exhibit:5:.:4:reaction:0:time:1:function:3:non:1:-:0:monotonic:2:intensity:0:variation,During the formation at low pH of resorcinol ndash formaldehyde gels with a structure in the micrometre range smallangle Xray scattering exhibits a nonmonotonic intensity variation as a function of reaction time
micrometre:0:range:1:structure:5:resorcinol:0:ndash:1:formaldehyde:2:gel:3:low:0:ph:4:formation,micrometer:0:range:1:structure:5:resorcinol:0:ndash:1:formaldehyde:2:gel:3:low:0:ph:4:formation,During the formation at low pH of resorcinol ndash formaldehyde gels with a structure in the micrometre range smallangle Xray scattering exhibits a nonmonotonic intensity variation as a function of reaction time
micrometre:0:range:1:structure,micrometer:0:range:1:structure,During the formation at low pH of resorcinol ndash formaldehyde gels with a structure in the micrometre range smallangle Xray scattering exhibits a nonmonotonic intensity variation as a function of reaction time
micrometre:0:range,micrometer:0:range,During the formation at low pH of resorcinol ndash formaldehyde gels with a structure in the micrometre range smallangle Xray scattering exhibits a nonmonotonic intensity variation as a function of reaction time
micrometre,micrometer,During the formation at low pH of resorcinol ndash formaldehyde gels with a structure in the micrometre range smallangle Xray scattering exhibits a nonmonotonic intensity variation as a function of reaction time
.:5:datum:0:detwin:1:sufficient:0:information:2:contain:4:perfect:1:hemihedral:0:twin:2:with:3:observe:0:intensity:1:volume:2:domain,.:5:datum:0:detain:1:sufficient:0:information:2:contain:4:perfect:1:hemihedral:0:twin:2:with:3:observe:0:intensity:1:volume:2:domain,With perfect hemihedral twinning the two domains have the same volumes and the observed intensities do not contain sufficient information to detwin the data
datum:0:detwin:1:sufficient:0:information:2:contain:4:perfect:1:hemihedral:0:twin:2:with:3:observe:0:intensity:1:volume:2:domain,datum:0:detain:1:sufficient:0:information:2:contain:4:perfect:1:hemihedral:0:twin:2:with:3:observe:0:intensity:1:volume:2:domain,With perfect hemihedral twinning the two domains have the same volumes and the observed intensities do not contain sufficient information to detwin the data
datum:0:detwin:1:sufficient:0:information,datum:0:detain:1:sufficient:0:information,With perfect hemihedral twinning the two domains have the same volumes and the observed intensities do not contain sufficient information to detwin the data
ncs:6:perfect:1:hemihedral:0:twin:2:affect:3:aichi:0:virus:1:set:2:aring:1:resolution:0:datum:4:detwin:5:average:7:noncrystallographic:0:symmetry:1:molecular:0:replacement:2:use,ncs:6:perfect:1:hemihedral:0:twin:2:affect:3:aichi:0:virus:1:set:2:aring:1:resolution:0:datum:4:detain:5:average:7:noncrystallographic:0:symmetry:1:molecular:0:replacement:2:use,Here the use of molecular replacement and of noncrystallographic symmetry NCS averaging to detwin a 21 emsp14  Aring  resolution data set for Aichi virus 1 affected by perfect hemihedral twinning is described
multimodular:0:scaffoldin:1:subunit,multimodular:0:scaffolding:1:subunit,The multimodular scaffoldin subunit CipA is the central component of the cellulosome a multienzyme plant cellwalldegrading complex from Clostridium thermocellum
multimodular:0:scaffoldin,multimodular:0:scaffolding,The multimodular scaffoldin subunit CipA is the central component of the cellulosome a multienzyme plant cellwalldegrading complex from Clostridium thermocellum
scaffoldin,scaffolding,The multimodular scaffoldin subunit CipA is the central component of the cellulosome a multienzyme plant cellwalldegrading complex from Clostridium thermocellum
celd:0:cellulase:2:-PRON-:0:dockerin:1:module:3:type:4:scaffoldin:0:cipa:4:trimodular:3:c:1:-:0:terminal:2:fragment:5:cell:1:-:0:surface:2:protein:0:sdba:6:type:0:ii:1:cohesin:2:module:3:comprise:7:heterotrimeric:0:complex:8:crystallization,celd:0:cellulase:2:-PRON-:0:dockerin:1:module:3:type:4:scaffolding:0:cipa:4:trimodular:3:c:1:-:0:terminal:2:fragment:5:cell:1:-:0:surface:2:protein:0:sdba:6:type:0:ii:1:cohesin:2:module:3:comprise:7:heterotrimeric:0:complex:8:crystallization,The crystallization of a heterotrimeric complex comprising the type II cohesin module from the cellsurface protein SdbA a trimodular Cterminal fragment of the scaffoldin CipA and the type I dockerin module from the CelD cellulase is reported
celd:0:cellulase:2:-PRON-:0:dockerin:1:module:3:type:4:scaffoldin:0:cipa:4:trimodular:3:c:1:-:0:terminal:2:fragment:5:cell:1:-:0:surface:2:protein:0:sdba:6:type:0:ii:1:cohesin:2:module:3:comprise:7:heterotrimeric:0:complex,celd:0:cellulase:2:-PRON-:0:dockerin:1:module:3:type:4:scaffolding:0:cipa:4:trimodular:3:c:1:-:0:terminal:2:fragment:5:cell:1:-:0:surface:2:protein:0:sdba:6:type:0:ii:1:cohesin:2:module:3:comprise:7:heterotrimeric:0:complex,The crystallization of a heterotrimeric complex comprising the type II cohesin module from the cellsurface protein SdbA a trimodular Cterminal fragment of the scaffoldin CipA and the type I dockerin module from the CelD cellulase is reported
celd:0:cellulase:2:-PRON-:0:dockerin:1:module:3:type:4:scaffoldin:0:cipa:4:trimodular:3:c:1:-:0:terminal:2:fragment:5:cell:1:-:0:surface:2:protein:0:sdba,celd:0:cellulase:2:-PRON-:0:dockerin:1:module:3:type:4:scaffolding:0:cipa:4:trimodular:3:c:1:-:0:terminal:2:fragment:5:cell:1:-:0:surface:2:protein:0:sdba,The crystallization of a heterotrimeric complex comprising the type II cohesin module from the cellsurface protein SdbA a trimodular Cterminal fragment of the scaffoldin CipA and the type I dockerin module from the CelD cellulase is reported
celd:0:cellulase:2:-PRON-:0:dockerin:1:module:3:type:4:scaffoldin:0:cipa:4:trimodular:3:c:1:-:0:terminal:2:fragment,celd:0:cellulase:2:-PRON-:0:dockerin:1:module:3:type:4:scaffolding:0:cipa:4:trimodular:3:c:1:-:0:terminal:2:fragment,The crystallization of a heterotrimeric complex comprising the type II cohesin module from the cellsurface protein SdbA a trimodular Cterminal fragment of the scaffoldin CipA and the type I dockerin module from the CelD cellulase is reported
scaffoldin:0:cipa:4:trimodular:3:c:1:-:0:terminal:2:fragment,scaffolding:0:cipa:4:trimodular:3:c:1:-:0:terminal:2:fragment,The crystallization of a heterotrimeric complex comprising the type II cohesin module from the cellsurface protein SdbA a trimodular Cterminal fragment of the scaffoldin CipA and the type I dockerin module from the CelD cellulase is reported
scaffoldin:0:cipa,scaffolding:0:cipa,The crystallization of a heterotrimeric complex comprising the type II cohesin module from the cellsurface protein SdbA a trimodular Cterminal fragment of the scaffoldin CipA and the type I dockerin module from the CelD cellulase is reported
theoretical:0:experimental:1:scatter:0:indicatrice:2:agreement,theoretical:0:experimental:1:scatter:0:indicatrices:2:agreement,It is also shown that several other physically reasonable shifts of helices or groups of helices do not lead to an agreement between the experimental and theoretical scattering indicatrices
theoretical:0:experimental:1:scatter:0:indicatrice,theoretical:0:experimental:1:scatter:0:indicatrices,It is also shown that several other physically reasonable shifts of helices or groups of helices do not lead to an agreement between the experimental and theoretical scattering indicatrices
scatter:0:indicatrice,scatter:0:indicatrices,It is also shown that several other physically reasonable shifts of helices or groups of helices do not lead to an agreement between the experimental and theoretical scattering indicatrices
indicatrice,indicatrices,It is also shown that several other physically reasonable shifts of helices or groups of helices do not lead to an agreement between the experimental and theoretical scattering indicatrices
type:1:order:0:superstucture:2:tetragonal:1:structure:0:type,type:1:order:0:superstructure:2:tetragonal:1:structure:0:type,Erbium dinickel disilicide ErNi2Si2 crystallizes in the tetragonal ThCr2Si2 structure type which is an ordered superstucture of the BaAl4 type
type:1:order:0:superstucture,type:1:order:0:superstructure,Erbium dinickel disilicide ErNi2Si2 crystallizes in the tetragonal ThCr2Si2 structure type which is an ordered superstucture of the BaAl4 type
order:0:superstucture,order:0:superstructure,Erbium dinickel disilicide ErNi2Si2 crystallizes in the tetragonal ThCr2Si2 structure type which is an ordered superstucture of the BaAl4 type
superstucture,superstructure,Erbium dinickel disilicide ErNi2Si2 crystallizes in the tetragonal ThCr2Si2 structure type which is an ordered superstucture of the BaAl4 type
gallbladder:0:stone:1:atheroclerotic:0:plaque:2:formation:3:vital:0:role,gallbladder:0:stone:1:atherosclerotic:0:plaque:2:formation:3:vital:0:role,The in vitro studies on the nucleation growth and other fundamental aspects of cholesterol crystallization have received considerable attention as it plays a vital role in the formation of atheroclerotic plaques and gallbladder stones
gallbladder:0:stone:1:atheroclerotic:0:plaque:2:formation,gallbladder:0:stone:1:atherosclerotic:0:plaque:2:formation,The in vitro studies on the nucleation growth and other fundamental aspects of cholesterol crystallization have received considerable attention as it plays a vital role in the formation of atheroclerotic plaques and gallbladder stones
gallbladder:0:stone:1:atheroclerotic:0:plaque,gallbladder:0:stone:1:atherosclerotic:0:plaque,The in vitro studies on the nucleation growth and other fundamental aspects of cholesterol crystallization have received considerable attention as it plays a vital role in the formation of atheroclerotic plaques and gallbladder stones
atheroclerotic:0:plaque,atherosclerotic:0:plaque,The in vitro studies on the nucleation growth and other fundamental aspects of cholesterol crystallization have received considerable attention as it plays a vital role in the formation of atheroclerotic plaques and gallbladder stones
.:6:hydrogen:1:-:0:bond:2:network:3:construct:4:important:0:synthon:5:acylhydrazine,.:6:hydrogen:1:-:0:bond:2:network:3:construct:4:important:0:synthon:5:acylhydrazines,Acylhydrazines are an important  synthon used to construct hydrogenbond networks
hydrogen:1:-:0:bond:2:network:3:construct:4:important:0:synthon:5:acylhydrazine,hydrogen:1:-:0:bond:2:network:3:construct:4:important:0:synthon:5:acylhydrazines,Acylhydrazines are an important  synthon used to construct hydrogenbond networks
acylhydrazine,acylhydrazines,Acylhydrazines are an important  synthon used to construct hydrogenbond networks
ho:0:atom:1:bridge:2:chelate:2:chelate:0:acetato:1:ligand,ho:0:atom:1:bridge:2:chelate:2:chelate:0:acetate:1:ligand,Each cation is coordinated by a chelating 110phenanthroline and two chelating acetato ligands one of which also bridges the two Ho atoms
chelate:2:chelate:0:acetato:1:ligand,chelate:2:chelate:0:acetate:1:ligand,Each cation is coordinated by a chelating 110phenanthroline and two chelating acetato ligands one of which also bridges the two Ho atoms
chelate:0:acetato:1:ligand,chelate:0:acetate:1:ligand,Each cation is coordinated by a chelating 110phenanthroline and two chelating acetato ligands one of which also bridges the two Ho atoms
defocused:0:convergent:1:beam:2:image:3:fault:0:structure,refocused:0:convergent:1:beam:2:image:3:fault:0:structure,Symmetry changes within the sample were related to the fault structure which was imaged in the defocused convergent beam
defocused:0:convergent:1:beam,refocused:0:convergent:1:beam,Symmetry changes within the sample were related to the fault structure which was imaged in the defocused convergent beam
-:6:half:1:-:0:maximum:4:original:0:crystal:1:measure:2:rock:0:curve:3:fwhm:5:width:7:microdefect:0:inclusion:1:line:0:defect:2:include:3:imperfection:0:arcsec:4:.:3:crystal:1:diffraction:0:image:2:observe:5:sim,-:6:half:1:-:0:maximum:4:original:0:crystal:1:measure:2:rock:0:curve:3:fwhm:5:width:7:microdefects:0:inclusion:1:line:0:defect:2:include:3:imperfection:0:arcsec:4:.:3:crystal:1:diffraction:0:image:2:observe:5:sim,The fullwidth at halfmaximum FWHM of a 4 emsp14 4 emsp14 0 rocking curve measured from the original crystal was  sim 167 emsp14 arcsec and imperfections including line defects inclusions and other microdefects were observed in the diffraction images of the crystal
microdefect:0:inclusion:1:line:0:defect:2:include:3:imperfection:0:arcsec:4:.:3:crystal:1:diffraction:0:image:2:observe:5:sim,microdefects:0:inclusion:1:line:0:defect:2:include:3:imperfection:0:arcsec:4:.:3:crystal:1:diffraction:0:image:2:observe:5:sim,The fullwidth at halfmaximum FWHM of a 4 emsp14 4 emsp14 0 rocking curve measured from the original crystal was  sim 167 emsp14 arcsec and imperfections including line defects inclusions and other microdefects were observed in the diffraction images of the crystal
microdefect:0:inclusion:1:line:0:defect:2:include:3:imperfection:0:arcsec,microdefects:0:inclusion:1:line:0:defect:2:include:3:imperfection:0:arcsec,The fullwidth at halfmaximum FWHM of a 4 emsp14 4 emsp14 0 rocking curve measured from the original crystal was  sim 167 emsp14 arcsec and imperfections including line defects inclusions and other microdefects were observed in the diffraction images of the crystal
