docID,sentence,subject,predicate,object,root,synonyms,level,distance
10.1107/S160053681000228X,Further consolidation of the crystal structure is accomplished by extensive O mdash H,Further consolidation of the crystal structure,accomplished by,extensive O mdash H,accomplish,"{'action', 'attain', 'fulfil', 'accomplish', 'fulfill', 'achieve', 'reach', 'execute'}",3,20,crystal:0:structure:1:further:0:consolidation,extensive:2:o:1:mdash:0:h,is,3
10.1107/S2053273315022500,Here it is shown that the novel Timepix detector combines a high dynamic range with a very high signaltonoise ratio and singleelectron sensitivity enabling ab initio phasing of beamsensitive organic compounds,high dynamic range,enabling,organic compounds,enable,{'enable'},2,113,high:1:dynamic:0:range,organic:0:compound,,15
10.1107/S2053273315022500,Aring  minus 2 emsp14 s minus 1 were collected at room temperature with the rotation method,s minus 1,collected at,room temperature,collect,"{'compile', 'accumulate', 'hoard', 'amass', 'collect', 'garner', 'gather'}",1,19,minus:0:s,room:0:temperature,were,3
10.1107/S2053273315022500,Aring  minus 2 emsp14 s minus 1 were collected at room temperature with the rotation method,Aring  minus 2 emsp14 s minus 1,collected at,room temperature with the rotation method,collect,"{'compile', 'accumulate', 'hoard', 'amass', 'collect', 'garner', 'gather'}",2,19,minus:0:aring:1:minus:0:s,rotation:0:method:1:room:0:temperature,were,3
10.1107/S2053273315022500,It was ascertained that the data were of sufficient quality for structure solution using direct methods using software developed for Xray crystallography XDS SHELX and for electron crystallography ADT3DPETS SIR2014,structure solution,using,direct methods,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",1,7,structure:0:solution,direct:0:method,,1
10.1107/S2053273315022500,It was ascertained that the data were of sufficient quality for structure solution using direct methods using software developed for Xray crystallography XDS SHELX and for electron crystallography ADT3DPETS SIR2014,structure solution,using,direct methods,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",1,7,structure:0:solution,direct:0:method,,1
10.1107/S2053273315022500,It was ascertained that the data were of sufficient quality for structure solution using direct methods using software developed for Xray crystallography XDS SHELX and for electron crystallography ADT3DPETS SIR2014,direct methods,using,electron crystallography,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",1,69,direct:0:method,electron:0:crystallography,,10
10.1107/S2053273315022500,It was ascertained that the data were of sufficient quality for structure solution using direct methods using software developed for Xray crystallography XDS SHELX and for electron crystallography ADT3DPETS SIR2014,direct methods,using,electron crystallography,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",1,69,direct:0:method,electron:0:crystallography,,10
10.1107/S2053273315022500,It was ascertained that the data were of sufficient quality for structure solution using direct methods using software developed for Xray crystallography XDS SHELX and for electron crystallography ADT3DPETS SIR2014,direct methods,developed for,electron crystallography,develop,"{'acquire', 'produce', 'rise', 'train', 'evolve', 'develop', 'educate', 'arise', 'explicate', 'uprise', 'formulate', 'grow', 'originate', 'prepare', 'germinate'}",1,69,direct:0:method,electron:0:crystallography,,10
10.1107/S0907444905007894,A reliable method for the determination of bulksolvent model parameters and an overall anisotropic scale factor is of increasing importance as structure determination becomes more automated,anisotropic scale,is of,increasing importance,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",1,14,anisotropic:0:scale,increase:0:importance,,3
10.1107/S0907444905007894,A reliable method for the determination of bulksolvent model parameters and an overall anisotropic scale factor is of increasing importance as structure determination becomes more automated,anisotropic scale factor,is of,increasing importance,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",2,7,anisotropic:0:scale:1:factor,increase:0:importance,,2
10.1107/S0907444905007894,Current protocols require the manual inspection of refinement results in order to detect errors in the calculation of these parameters,Current protocols,require,manual inspection,require,"{'ask', 'demand', 'involve', 'command', 'expect', 'need', 'require', 'take', 'want', 'postulate', 'necessitate', 'compel'}",1,13,current:0:protocol,manual:0:inspection,,2
10.1107/S0907444905007894,Current protocols require the manual inspection of refinement results in order to detect errors in the calculation of these parameters,Current protocols,require,manual inspection of refinement results,require,"{'ask', 'demand', 'involve', 'command', 'expect', 'need', 'require', 'take', 'want', 'postulate', 'necessitate', 'compel'}",2,13,current:0:protocol,refinement:0:result:1:manual:0:inspection,,2
10.1107/S0907444905007948,In the usual crystallization process researchers evaluate the protein crystallization growth states based on visual impressions and assign them a score over and over again,usual crystallization process,evaluate,protein crystallization growth,evaluate,"{'value', 'measure', 'evaluate', 'appraise', 'valuate', 'assess'}",2,26,usual:1:crystallization:0:process,protein:1:crystallization:0:growth,,3
10.1107/S0907444905007948,In the usual crystallization process researchers evaluate the protein crystallization growth states based on visual impressions and assign them a score over and over again,usual crystallization process,evaluate,protein crystallization growth states,evaluate,"{'value', 'measure', 'evaluate', 'appraise', 'valuate', 'assess'}",3,26,usual:1:crystallization:0:process,protein:1:crystallization:0:growth:2:state,,3
10.1107/S0907444905007948,The algorithm is comprised of preprocessing feature extraction from images using texture analysis and a categorization process using linear discriminant analysis,feature extraction,using,texture analysis,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",1,19,feature:0:extraction,texture:0:analysis,,3
10.1107/S0907444905007948,The algorithm is comprised of preprocessing feature extraction from images using texture analysis and a categorization process using linear discriminant analysis,feature extraction,using,texture analysis,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",1,19,feature:0:extraction,texture:0:analysis,,3
10.1107/S0907444905007948,The algorithm is comprised of preprocessing feature extraction from images using texture analysis and a categorization process using linear discriminant analysis,categorization process,using,discriminant analysis,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",1,14,categorization:0:process,discriminant:0:analysis,,2
10.1107/S0907444905007948,The algorithm is comprised of preprocessing feature extraction from images using texture analysis and a categorization process using linear discriminant analysis,categorization process,using,discriminant analysis,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",1,14,categorization:0:process,discriminant:0:analysis,,2
10.1107/S0907444905007948,The algorithm is comprised of preprocessing feature extraction from images using texture analysis and a categorization process using linear discriminant analysis,feature extraction from images,using,texture analysis,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",2,7,image:1:feature:0:extraction,texture:0:analysis,,1
10.1107/S0907444905007948,The algorithm is comprised of preprocessing feature extraction from images using texture analysis and a categorization process using linear discriminant analysis,feature extraction from images,using,texture analysis,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",2,7,image:1:feature:0:extraction,texture:0:analysis,,1
10.1107/S0907444905007948,The performance of this method has been evaluated by comparing the results obtained by using this method with the results from a human expert and the concordance rate was 906,performance of this method,been,human expert,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",1,99,method:0:performance,human:0:expert,has,17
10.1107/S0907444905007948,The performance of this method has been evaluated by comparing the results obtained by using this method with the results from a human expert and the concordance rate was 906,performance of this method,evaluated by,human expert,evaluate,"{'value', 'measure', 'evaluate', 'appraise', 'valuate', 'assess'}",1,99,method:0:performance,human:0:expert,,17
10.1107/S0907444905007948,The performance of this method has been evaluated by comparing the results obtained by using this method with the results from a human expert and the concordance rate was 906,performance of this method,comparing,human expert,compare,"{'compare', 'equate', 'liken'}",1,99,method:0:performance,human:0:expert,,17
10.1107/S0907444905007948,The performance of this method has been evaluated by comparing the results obtained by using this method with the results from a human expert and the concordance rate was 906,performance of this method,using,human expert,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",1,99,method:0:performance,human:0:expert,,17
10.1107/S0907444905007948,The performance of this method has been evaluated by comparing the results obtained by using this method with the results from a human expert and the concordance rate was 906,performance of this method,been,human expert and the concordance rate,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",2,99,method:0:performance,concordance:0:rate:1:human:0:expert,has,17
10.1107/S0907444905007948,The performance of this method has been evaluated by comparing the results obtained by using this method with the results from a human expert and the concordance rate was 906,performance of this method,evaluated by,human expert and the concordance rate,evaluate,"{'value', 'measure', 'evaluate', 'appraise', 'valuate', 'assess'}",2,99,method:0:performance,concordance:0:rate:1:human:0:expert,,17
10.1107/S0907444905007948,The performance of this method has been evaluated by comparing the results obtained by using this method with the results from a human expert and the concordance rate was 906,performance of this method,comparing,human expert and the concordance rate,compare,"{'compare', 'equate', 'liken'}",2,99,method:0:performance,concordance:0:rate:1:human:0:expert,,17
10.1107/S0907444905007948,The performance of this method has been evaluated by comparing the results obtained by using this method with the results from a human expert and the concordance rate was 906,performance of this method,using,human expert and the concordance rate,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",2,99,method:0:performance,concordance:0:rate:1:human:0:expert,,17
10.1107/S0907444905007948,The performance of this method has been evaluated by comparing the results obtained by using this method with the results from a human expert and the concordance rate was 906,performance of this method,been,results from a human expert and the concordance rate,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",3,84,method:0:performance,concordance:0:rate:1:human:0:expert:2:result,has,14
10.1107/S0907444905007948,The performance of this method has been evaluated by comparing the results obtained by using this method with the results from a human expert and the concordance rate was 906,performance of this method,evaluated by,results from a human expert and the concordance rate,evaluate,"{'value', 'measure', 'evaluate', 'appraise', 'valuate', 'assess'}",3,84,method:0:performance,concordance:0:rate:1:human:0:expert:2:result,,14
10.1107/S0907444905007948,The performance of this method has been evaluated by comparing the results obtained by using this method with the results from a human expert and the concordance rate was 906,performance of this method,comparing,results from a human expert and the concordance rate,compare,"{'compare', 'equate', 'liken'}",3,84,method:0:performance,concordance:0:rate:1:human:0:expert:2:result,,14
10.1107/S0907444905007948,The performance of this method has been evaluated by comparing the results obtained by using this method with the results from a human expert and the concordance rate was 906,performance of this method,using,results from a human expert and the concordance rate,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",3,84,method:0:performance,concordance:0:rate:1:human:0:expert:2:result,,14
10.1107/S0021889890013097,A null method matching the Bragg angles of a standard and the sample is shown to give precise values of lattice parameters,Bragg angles,shown to,precise values,show,"{'reveal', 'present', 'establish', 'indicate', 'demonstrate', 'prove', 'evidence', 'express', 'testify', 'exhibit', 'point', 'depict', 'picture', 'render', 'show', 'demo', 'display', 'shew', 'evince'}",1,47,bragg:0:angle,precise:0:value,is,10
10.1107/S0021889890013097,A null method matching the Bragg angles of a standard and the sample is shown to give precise values of lattice parameters,Bragg angles,give,precise values,give,"{'yield', 'hold', 'present', 'pay', 'gift', 'afford', 'throw', 'give', 'have'}",1,47,bragg:0:angle,precise:0:value,,10
10.1107/S0021889890013097,A null method matching the Bragg angles of a standard and the sample is shown to give precise values of lattice parameters,Bragg angles of a standard and the sample,shown to,precise values of lattice parameters,show,"{'reveal', 'present', 'establish', 'indicate', 'demonstrate', 'prove', 'evidence', 'express', 'testify', 'exhibit', 'point', 'depict', 'picture', 'render', 'show', 'demo', 'display', 'shew', 'evince'}",2,18,sample:0:standard:1:bragg:0:angle,lattice:0:parameter:1:precise:0:value,is,4
10.1107/S0021889890013097,A null method matching the Bragg angles of a standard and the sample is shown to give precise values of lattice parameters,Bragg angles of a standard and the sample,give,precise values of lattice parameters,give,"{'yield', 'hold', 'present', 'pay', 'gift', 'afford', 'throw', 'give', 'have'}",2,18,sample:0:standard:1:bragg:0:angle,lattice:0:parameter:1:precise:0:value,,4
10.1107/S0021889890013097,The method is general though for this demonstration the lattice parameter of tungsten is determined in terms of the SRM 640b silicon standard,lattice parameter of tungsten,determined in,SRM 640b silicon standard,determine,"{'regulate', 'influence', 'find', 'decide', 'settle', 'learn', 'watch', 'fix', 'ascertain', 'limit', 'specify', 'see', 'set', 'mold', 'determine', 'shape'}",2,31,tungsten:1:lattice:0:parameter,srm:1:silicon:0:standard,is,6
10.1107/S0021889890013097,The method is general though for this demonstration the lattice parameter of tungsten is determined in terms of the SRM 640b silicon standard,lattice parameter of tungsten,determined in,terms of the SRM 640b silicon standard,determine,"{'regulate', 'influence', 'find', 'decide', 'settle', 'learn', 'watch', 'fix', 'ascertain', 'limit', 'specify', 'see', 'set', 'mold', 'determine', 'shape'}",3,18,tungsten:1:lattice:0:parameter,srm:1:silicon:0:standard:2:term,is,3
10.1107/S0021889890012365,The application of singleboard microcomputers as programmable interfaces simplifies the construction of complex diffractometer control units,programmable interfaces,simplifies,diffractometer control,simplify,{'simplify'},1,40,programmable:0:interface,diffractometer:0:control,,5
10.1107/S0021889890012365,The application of singleboard microcomputers as programmable interfaces simplifies the construction of complex diffractometer control units,programmable interfaces,simplifies,diffractometer control units,simplify,{'simplify'},2,40,programmable:0:interface,diffractometer:0:control:1:unit,,5
10.1107/S0021889890012365,The application of singleboard microcomputers as programmable interfaces simplifies the construction of complex diffractometer control units,programmable interfaces,simplifies,complex diffractometer control units,simplify,{'simplify'},3,32,programmable:0:interface,complex:2:diffractometer:0:control:1:unit,,4
10.1107/S0021889890012365,The amount of hardware components of the control units is reduced and the structure of the circuits is easy to survey,control units,reduced,structure of the circuits,reduce,"{'reduce', 'cut', 'shrink', 'trim'}",1,20,control:0:unit,circuit:0:structure,is,4
10.1107/S0021889890012365,The amount of hardware components of the control units is reduced and the structure of the circuits is easy to survey,hardware components of the control units,reduced,structure of the circuits,reduce,"{'reduce', 'cut', 'shrink', 'trim'}",2,20,control:0:unit:1:hardware:0:component,circuit:0:structure,is,4
10.1107/S0021889890012365,These intelligent multipurpose singleboard microcomputers unburden the personal computer and simplify the development of the diffractometer measuring program,intelligent multipurpose,unburden,personal computer,unburden,"{'unburden', 'disburden'}",1,41,intelligent:0:multipurpose,personal:0:computer,,4
10.1107/S0021889890012365,These intelligent multipurpose singleboard microcomputers unburden the personal computer and simplify the development of the diffractometer measuring program,personal computer,simplify,development of the diffractometer measuring program,simplify,{'simplify'},3,18,personal:0:computer,program:0:measure:1:diffractometer:2:development,,3
10.1107/S0021889803022052,The accuracy of the weight fractions calculated with the Rietveld method for various polycrystalline systems using data collected for very short times 5 ndash 45 emsp14 min with an RTMS realtime multiple strip detector was verified,polycrystalline systems,using,very short times,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",1,26,polycrystalline:0:system,short:0:time,,4
10.1107/S0021889803022052,The weight estimates were compared with those obtained using the same conventional Bragg ndash Brentano geometry a gas proportional detector and a 13 emsp14 h data acquisition,weight estimates,compared with,data acquisition,compare,"{'compare', 'equate', 'liken'}",1,139,weight:0:estimate,datum:0:acquisition,were,22
10.1107/S0021889803022052,The weight estimates were compared with those obtained using the same conventional Bragg ndash Brentano geometry a gas proportional detector and a 13 emsp14 h data acquisition,weight estimates,obtained,data acquisition,obtain,"{'get', 'receive', 'obtain', 'prevail', 'incur'}",1,139,weight:0:estimate,datum:0:acquisition,,22
10.1107/S0021889803022052,The weight estimates were compared with those obtained using the same conventional Bragg ndash Brentano geometry a gas proportional detector and a 13 emsp14 h data acquisition,weight estimates,using,data acquisition,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",1,139,weight:0:estimate,datum:0:acquisition,,22
10.1107/S0021889803022052,The weight estimates were compared with those obtained using the same conventional Bragg ndash Brentano geometry a gas proportional detector and a 13 emsp14 h data acquisition,weight estimates,compared with,gas proportional detector,compare,"{'compare', 'equate', 'liken'}",2,95,weight:0:estimate,gas:0:proportional:1:detector,were,14
10.1107/S0021889803022052,The weight estimates were compared with those obtained using the same conventional Bragg ndash Brentano geometry a gas proportional detector and a 13 emsp14 h data acquisition,weight estimates,obtained,gas proportional detector,obtain,"{'get', 'receive', 'obtain', 'prevail', 'incur'}",2,95,weight:0:estimate,gas:0:proportional:1:detector,,14
10.1107/S0021889803022052,The weight estimates were compared with those obtained using the same conventional Bragg ndash Brentano geometry a gas proportional detector and a 13 emsp14 h data acquisition,weight estimates,using,gas proportional detector,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",2,95,weight:0:estimate,gas:0:proportional:1:detector,,14
10.1107/S0021889803022052,The weight estimates were compared with those obtained using the same conventional Bragg ndash Brentano geometry a gas proportional detector and a 13 emsp14 h data acquisition,weight estimates,compared with,Bragg ndash Brentano geometry,compare,"{'compare', 'equate', 'liken'}",3,63,weight:0:estimate,bragg:1:ndash:0:brentano:2:geometry,were,9
10.1107/S0021889803022052,The weight estimates were compared with those obtained using the same conventional Bragg ndash Brentano geometry a gas proportional detector and a 13 emsp14 h data acquisition,weight estimates,obtained,Bragg ndash Brentano geometry,obtain,"{'get', 'receive', 'obtain', 'prevail', 'incur'}",3,63,weight:0:estimate,bragg:1:ndash:0:brentano:2:geometry,,9
10.1107/S0021889803022052,The weight estimates were compared with those obtained using the same conventional Bragg ndash Brentano geometry a gas proportional detector and a 13 emsp14 h data acquisition,weight estimates,using,Bragg ndash Brentano geometry,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",3,63,weight:0:estimate,bragg:1:ndash:0:brentano:2:geometry,,9
10.1107/S0021889803022052,The results of the refinements show estimated weights consistent with both those obtained with a gas proportional detector and with the nominal values indicating a very good accuracy,results of the refinements,show,estimated weights,show,"{'reveal', 'present', 'establish', 'indicate', 'demonstrate', 'prove', 'evidence', 'express', 'testify', 'exhibit', 'point', 'depict', 'picture', 'render', 'show', 'demo', 'display', 'shew', 'evince'}",1,6,refinement:0:result,estimate:0:weight,,1
10.1107/S0021889803022052,Only when variable slits are used the accuracy of the estimated weights slightly decreases,variable slits,used,slightly decreases,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",1,48,variable:0:slit,slightly:0:decrease,are,8
10.1107/S0021889803024415,Dislocations in the  lang 110 rang  sectors have been characterized as edge dislocations with Burgers vector parallel to the c axis,lang 110 rang  ,been,edge dislocations,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",1,35,ring:0:lang,edge:0:dislocation,have,5
10.1107/S0021889803024415,Dislocations in the  lang 110 rang  sectors have been characterized as edge dislocations with Burgers vector parallel to the c axis,Dislocations in the  lang 110 rang  ,been,edge dislocations with Burgers vector,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",2,35,dislocation:1:ring:0:lang,burgers:0:vector:1:edge:0:dislocation,have,5
10.1107/S0021889803024415,Dislocations in the  lang 110 rang  sectors have been characterized as edge dislocations with Burgers vector parallel to the c axis,Dislocations in the  lang 110 rang  ,been,edge dislocations with Burgers vector parallel to the c axis,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",3,35,dislocation:1:ring:0:lang,c:0:axis:1:parallel:2:burgers:0:vector:1:edge:0:dislocation,have,5
10.1107/S0021889803024415,This spiral growth on protein crystals has been observed many times by surface techniques,protein crystals,been,surface techniques,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",1,33,protein:0:crystal,surface:0:technique,has,6
10.1107/S0021889803024415,This spiral growth on protein crystals has been observed many times by surface techniques,protein crystals,observed,surface techniques,observe,"{'detect', 'notice', 'honour', 'keep', 'celebrate', 'find', 'remark', 'discover', 'respect', 'note', 'watch', 'mention', 'honor', 'observe'}",1,33,protein:0:crystal,surface:0:technique,,6
10.1107/S0021889803024415,This spiral growth on protein crystals has been observed many times by surface techniques,spiral growth on protein crystals,been,surface techniques,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",2,33,protein:0:crystal:1:spiral:0:growth,surface:0:technique,has,6
10.1107/S0021889803024415,This spiral growth on protein crystals has been observed many times by surface techniques,spiral growth on protein crystals,observed,surface techniques,observe,"{'detect', 'notice', 'honour', 'keep', 'celebrate', 'find', 'remark', 'discover', 'respect', 'note', 'watch', 'mention', 'honor', 'observe'}",2,33,protein:0:crystal:1:spiral:0:growth,surface:0:technique,,6
10.1107/S0021889803026670,Two illustrative samples a perfectly longrangeordered element Pb and a locally strained alloy ZnSe05Te05 were measured at low temperatures,illustrative samples,measured at,low temperatures,measure,"{'quantify', 'value', 'evaluate', 'measure', 'appraise', 'valuate', 'assess'}",1,98,illustrative:0:sample,low:0:temperature,were,14
10.1107/S0021889803026670,Two illustrative samples a perfectly longrangeordered element Pb and a locally strained alloy ZnSe05Te05 were measured at low temperatures,Two illustrative samples,measured at,low temperatures,measure,"{'quantify', 'value', 'evaluate', 'measure', 'appraise', 'valuate', 'assess'}",2,98,two:1:illustrative:0:sample,low:0:temperature,were,14
10.1107/S0021889803026670,Various aspects of the PDF were explored either qualitatively by direct comparison or quantitatively via structural modelling,Various aspects,explored,direct comparison,explore,"{'explore', 'research', 'search'}",1,50,various:0:aspect,direct:0:comparison,were,8
10.1107/S0021889803026670,Various aspects of the PDF were explored either qualitatively by direct comparison or quantitatively via structural modelling,Various aspects of the PDF,explored,either qualitatively by direct comparison,explore,"{'explore', 'research', 'search'}",2,15,pdf:1:various:0:aspect,qualitatively:1:direct:0:comparison,were,2
10.1107/S0021889803026670,Various aspects of the PDF were explored either qualitatively by direct comparison or quantitatively via structural modelling,Various aspects of the PDF,explored,either qualitatively by direct comparison or quantitatively via structural modelling,explore,"{'explore', 'research', 'search'}",3,15,pdf:1:various:0:aspect,structural:0:model:1:quantitatively:2:qualitatively:1:direct:0:comparison,were,2
10.1107/S010876731003446X,Debye ndash Waller DW factors and structure factors have been measured for Si using convergentbeam electron diffraction CBED experiments with a transmission electron microscope equipped with a fieldemission gun and a postcolumn energyfiltering device,structure factors,been,electron diffraction,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",1,48,structure:0:factor,electron:0:diffraction,have,7
10.1107/S010876731003446X,Debye ndash Waller DW factors and structure factors have been measured for Si using convergentbeam electron diffraction CBED experiments with a transmission electron microscope equipped with a fieldemission gun and a postcolumn energyfiltering device,structure factors,measured for,electron diffraction,measure,"{'quantify', 'value', 'evaluate', 'measure', 'appraise', 'valuate', 'assess'}",1,48,structure:0:factor,electron:0:diffraction,,7
10.1107/S010876731003446X,Debye ndash Waller DW factors and structure factors have been measured for Si using convergentbeam electron diffraction CBED experiments with a transmission electron microscope equipped with a fieldemission gun and a postcolumn energyfiltering device,structure factors,using,electron diffraction,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",1,48,structure:0:factor,electron:0:diffraction,,7
10.1107/S010876731003446X,Strong dynamic interactions among different beams are obtained by tilting the crystal to specific four or sixbeam orientations near major zone axes which provide sufficient sensitivity to determine accurate DW factors and structure factors,different beams,obtained by,zone axes,obtain,"{'get', 'receive', 'obtain', 'prevail', 'incur'}",1,89,different:0:beam,zone:0:axis,are,14
10.1107/S010876731003446X,Strong dynamic interactions among different beams are obtained by tilting the crystal to specific four or sixbeam orientations near major zone axes which provide sufficient sensitivity to determine accurate DW factors and structure factors,different beams,tilting,zone axes,tilt,"{'lean', 'wobble', 'careen', 'cant', 'slant', 'tilt', 'pitch', 'angle', 'tip', 'shift'}",1,89,different:0:beam,zone:0:axis,,14
10.1107/S010876731003446X,Strong dynamic interactions among different beams are obtained by tilting the crystal to specific four or sixbeam orientations near major zone axes which provide sufficient sensitivity to determine accurate DW factors and structure factors,different beams,obtained by,major zone axes,obtain,"{'get', 'receive', 'obtain', 'prevail', 'incur'}",2,83,different:0:beam,major:1:zone:0:axis,are,13
10.1107/S010876731003446X,Strong dynamic interactions among different beams are obtained by tilting the crystal to specific four or sixbeam orientations near major zone axes which provide sufficient sensitivity to determine accurate DW factors and structure factors,different beams,tilting,major zone axes,tilt,"{'lean', 'wobble', 'careen', 'cant', 'slant', 'tilt', 'pitch', 'angle', 'tip', 'shift'}",2,83,different:0:beam,major:1:zone:0:axis,,13
10.1107/S010876731003446X,Strong dynamic interactions among different beams are obtained by tilting the crystal to specific four or sixbeam orientations near major zone axes which provide sufficient sensitivity to determine accurate DW factors and structure factors,Strong dynamic interactions among different beams,obtained by,major zone axes,obtain,"{'get', 'receive', 'obtain', 'prevail', 'incur'}",3,83,different:0:beam:2:strong:1:dynamic:0:interaction,major:1:zone:0:axis,are,13
10.1107/S010876731003446X,Strong dynamic interactions among different beams are obtained by tilting the crystal to specific four or sixbeam orientations near major zone axes which provide sufficient sensitivity to determine accurate DW factors and structure factors,Strong dynamic interactions among different beams,tilting,major zone axes,tilt,"{'lean', 'wobble', 'careen', 'cant', 'slant', 'tilt', 'pitch', 'angle', 'tip', 'shift'}",3,83,different:0:beam:2:strong:1:dynamic:0:interaction,major:1:zone:0:axis,,13
10.1107/S010876731003446X,The DW factors of Si were measured using fourbeam conditions near the 001 zone axis for temperatures ranging from 96 to 300 emsp14 K A comparison of the multibeam nearzoneaxis orientations with other CBED methods for DW and structure factor,DW factors of Si,measured,CBED methods,measure,"{'quantify', 'value', 'evaluate', 'measure', 'appraise', 'valuate', 'assess'}",2,180,si:1:dw:0:factor,cbed:0:method,were,28
10.1107/S010876731003446X,The DW factors of Si were measured using fourbeam conditions near the 001 zone axis for temperatures ranging from 96 to 300 emsp14 K A comparison of the multibeam nearzoneaxis orientations with other CBED methods for DW and structure factor,DW factors of Si,using,CBED methods,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",2,180,si:1:dw:0:factor,cbed:0:method,,28
10.1107/S010876731003446X,The DW factors of Si were measured using fourbeam conditions near the 001 zone axis for temperatures ranging from 96 to 300 emsp14 K A comparison of the multibeam nearzoneaxis orientations with other CBED methods for DW and structure factor,DW factors of Si,measured,other CBED methods for DW and structure factor,measure,"{'quantify', 'value', 'evaluate', 'measure', 'appraise', 'valuate', 'assess'}",3,174,si:1:dw:0:factor,structure:0:dw:1:factor:2:cbed:0:method,were,27
10.1107/S010876731003446X,The DW factors of Si were measured using fourbeam conditions near the 001 zone axis for temperatures ranging from 96 to 300 emsp14 K A comparison of the multibeam nearzoneaxis orientations with other CBED methods for DW and structure factor,DW factors of Si,using,other CBED methods for DW and structure factor,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",3,174,si:1:dw:0:factor,structure:0:dw:1:factor:2:cbed:0:method,,27
10.1107/S0108767310034471,Accurate Debye ndash Waller DW factors and several lowindex structure factors of chemically ordered  beta NiAl at different temperatures have been measured using an offzoneaxis multibeam convergentbeam electron diffraction method,different temperatures,been,electron diffraction,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",1,66,different:0:temperature,electron:0:diffraction,have,8
10.1107/S0108767310034471,Accurate Debye ndash Waller DW factors and several lowindex structure factors of chemically ordered  beta NiAl at different temperatures have been measured using an offzoneaxis multibeam convergentbeam electron diffraction method,different temperatures,measured,electron diffraction,measure,"{'quantify', 'value', 'evaluate', 'measure', 'appraise', 'valuate', 'assess'}",1,66,different:0:temperature,electron:0:diffraction,,8
10.1107/S0108767310034471,Accurate Debye ndash Waller DW factors and several lowindex structure factors of chemically ordered  beta NiAl at different temperatures have been measured using an offzoneaxis multibeam convergentbeam electron diffraction method,different temperatures,using,electron diffraction,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",1,66,different:0:temperature,electron:0:diffraction,,8
10.1107/S0108767310034471,Accurate Debye ndash Waller DW factors and several lowindex structure factors of chemically ordered  beta NiAl at different temperatures have been measured using an offzoneaxis multibeam convergentbeam electron diffraction method,different temperatures,been,electron diffraction method,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",2,66,different:0:temperature,electron:0:diffraction:1:method,have,8
