10.1107/S160053681000228X,Further consolidation of the crystal structure is accomplished by extensive O mdash H,Further consolidation of the crystal structure,crystal:0:structure:1:further:0:consolidation,accomplished,extensive O mdash H,extensive:2:o:1:mdash:0:h,3,20,3,is
10.1107/S1744309110051110,A cysteine residue was introduced at several different positions and A152C was found to achieve maximum specific crosslinking efficiency,cysteine residue,cysteine:0:residue,was,different positions,different:0:position,1,27,4,
10.1107/S1744309110051110,A cysteine residue was introduced at several different positions and A152C was found to achieve maximum specific crosslinking efficiency,cysteine residue,cysteine:0:residue,introduced,different positions,different:0:position,1,27,4,
10.1107/S1744309110051110,A cysteine residue was introduced at several different positions and A152C was found to achieve maximum specific crosslinking efficiency,cysteine residue,cysteine:0:residue,was,different positions,different:0:position,1,27,4,
10.1107/S1744309110051110,The resulting bPAP construct was active and when mixed with a chemically modified RNA yielded crystals of a bPAP ndash RNA complex,resulting bPAP construct,result:1:bpap:0:construct,was,ndash RNA complex,ndash:0:rna:1:complex,2,85,15,
10.1107/S1744309110051110,The resulting bPAP construct was active and when mixed with a chemically modified RNA yielded crystals of a bPAP ndash RNA complex,resulting bPAP construct,result:1:bpap:0:construct,modified,ndash RNA complex,ndash:0:rna:1:complex,2,85,15,
10.1107/S1744309110051110,The resulting bPAP construct was active and when mixed with a chemically modified RNA yielded crystals of a bPAP ndash RNA complex,resulting bPAP construct,result:1:bpap:0:construct,yielded,ndash RNA complex,ndash:0:rna:1:complex,2,85,15,
10.1107/S1744309110051110,The resulting bPAP construct was active and when mixed with a chemically modified RNA yielded crystals of a bPAP ndash RNA complex,resulting bPAP construct,result:1:bpap:0:construct,was,bPAP ndash RNA complex,bpap:2:ndash:0:rna:1:complex,3,80,14,
10.1107/S1744309110051110,The resulting bPAP construct was active and when mixed with a chemically modified RNA yielded crystals of a bPAP ndash RNA complex,resulting bPAP construct,result:1:bpap:0:construct,modified,bPAP ndash RNA complex,bpap:2:ndash:0:rna:1:complex,3,80,14,
10.1107/S1744309110051110,The resulting bPAP construct was active and when mixed with a chemically modified RNA yielded crystals of a bPAP ndash RNA complex,resulting bPAP construct,result:1:bpap:0:construct,yielded,bPAP ndash RNA complex,bpap:2:ndash:0:rna:1:complex,3,80,14,
10.1107/S1600536806002170,Extensive hydrogen bonding is present between the ethylenediamine and nitrate groups,hydrogen bonding,hydrogen:0:bond,is,nitrate groups,group:0:nitrate,1,44,6,
10.1107/S1600536806002170,Extensive hydrogen bonding is present between the ethylenediamine and nitrate groups,Extensive hydrogen bonding,extensive:1:hydrogen:0:bond,is,ethylenediamine and nitrate groups,group:0:nitrate:1:ethylenediamine,2,24,4,
10.1107/S0907444901018972,The crystal structure of the inactive D140N mutant of Serratia marcescens was refined to 145 emsp14  Aring  resolution,Serratia marcescens,serratia:0:marcescen,was,emsp14  Aring  resolution,aring:0:resolution,1,20,4,
10.1107/S0907444901018972,The crystal structure of the inactive D140N mutant of Serratia marcescens was refined to 145 emsp14  Aring  resolution,Serratia marcescens,serratia:0:marcescen,refined,emsp14  Aring  resolution,aring:0:resolution,1,20,4,
10.1107/S0907444901018972,The crystal structure of the inactive D140N mutant of Serratia marcescens was refined to 145 emsp14  Aring  resolution,inactive D140N mutant of Serratia marcescens,serratia:0:marcescen:1:inactive:0:mutant,was,emsp14  Aring  resolution,aring:0:resolution,2,20,4,
10.1107/S0907444901018972,The crystal structure of the inactive D140N mutant of Serratia marcescens was refined to 145 emsp14  Aring  resolution,inactive D140N mutant of Serratia marcescens,serratia:0:marcescen:1:inactive:0:mutant,refined,emsp14  Aring  resolution,aring:0:resolution,2,20,4,
10.1107/S0907444901018972,The crystal structure of the inactive D140N mutant of Serratia marcescens was refined to 145 emsp14  Aring  resolution,crystal structure of the inactive D140N mutant of Serratia marcescens,serratia:0:marcescen:1:inactive:0:mutant:2:crystal:0:structure,was,emsp14  Aring  resolution,aring:0:resolution,3,20,4,
10.1107/S0907444901018972,The crystal structure of the inactive D140N mutant of Serratia marcescens was refined to 145 emsp14  Aring  resolution,crystal structure of the inactive D140N mutant of Serratia marcescens,serratia:0:marcescen:1:inactive:0:mutant:2:crystal:0:structure,refined,emsp14  Aring  resolution,aring:0:resolution,3,20,4,
10.1107/S0907444901018972,The structure of the mutant was essentially identical to that of the wild type with the exception of a rotation of Asp142 in the catalytic centre,structure of the mutant,mutant:0:structure,was,wild type,wild:0:type,1,42,7,
10.1107/S0108270107015387,Templating tetraphenylphosphonium cations reside within the cavities of the polymeric anion,tetraphenylphosphonium cations,tetraphenylphosphonium:0:cation,reside,polymeric anion,polymeric:0:anion,1,35,6,
10.1107/S0108270107015387,Templating tetraphenylphosphonium cations reside within the cavities of the polymeric anion,Templating tetraphenylphosphonium cations,templat:1:tetraphenylphosphonium:0:cation,reside,cavities of the polymeric anion,polymeric:0:anion:1:cavity,2,19,3,
10.1107/S0907444912044903,Here the crystal structure of Bacillus subtilis RibG in complex with a deaminase product is reported at 256 emsp14  Aring  resolution,deaminase product,deaminase:0:product,reported,emsp14  Aring  resolution,aring:0:resolution,1,20,4,is
10.1107/S0907444912044903,Here the crystal structure of Bacillus subtilis RibG in complex with a deaminase product is reported at 256 emsp14  Aring  resolution,RibG in complex with a deaminase product,deaminase:0:product:1:complex:0:ribg,reported,emsp14  Aring  resolution,aring:0:resolution,2,20,4,is
10.1107/S0907444912044903,Here the crystal structure of Bacillus subtilis RibG in complex with a deaminase product is reported at 256 emsp14  Aring  resolution,the crystal structure of Bacillus subtilis RibG in complex with a deaminase product,bacillus:0:subtili:1:crystal:0:structure:2:deaminase:0:product:1:complex:0:ribg,reported,emsp14  Aring  resolution,aring:0:resolution,3,20,4,is
10.1107/S0907444912044903,Two loops move towards the product on substrate binding resulting in interactions with the ribosyl and phosphate groups and significant conformational changes,Two loops,two:0:loop,move,ribosyl and phosphate,phosphate:0:ribosyl,1,82,12,
10.1107/S0907444912044903,Two loops move towards the product on substrate binding resulting in interactions with the ribosyl and phosphate groups and significant conformational changes,Two loops,two:0:loop,move,product on substrate binding,substrate:0:bind:1:product,2,18,3,
10.1107/S0907444912044903,The product carbonyl moiety is bent out of the pyrimidine ring to coordinate to the catalytic zinc ion,product carbonyl,product:0:carbonyl,is,pyrimidine ring,pyrimidine:0:ring,1,27,6,
10.1107/S0907444912044903,The product carbonyl moiety is bent out of the pyrimidine ring to coordinate to the catalytic zinc ion,pyrimidine ring,pyrimidine:0:ring,coordinate,zinc ion,zinc:0:ion,1,32,5,
10.1107/S0907444912044903,The product carbonyl moiety is bent out of the pyrimidine ring to coordinate to the catalytic zinc ion,product carbonyl moiety,product:0:carbonyl:1:moiety,is,pyrimidine ring,pyrimidine:0:ring,2,20,5,
10.1107/S0907444912044903,The product carbonyl moiety is bent out of the pyrimidine ring to coordinate to the catalytic zinc ion,pyrimidine ring,pyrimidine:0:ring,coordinate,catalytic zinc ion,catalytic:1:zinc:0:ion,2,22,4,
10.1107/S0907444912044903,Such distortions in the bound substrate and product may play an essential role in enzyme catalysis,bound substrate and product,product:0:bind:0:substrate,play,essential role,essential:0:role,1,13,3,
10.1107/S0907444912044903,Such distortions in the bound substrate and product may play an essential role in enzyme catalysis,Such distortions in the bound substrate and product,product:0:bind:0:substrate:1:such:0:distortion,play,essential role in enzyme catalysis,enzyme:0:catalysis:1:essential:0:role,2,13,3,
10.1107/S0907444912044903,The yeast Rib2 structure was modelled and a mutational analysis was carried out in order to understand the mechanism of substrate recognition in these two enzymes,yeast Rib2 structure,yeast:0:structure,was,mutational analysis,mutational:0:analysis,1,20,4,
10.1107/S0907444912044903,The yeast Rib2 structure was modelled and a mutational analysis was carried out in order to understand the mechanism of substrate recognition in these two enzymes,yeast Rib2 structure,yeast:0:structure,modelled,mutational analysis,mutational:0:analysis,1,20,4,
10.1107/S0907444912044903,The yeast Rib2 structure was modelled and a mutational analysis was carried out in order to understand the mechanism of substrate recognition in these two enzymes,yeast Rib2 structure,yeast:0:structure,was,mutational analysis,mutational:0:analysis,1,20,4,
10.1107/S0907444912044903,The yeast Rib2 structure was modelled and a mutational analysis was carried out in order to understand the mechanism of substrate recognition in these two enzymes,mutational analysis,mutational:0:analysis,was,substrate recognition,substrate:0:recognition,1,57,10,
10.1107/S0907444912044903,The yeast Rib2 structure was modelled and a mutational analysis was carried out in order to understand the mechanism of substrate recognition in these two enzymes,mutational analysis,mutational:0:analysis,was,substrate recognition,substrate:0:recognition,1,57,10,
10.1107/S0907444912044903,The yeast Rib2 structure was modelled and a mutational analysis was carried out in order to understand the mechanism of substrate recognition in these two enzymes,mutational analysis,mutational:0:analysis,carried,substrate recognition,substrate:0:recognition,1,57,10,
10.1107/S0907444912044903,The yeast Rib2 structure was modelled and a mutational analysis was carried out in order to understand the mechanism of substrate recognition in these two enzymes,mutational analysis,mutational:0:analysis,was,mechanism of substrate recognition,substrate:0:recognition:1:mechanism,2,44,8,
10.1107/S0907444912044903,The yeast Rib2 structure was modelled and a mutational analysis was carried out in order to understand the mechanism of substrate recognition in these two enzymes,mutational analysis,mutational:0:analysis,was,mechanism of substrate recognition,substrate:0:recognition:1:mechanism,2,44,8,
10.1107/S0907444912044903,The yeast Rib2 structure was modelled and a mutational analysis was carried out in order to understand the mechanism of substrate recognition in these two enzymes,mutational analysis,mutational:0:analysis,carried,mechanism of substrate recognition,substrate:0:recognition:1:mechanism,2,44,8,
10.1107/S0907444912044903,The yeast Rib2 structure was modelled and a mutational analysis was carried out in order to understand the mechanism of substrate recognition in these two enzymes,mutational analysis,mutational:0:analysis,was,mechanism of substrate recognition in these two enzymes,enzyme:2:substrate:0:recognition:1:mechanism,3,44,8,
10.1107/S0907444912044903,The yeast Rib2 structure was modelled and a mutational analysis was carried out in order to understand the mechanism of substrate recognition in these two enzymes,mutational analysis,mutational:0:analysis,was,mechanism of substrate recognition in these two enzymes,enzyme:2:substrate:0:recognition:1:mechanism,3,44,8,
10.1107/S0907444912044903,The yeast Rib2 structure was modelled and a mutational analysis was carried out in order to understand the mechanism of substrate recognition in these two enzymes,mutational analysis,mutational:0:analysis,carried,mechanism of substrate recognition in these two enzymes,enzyme:2:substrate:0:recognition:1:mechanism,3,44,8,
10.1107/S0907444912044903,Detailed structural comparisons revealed that the two consecutive carbonyl backbones that occur prior to the PCXXC signature constitute a binding hole for the target amino group of the substrate,structural comparisons,structural:0:comparison,revealed,carbonyl backbones,carbonyl:0:backbone,1,35,5,
10.1107/S0907444912044903,Detailed structural comparisons revealed that the two consecutive carbonyl backbones that occur prior to the PCXXC signature constitute a binding hole for the target amino group of the substrate,PCXXC signature,pcxxc:0:signature,constitute,binding hole,bind:0:hole,1,14,2,
10.1107/S0907444912044903,Detailed structural comparisons revealed that the two consecutive carbonyl backbones that occur prior to the PCXXC signature constitute a binding hole for the target amino group of the substrate,Detailed structural comparisons,detailed:1:structural:0:comparison,revealed,consecutive carbonyl backbones,consecutive:1:carbonyl:0:backbone,2,23,4,
10.1107/S0108270107019312,Neighbouring chains are linked together to form a threedimensional network via hydrogenbonding interactions between coordinated and uncoordinated water molecules and O atoms of the bridging carboxylate groups,Neighbouring chains,neighbouring:0:chain,linked,water molecules,water:0:molecule,1,127,15,are
10.1107/S0108270107019312,Neighbouring chains are linked together to form a threedimensional network via hydrogenbonding interactions between coordinated and uncoordinated water molecules and O atoms of the bridging carboxylate groups,Neighbouring chains,neighbouring:0:chain,form,water molecules,water:0:molecule,1,127,15,
10.1107/S0108270107019312,Neighbouring chains are linked together to form a threedimensional network via hydrogenbonding interactions between coordinated and uncoordinated water molecules and O atoms of the bridging carboxylate groups,Neighbouring chains,neighbouring:0:chain,linked,coordinated and uncoordinated water molecules,uncoordinated:0:coordinate:1:water:0:molecule,2,97,12,are
10.1107/S0108270107019312,Neighbouring chains are linked together to form a threedimensional network via hydrogenbonding interactions between coordinated and uncoordinated water molecules and O atoms of the bridging carboxylate groups,Neighbouring chains,neighbouring:0:chain,form,coordinated and uncoordinated water molecules,uncoordinated:0:coordinate:1:water:0:molecule,2,97,12,
10.1107/S0108270107021622,The title complex PdCl2C21H26N2C18H15P shows slightly distorted squareplanar coordination around the PdII metal centre,title complex,title:0:complex,shows,metal centre,metal:0:centre,1,89,9,
10.1107/S0108270107021622,The title complex PdCl2C21H26N2C18H15P shows slightly distorted squareplanar coordination around the PdII metal centre,title complex,title:0:complex,shows,PdII metal centre,pdii:1:metal:0:centre,2,84,8,
10.1107/S0108270107021622,The Pd mdash C bond distance between the Nheterocyclic ligand and the metal atom is 2028 emsp14 5 emsp14  Aring ,C bond,c:0:bond,is,metal atom,metal:0:atom,1,51,7,
10.1107/S1600536812029819,The VIV atom in the title complex VC19H17N3O2SO is coordinated by two N and two O atoms of the dianionic tetradentate Schiff base ligand and the terminal oxide O atom,title complex,title:0:complex,coordinated,O atoms,o:0:atom,1,47,8,is
10.1107/S1600536812029819,The VIV atom in the title complex VC19H17N3O2SO is coordinated by two N and two O atoms of the dianionic tetradentate Schiff base ligand and the terminal oxide O atom,VIV atom in the title complex,title:0:complex:1:viv:0:atom,coordinated,two O atoms of the dianionic,dianionic:1:o:0:atom,2,43,7,is
10.1107/S1600536812029819,Some buckling in the tetradentate ligand is indicated by the dihedral angle of 1792 emsp14 19 deg  between the sixmembered chelate rings,tetradentate ligand,tetradentate:0:ligand,indicated,dihedral angle,dihedral:0:angle,1,21,4,is
10.1107/S1600536812029819,Some buckling in the tetradentate ligand is indicated by the dihedral angle of 1792 emsp14 19 deg  between the sixmembered chelate rings,buckling in the tetradentate ligand,tetradentate:0:ligand:1:buckle,indicated,dihedral angle,dihedral:0:angle,2,21,4,is
10.1107/S1600536812029819,Supramolecular chains are formed along the b axis via C mdash H,Supramolecular chains,supramolecular:0:chain,formed,b axis,b:0:axis,1,22,4,are
10.1107/S1600536812029777,The sixmembered ring adopts a twistboat conformation while the fused cycloheptane ring adopts a chair conformation,cycloheptane ring,cycloheptane:0:ring,adopts,chair conformation,chair:0:conformation,1,10,2,
10.1107/S1600536812029777,The sixmembered ring adopts a twistboat conformation while the fused cycloheptane ring adopts a chair conformation,fused cycloheptane ring,fuse:1:cycloheptane:0:ring,adopts,chair conformation,chair:0:conformation,2,10,2,
10.1107/S1600536812029777,The crystal packing is effected through two distinct intermolecular C mdash H,crystal packing,crystal:0:pack,effected,C mdash,c:0:mdash,1,49,6,is
10.1107/S1600536812029777,The crystal packing is effected through two distinct intermolecular C mdash H,crystal packing,crystal:0:pack,effected,C mdash H,c:0:mdash:1:h,2,49,6,is
10.1107/S1600536812029777,The crystal packing is effected through two distinct intermolecular C mdash H,crystal packing,crystal:0:pack,effected,intermolecular C mdash H,intermolecular:2:c:0:mdash:1:h,3,34,5,is
10.1107/S0907444900014104,An AMPAspecific ionotropic glutamate receptor binding domain was overexpressed using the baculovirus system and purified by immunoaffinity and metalaffinity chromatography,ionotropic glutamate receptor,ionotropic:0:glutamate:1:receptor,was,baculovirus system,baculovirus:0:system,2,44,6,
10.1107/S0907444900014104,An AMPAspecific ionotropic glutamate receptor binding domain was overexpressed using the baculovirus system and purified by immunoaffinity and metalaffinity chromatography,ionotropic glutamate receptor,ionotropic:0:glutamate:1:receptor,using,baculovirus system,baculovirus:0:system,2,44,6,
10.1107/S0907444900014104,For crystals of deglycosylated protein cryoprotection with MPD also yielded a dramatic improvement in resolution,cryoprotection with MPD,mpd:0:cryoprotection,yielded,dramatic improvement,dramatic:0:improvement,1,16,3,
10.1107/S0907444900014104,For crystals of deglycosylated protein cryoprotection with MPD also yielded a dramatic improvement in resolution,cryoprotection with MPD,mpd:0:cryoprotection,yielded,dramatic improvement in resolution,resolution:1:dramatic:0:improvement,2,16,3,
10.1107/S1600536812031789,The ZnII atom in the title polymeric compound ZnC8H6NO42H2O2 middot 2H2On lies on a center of inversion and is coordinated by two amine N atoms and two carboxylate O atoms from two 3amino5carboxybenzoate anions along with two water molecules in a distorted octahedral geometry,polymeric compound,polymeric:0:compound,lies,center of inversion,inversion:0:center,1,39,6,
10.1107/S1600536812031789,The ZnII atom in the title polymeric compound ZnC8H6NO42H2O2 middot 2H2On lies on a center of inversion and is coordinated by two amine N atoms and two carboxylate O atoms from two 3amino5carboxybenzoate anions along with two water molecules in a distorted octahedral geometry,center of inversion,inversion:0:center,coordinated,N atoms,n:0:atom,1,33,6,is
10.1107/S1600536812031789,The ZnII atom in the title polymeric compound ZnC8H6NO42H2O2 middot 2H2On lies on a center of inversion and is coordinated by two amine N atoms and two carboxylate O atoms from two 3amino5carboxybenzoate anions along with two water molecules in a distorted octahedral geometry,water molecules,water:0:molecule,is,octahedral geometry,octahedral:0:geometry,1,16,3,
10.1107/S1600536812031789,The ZnII atom in the title polymeric compound ZnC8H6NO42H2O2 middot 2H2On lies on a center of inversion and is coordinated by two amine N atoms and two carboxylate O atoms from two 3amino5carboxybenzoate anions along with two water molecules in a distorted octahedral geometry,title polymeric compound,title:1:polymeric:0:compound,lies,center of inversion,inversion:0:center,2,39,6,
10.1107/S1600536812031789,The ZnII atom in the title polymeric compound ZnC8H6NO42H2O2 middot 2H2On lies on a center of inversion and is coordinated by two amine N atoms and two carboxylate O atoms from two 3amino5carboxybenzoate anions along with two water molecules in a distorted octahedral geometry,center of inversion,inversion:0:center,coordinated,amine N atoms,amine:1:n:0:atom,2,27,5,is
10.1107/S1600536812031789,The ZnII atom in the title polymeric compound ZnC8H6NO42H2O2 middot 2H2On lies on a center of inversion and is coordinated by two amine N atoms and two carboxylate O atoms from two 3amino5carboxybenzoate anions along with two water molecules in a distorted octahedral geometry,ZnII atom in the title polymeric compound,title:1:polymeric:0:compound:2:znii:0:atom,lies,center of inversion,inversion:0:center,3,39,6,
10.1107/S1600536812031789,The bridging nature of the anion generates a layer motif parallel to 100,bridging nature,bridge:0:nature,generates,layer motif,layer:0:motif,1,26,5,
10.1107/S1600536812031789,The bridging nature of the anion generates a layer motif parallel to 100,bridging nature of the anion,anion:1:bridge:0:nature,generates,layer motif,layer:0:motif,2,13,2,
10.1107/S0909049508030859,The distinct Xray transmission profile obtained by scanning a sample in a diamond anvil cell across a collimated Xray beam is used to monitor sample displacement brought about by rotation,anvil cell,anvil:0:cell,used,sample displacement,sample:0:displacement,1,50,9,is
10.1107/S0909049508030859,The distinct Xray transmission profile obtained by scanning a sample in a diamond anvil cell across a collimated Xray beam is used to monitor sample displacement brought about by rotation,anvil cell,anvil:0:cell,monitor,sample displacement,sample:0:displacement,1,50,9,
10.1107/S0909049508030859,The distinct Xray transmission profile obtained by scanning a sample in a diamond anvil cell across a collimated Xray beam is used to monitor sample displacement brought about by rotation,diamond anvil cell,diamond:1:anvil:0:cell,used,sample displacement brought about by rotation,rotation:0:bring:1:sample:0:displacement,2,50,9,is
10.1107/S0909049508030859,The distinct Xray transmission profile obtained by scanning a sample in a diamond anvil cell across a collimated Xray beam is used to monitor sample displacement brought about by rotation,diamond anvil cell,diamond:1:anvil:0:cell,monitor,sample displacement brought about by rotation,rotation:0:bring:1:sample:0:displacement,2,50,9,
10.1107/S0909049508030859,This centring method differs from others also based on transmission in that it does not require a 180 deg  sample rotation nor does it require prior positioning of the rotation axis in the path of the Xray beam,centring method,centre:0:method,based,sample rotation,sample:0:rotation,1,87,16,
10.1107/S0909049508030859,This centring method differs from others also based on transmission in that it does not require a 180 deg  sample rotation nor does it require prior positioning of the rotation axis in the path of the Xray beam,centring method,centre:0:method,does,sample rotation,sample:0:rotation,1,87,16,
10.1107/S0909049508030859,This centring method differs from others also based on transmission in that it does not require a 180 deg  sample rotation nor does it require prior positioning of the rotation axis in the path of the Xray beam,centring method,centre:0:method,require,sample rotation,sample:0:rotation,1,87,16,
10.1107/S0909049508030859,This centring method differs from others also based on transmission in that it does not require a 180 deg  sample rotation nor does it require prior positioning of the rotation axis in the path of the Xray beam,centring method,centre:0:method,does,sample rotation,sample:0:rotation,1,87,16,
10.1107/S0909049508030859,This centring method differs from others also based on transmission in that it does not require a 180 deg  sample rotation nor does it require prior positioning of the rotation axis in the path of the Xray beam,centring method,centre:0:method,require,sample rotation,sample:0:rotation,1,87,16,
10.1107/S0909049508030859,This centring method differs from others also based on transmission in that it does not require a 180 deg  sample rotation nor does it require prior positioning of the rotation axis in the path of the Xray beam,sample rotation,sample:0:rotation,does,prior positioning,prior:0:position,1,21,4,
10.1107/S0909049508030859,This centring method differs from others also based on transmission in that it does not require a 180 deg  sample rotation nor does it require prior positioning of the rotation axis in the path of the Xray beam,sample rotation,sample:0:rotation,require,prior positioning,prior:0:position,1,21,4,
10.1107/S0909049508030859,This centring method differs from others also based on transmission in that it does not require a 180 deg  sample rotation nor does it require prior positioning of the rotation axis in the path of the Xray beam,sample rotation,sample:0:rotation,does,prior positioning,prior:0:position,1,21,4,
10.1107/S0909049508030859,This centring method differs from others also based on transmission in that it does not require a 180 deg  sample rotation nor does it require prior positioning of the rotation axis in the path of the Xray beam,sample rotation,sample:0:rotation,require,prior positioning,prior:0:position,1,21,4,
10.1107/S0909049508030859,This centring method differs from others also based on transmission in that it does not require a 180 deg  sample rotation nor does it require prior positioning of the rotation axis in the path of the Xray beam,centring method,centre:0:method,based,deg  sample rotation,deg:1:sample:0:rotation,2,82,15,
10.1107/S0909049508030859,This centring method differs from others also based on transmission in that it does not require a 180 deg  sample rotation nor does it require prior positioning of the rotation axis in the path of the Xray beam,centring method,centre:0:method,does,deg  sample rotation,deg:1:sample:0:rotation,2,82,15,
10.1107/S0909049508030859,This centring method differs from others also based on transmission in that it does not require a 180 deg  sample rotation nor does it require prior positioning of the rotation axis in the path of the Xray beam,centring method,centre:0:method,require,deg  sample rotation,deg:1:sample:0:rotation,2,82,15,
10.1107/S0909049508030859,This centring method differs from others also based on transmission in that it does not require a 180 deg  sample rotation nor does it require prior positioning of the rotation axis in the path of the Xray beam,centring method,centre:0:method,does,deg  sample rotation,deg:1:sample:0:rotation,2,82,15,
10.1107/S0909049508030859,This centring method differs from others also based on transmission in that it does not require a 180 deg  sample rotation nor does it require prior positioning of the rotation axis in the path of the Xray beam,centring method,centre:0:method,require,deg  sample rotation,deg:1:sample:0:rotation,2,82,15,
10.1107/S0909049508030859,This centring method differs from others also based on transmission in that it does not require a 180 deg  sample rotation nor does it require prior positioning of the rotation axis in the path of the Xray beam,deg  sample rotation,deg:1:sample:0:rotation,does,prior positioning,prior:0:position,2,21,4,
10.1107/S0909049508030859,This centring method differs from others also based on transmission in that it does not require a 180 deg  sample rotation nor does it require prior positioning of the rotation axis in the path of the Xray beam,deg  sample rotation,deg:1:sample:0:rotation,require,prior positioning,prior:0:position,2,21,4,
10.1107/S0909049508030859,This centring method differs from others also based on transmission in that it does not require a 180 deg  sample rotation nor does it require prior positioning of the rotation axis in the path of the Xray beam,deg  sample rotation,deg:1:sample:0:rotation,does,prior positioning,prior:0:position,2,21,4,
10.1107/S0909049508030859,This centring method differs from others also based on transmission in that it does not require a 180 deg  sample rotation nor does it require prior positioning of the rotation axis in the path of the Xray beam,deg  sample rotation,deg:1:sample:0:rotation,require,prior positioning,prior:0:position,2,21,4,
10.1107/S0909049508030859,After a full description of the method an example is presented together with an extended record of use to evaluate the method in a practical setting,full description of the method,method:0:description,presented,extended record,extend:0:record,1,42,7,is
10.1107/S0909049508030859,After a full description of the method an example is presented together with an extended record of use to evaluate the method in a practical setting,extended record,extend:0:record,evaluate,practical setting,practical:0:set,1,36,8,
10.1107/S0909049508030859,After a full description of the method an example is presented together with an extended record of use to evaluate the method in a practical setting,full description of the method,method:0:description,presented,extended record of use,use:1:extend:0:record,2,42,7,is
10.1107/S0909049508030859,After a full description of the method an example is presented together with an extended record of use to evaluate the method in a practical setting,extended record of use,use:1:extend:0:record,evaluate,practical setting,practical:0:set,2,29,6,
10.1107/S0909049508030859,Changing the orientation of the sample grains with respect to the incident beam yields the expected result of a more homogeneous intensity distribution along Debye rings,incident beam,incident:0:beam,yields,expected result,expect:0:result,1,12,2,
10.1107/S0909049508030859,Changing the orientation of the sample grains with respect to the incident beam yields the expected result of a more homogeneous intensity distribution along Debye rings,respect to the incident beam,incident:0:beam:1:respect,yields,expected result,expect:0:result,2,12,2,
10.1107/S0909049508030859,Changing the orientation of the sample grains with respect to the incident beam yields the expected result of a more homogeneous intensity distribution along Debye rings,orientation of the sample grains with respect to the incident beam,incident:0:beam:1:respect:2:sample:0:grain:1:orientation,yields,expected result,expect:0:result,3,12,2,
10.1107/S0909049508030859,Interestingly by limiting the amount of time large grains assume a particular orientation rocking brings about the added effect of significantly reducing detector saturation,large grains,large:0:grain,assume,particular orientation,particular:0:orientation,1,10,2,
10.1107/S0909049508030859,Interestingly by limiting the amount of time large grains assume a particular orientation rocking brings about the added effect of significantly reducing detector saturation,particular orientation,particular:0:orientation,rocking,added effect,add:0:effect,1,26,4,
10.1107/S0909049508030859,Interestingly by limiting the amount of time large grains assume a particular orientation rocking brings about the added effect of significantly reducing detector saturation,particular orientation,particular:0:orientation,rocking,added effect of significantly reducing detector saturation,detector:0:saturation:1:significantly:0:reduce:2:add:0:effect,3,26,4,
10.1107/S1600536812032618,The title compound MnC6H4N5O2H2O4 is isotypic with its Zn Ni and Cd analogues reported recently,title compound,title:0:compound,is,analogues reported recently,recently:0:report:1:analogue,2,50,9,
10.1107/S1600536812032618,In the crystal the MnII cations are coordinated by four O atoms from four aqua ligands and two N atoms from two 5pyridin4yltetrazolide N5oxide ligands in a distorted octahedral coordination environment,MnII cations,mnii:0:cation,coordinated,O atoms,o:0:atom,1,25,4,are
10.1107/S1600536812032618,The asymmetric unit consists of one MnII cation located on a crystallographic twofold axis and two crystallographically independent water molecules and one Ndonor ligand in general positions,asymmetric unit,asymmetric:0:unit,consists,twofold axis,twofold:0:axis,1,59,9,
10.1107/S1600536812032618,The asymmetric unit consists of one MnII cation located on a crystallographic twofold axis and two crystallographically independent water molecules and one Ndonor ligand in general positions,asymmetric unit,asymmetric:0:unit,consists,crystallographic twofold axis,crystallographic:1:twofold:0:axis,2,42,8,
10.1107/S1600536812032618,The discrete complex molecules are arranged in alternating rows parallel to 100 and are linked by O mdash H,complex molecules,complex:0:molecule,arranged,mdash H,mdash:0:h,1,70,13,are
10.1107/S1600536812032618,The discrete complex molecules are arranged in alternating rows parallel to 100 and are linked by O mdash H,complex molecules,complex:0:molecule,alternating,mdash H,mdash:0:h,1,70,13,
10.1107/S1600536812032618,The discrete complex molecules are arranged in alternating rows parallel to 100 and are linked by O mdash H,complex molecules,complex:0:molecule,linked,mdash H,mdash:0:h,1,70,13,are
10.1107/S1600536812032618,The discrete complex molecules are arranged in alternating rows parallel to 100 and are linked by O mdash H,discrete complex molecules,discrete:1:complex:0:molecule,arranged,O mdash H,o:1:mdash:0:h,2,68,12,are
10.1107/S1600536812032618,The discrete complex molecules are arranged in alternating rows parallel to 100 and are linked by O mdash H,discrete complex molecules,discrete:1:complex:0:molecule,alternating,O mdash H,o:1:mdash:0:h,2,68,12,
10.1107/S1600536812032618,The discrete complex molecules are arranged in alternating rows parallel to 100 and are linked by O mdash H,discrete complex molecules,discrete:1:complex:0:molecule,linked,O mdash H,o:1:mdash:0:h,2,68,12,are
10.1107/S0108768199014020,To reduce thermal vibrations the Xray data were collected at low temperature 173 emsp14 K and the structure was solved using direct methods,thermal vibrations,thermal:0:vibration,were,low temperature,low:0:temperature,1,33,6,
10.1107/S0108768199014020,To reduce thermal vibrations the Xray data were collected at low temperature 173 emsp14 K and the structure was solved using direct methods,low temperature,low:0:temperature,was,direct methods,direct:0:method,1,49,9,
10.1107/S0108768199014020,To reduce thermal vibrations the Xray data were collected at low temperature 173 emsp14 K and the structure was solved using direct methods,low temperature,low:0:temperature,using,direct methods,direct:0:method,1,49,9,
