subject,object,predicate,sentence,pred freq,sub freq,obj freq,distance,root,root freq,synonyms,sub term,obj term,level,doc ID
Timepix detector,dynamic range,combines,Here it is shown that the novel Timepix detector combines a high dynamic range with a very high signaltonoise ratio and singleelectron sensitivity enabling ab initio phasing of beamsensitive organic compounds,2,1,1,17,combine,4,"{'compound', 'meld', 'flux', 'commingle', 'unite', 'merge', 'immix', 'mix', 'coalesce', 'fuse', 'blend', 'combine', 'aggregate', 'conflate'}",timepix:0:detector,dynamic:0:range,1,10.1107/S2053273315022500
novel Timepix detector,high dynamic range,combines,Here it is shown that the novel Timepix detector combines a high dynamic range with a very high signaltonoise ratio and singleelectron sensitivity enabling ab initio phasing of beamsensitive organic compounds,2,1,1,12,combine,4,"{'compound', 'meld', 'flux', 'commingle', 'unite', 'merge', 'immix', 'mix', 'coalesce', 'fuse', 'blend', 'combine', 'aggregate', 'conflate'}",novel:1:timepix:0:detector,high:1:dynamic:0:range,2,10.1107/S2053273315022500
s minus 1,room temperature,were collected at,Aring  minus 2 emsp14 s minus 1 were collected at room temperature with the rotation method,4,1,11,19,collect,22,"{'amass', 'compile', 'collect', 'accumulate', 'hoard', 'gather', 'garner'}",minus:0:s,room:0:temperature,1,10.1107/S2053273315022500
Aring  minus 2 emsp14 s minus 1,room temperature with the rotation method,were collected at,Aring  minus 2 emsp14 s minus 1 were collected at room temperature with the rotation method,4,1,1,19,collect,22,"{'amass', 'compile', 'collect', 'accumulate', 'hoard', 'gather', 'garner'}",minus:0:aring:1:minus:0:s,rotation:0:method:1:room:0:temperature,2,10.1107/S2053273315022500
structure solution,direct methods,using,It was ascertained that the data were of sufficient quality for structure solution using direct methods using software developed for Xray crystallography XDS SHELX and for electron crystallography ADT3DPETS SIR2014,109,2,3,7,use,179,"{'utilize', 'expend', 'use', 'apply', 'utilise', 'habituate', 'practice', 'employ'}",structure:0:solution,direct:0:method,1,10.1107/S2053273315022500
structure solution,direct methods,using,It was ascertained that the data were of sufficient quality for structure solution using direct methods using software developed for Xray crystallography XDS SHELX and for electron crystallography ADT3DPETS SIR2014,109,2,3,7,use,179,"{'utilize', 'expend', 'use', 'apply', 'utilise', 'habituate', 'practice', 'employ'}",structure:0:solution,direct:0:method,1,10.1107/S2053273315022500
anisotropic scale,increasing importance,is of,A reliable method for the determination of bulksolvent model parameters and an overall anisotropic scale factor is of increasing importance as structure determination becomes more automated,7,1,1,14,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",anisotropic:0:scale,increase:0:importance,1,10.1107/S0907444905007894
Current protocols,manual inspection,require,Current protocols require the manual inspection of refinement results in order to detect errors in the calculation of these parameters,7,1,1,13,require,14,"{'demand', 'take', 'need', 'expect', 'postulate', 'necessitate', 'ask', 'require', 'want', 'command', 'involve', 'compel'}",current:0:protocol,manual:0:inspection,1,10.1107/S0907444905007894
usual crystallization process,protein crystallization growth,evaluate,In the usual crystallization process researchers evaluate the protein crystallization growth states based on visual impressions and assign them a score over and over again,1,1,1,26,evaluate,8,"{'measure', 'value', 'appraise', 'evaluate', 'valuate', 'assess'}",usual:1:crystallization:0:process,protein:1:crystallization:0:growth,2,10.1107/S0907444905007948
feature extraction,texture analysis,using,The algorithm is comprised of preprocessing feature extraction from images using texture analysis and a categorization process using linear discriminant analysis,109,2,2,19,use,179,"{'utilize', 'expend', 'use', 'apply', 'utilise', 'habituate', 'practice', 'employ'}",feature:0:extraction,texture:0:analysis,1,10.1107/S0907444905007948
feature extraction,texture analysis,using,The algorithm is comprised of preprocessing feature extraction from images using texture analysis and a categorization process using linear discriminant analysis,109,2,2,19,use,179,"{'utilize', 'expend', 'use', 'apply', 'utilise', 'habituate', 'practice', 'employ'}",feature:0:extraction,texture:0:analysis,1,10.1107/S0907444905007948
categorization process,discriminant analysis,using,The algorithm is comprised of preprocessing feature extraction from images using texture analysis and a categorization process using linear discriminant analysis,109,2,2,14,use,179,"{'utilize', 'expend', 'use', 'apply', 'utilise', 'habituate', 'practice', 'employ'}",categorization:0:process,discriminant:0:analysis,1,10.1107/S0907444905007948
categorization process,discriminant analysis,using,The algorithm is comprised of preprocessing feature extraction from images using texture analysis and a categorization process using linear discriminant analysis,109,2,2,14,use,179,"{'utilize', 'expend', 'use', 'apply', 'utilise', 'habituate', 'practice', 'employ'}",categorization:0:process,discriminant:0:analysis,1,10.1107/S0907444905007948
performance of this method,human expert,has been,The performance of this method has been evaluated by comparing the results obtained by using this method with the results from a human expert and the concordance rate was 906,95,4,4,99,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",method:0:performance,human:0:expert,1,10.1107/S0907444905007948
performance of this method,human expert,evaluated by,The performance of this method has been evaluated by comparing the results obtained by using this method with the results from a human expert and the concordance rate was 906,1,4,4,99,evaluate,8,"{'measure', 'value', 'appraise', 'evaluate', 'valuate', 'assess'}",method:0:performance,human:0:expert,1,10.1107/S0907444905007948
performance of this method,human expert,by comparing,The performance of this method has been evaluated by comparing the results obtained by using this method with the results from a human expert and the concordance rate was 906,1,4,4,99,compare,38,"{'compare', 'equate', 'liken'}",method:0:performance,human:0:expert,1,10.1107/S0907444905007948
performance of this method,human expert,by using,The performance of this method has been evaluated by comparing the results obtained by using this method with the results from a human expert and the concordance rate was 906,6,4,4,99,use,179,"{'utilize', 'expend', 'use', 'apply', 'utilise', 'habituate', 'practice', 'employ'}",method:0:performance,human:0:expert,1,10.1107/S0907444905007948
Bragg angles,precise values,is shown to,A null method matching the Bragg angles of a standard and the sample is shown to give precise values of lattice parameters,2,2,2,47,show,95,"{'indicate', 'display', 'show', 'shew', 'demonstrate', 'express', 'render', 'demo', 'testify', 'point', 'depict', 'prove', 'evidence', 'picture', 'present', 'exhibit', 'evince', 'reveal', 'establish'}",bragg:0:angle,precise:0:value,1,10.1107/S0021889890013097
Bragg angles,precise values,to give,A null method matching the Bragg angles of a standard and the sample is shown to give precise values of lattice parameters,6,2,2,47,give,50,"{'hold', 'give', 'gift', 'afford', 'throw', 'have', 'present', 'yield', 'pay'}",bragg:0:angle,precise:0:value,1,10.1107/S0021889890013097
Bragg angles of a standard,precise values of lattice parameters,is shown to,A null method matching the Bragg angles of a standard and the sample is shown to give precise values of lattice parameters,2,2,2,33,show,95,"{'indicate', 'display', 'show', 'shew', 'demonstrate', 'express', 'render', 'demo', 'testify', 'point', 'depict', 'prove', 'evidence', 'picture', 'present', 'exhibit', 'evince', 'reveal', 'establish'}",standard:1:bragg:0:angle,lattice:0:parameter:1:precise:0:value,2,10.1107/S0021889890013097
Bragg angles of a standard,precise values of lattice parameters,to give,A null method matching the Bragg angles of a standard and the sample is shown to give precise values of lattice parameters,6,2,2,33,give,50,"{'hold', 'give', 'gift', 'afford', 'throw', 'have', 'present', 'yield', 'pay'}",standard:1:bragg:0:angle,lattice:0:parameter:1:precise:0:value,2,10.1107/S0021889890013097
lattice parameter of tungsten,SRM 640b silicon standard,is determined in,The method is general though for this demonstration the lattice parameter of tungsten is determined in terms of the SRM 640b silicon standard,1,1,1,31,determine,65,"{'limit', 'settle', 'ascertain', 'determine', 'find', 'set', 'see', 'specify', 'regulate', 'watch', 'mold', 'learn', 'fix', 'shape', 'influence', 'decide'}",tungsten:1:lattice:0:parameter,srm:1:silicon:0:standard,2,10.1107/S0021889890013097
programmable interfaces,diffractometer control,simplifies,The application of singleboard microcomputers as programmable interfaces simplifies the construction of complex diffractometer control units,1,1,1,40,simplify,1,{'simplify'},programmable:0:interface,diffractometer:0:control,1,10.1107/S0021889890012365
control units,structure of the circuits,is reduced,The amount of hardware components of the control units is reduced and the structure of the circuits is easy to survey,1,1,1,20,reduce,6,"{'trim', 'shrink', 'cut', 'reduce'}",control:0:unit,circuit:0:structure,1,10.1107/S0021889890012365
intelligent multipurpose,personal computer,unburden,These intelligent multipurpose singleboard microcomputers unburden the personal computer and simplify the development of the diffractometer measuring program,1,1,1,41,unburden,1,"{'disburden', 'unburden'}",intelligent:0:multipurpose,personal:0:computer,1,10.1107/S0021889890012365
polycrystalline systems,very short times,using,The accuracy of the weight fractions calculated with the Rietveld method for various polycrystalline systems using data collected for very short times 5 ndash 45 emsp14 min with an RTMS realtime multiple strip detector was verified,109,1,1,26,use,179,"{'utilize', 'expend', 'use', 'apply', 'utilise', 'habituate', 'practice', 'employ'}",polycrystalline:0:system,short:0:time,1,10.1107/S0021889803022052
weight estimates,data acquisition,were compared with,The weight estimates were compared with those obtained using the same conventional Bragg ndash Brentano geometry a gas proportional detector and a 13 emsp14 h data acquisition,3,3,3,139,compare,38,"{'compare', 'equate', 'liken'}",weight:0:estimate,datum:0:acquisition,1,10.1107/S0021889803022052
weight estimates,data acquisition,obtained,The weight estimates were compared with those obtained using the same conventional Bragg ndash Brentano geometry a gas proportional detector and a 13 emsp14 h data acquisition,3,3,3,139,obtain,42,"{'receive', 'get', 'obtain', 'incur', 'prevail'}",weight:0:estimate,datum:0:acquisition,1,10.1107/S0021889803022052
weight estimates,data acquisition,using,The weight estimates were compared with those obtained using the same conventional Bragg ndash Brentano geometry a gas proportional detector and a 13 emsp14 h data acquisition,109,3,3,139,use,179,"{'utilize', 'expend', 'use', 'apply', 'utilise', 'habituate', 'practice', 'employ'}",weight:0:estimate,datum:0:acquisition,1,10.1107/S0021889803022052
results of the refinements,estimated weights,show,The results of the refinements show estimated weights consistent with both those obtained with a gas proportional detector and with the nominal values indicating a very good accuracy,30,1,1,6,show,95,"{'indicate', 'display', 'show', 'shew', 'demonstrate', 'express', 'render', 'demo', 'testify', 'point', 'depict', 'prove', 'evidence', 'picture', 'present', 'exhibit', 'evince', 'reveal', 'establish'}",refinement:0:result,estimate:0:weight,1,10.1107/S0021889803022052
variable slits,slightly decreases,are used,Only when variable slits are used the accuracy of the estimated weights slightly decreases,1,1,1,48,use,179,"{'utilize', 'expend', 'use', 'apply', 'utilise', 'habituate', 'practice', 'employ'}",variable:0:slit,slightly:0:decrease,1,10.1107/S0021889803022052
lang 110 rang  ,edge dislocations,have been,Dislocations in the  lang 110 rang  sectors have been characterized as edge dislocations with Burgers vector parallel to the c axis,55,1,1,35,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",ring:0:lang,edge:0:dislocation,1,10.1107/S0021889803024415
Dislocations in the  lang 110 rang  ,edge dislocations with Burgers vector,have been,Dislocations in the  lang 110 rang  sectors have been characterized as edge dislocations with Burgers vector parallel to the c axis,55,1,1,35,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",dislocation:1:ring:0:lang,burgers:0:vector:1:edge:0:dislocation,2,10.1107/S0021889803024415
protein crystals,surface techniques,has been,This spiral growth on protein crystals has been observed many times by surface techniques,95,4,2,33,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",protein:0:crystal,surface:0:technique,1,10.1107/S0021889803024415
protein crystals,surface techniques,observed,This spiral growth on protein crystals has been observed many times by surface techniques,2,4,2,33,observe,29,"{'find', 'observe', 'discover', 'notice', 'watch', 'keep', 'note', 'celebrate', 'honor', 'respect', 'mention', 'remark', 'honour', 'detect'}",protein:0:crystal,surface:0:technique,1,10.1107/S0021889803024415
Various aspects,direct comparison,were explored,Various aspects of the PDF were explored either qualitatively by direct comparison or quantitatively via structural modelling,2,1,1,50,explore,3,"{'explore', 'research', 'search'}",various:0:aspect,direct:0:comparison,1,10.1107/S0021889803026670
Various aspects of the PDF,either qualitatively by direct comparison,were explored,Various aspects of the PDF were explored either qualitatively by direct comparison or quantitatively via structural modelling,2,1,1,15,explore,3,"{'explore', 'research', 'search'}",pdf:1:various:0:aspect,qualitatively:1:direct:0:comparison,2,10.1107/S0021889803026670
Al atoms,experimental measurements,are compared with,The temperature dependences of DW factors of Ni and Al atoms are compared with previous experimental measurements and theoretical calculations,4,1,1,28,compare,38,"{'compare', 'equate', 'liken'}",al:0:atom,experimental:0:measurement,1,10.1107/S0108767310034471
Structure factors,prior reports,are determined with,Structure factors are determined with an accuracy of 005 and compared with prior reports,2,2,2,58,determine,65,"{'limit', 'settle', 'ascertain', 'determine', 'find', 'set', 'see', 'specify', 'regulate', 'watch', 'mold', 'learn', 'fix', 'shape', 'influence', 'decide'}",structure:0:factor,prior:0:report,1,10.1107/S0108767310034471
Structure factors,prior reports,compared with,Structure factors are determined with an accuracy of 005 and compared with prior reports,16,2,2,58,compare,38,"{'compare', 'equate', 'liken'}",structure:0:factor,prior:0:report,1,10.1107/S0108767310034471
crystal surface,angle  beta,diffracted by,Expressions for Braggs law have been derived for the general case of Bragg diffraction in which an incident beam strikes a crystal surface at an angle  alpha  is then diffracted by planes inclined to the surface by  phiv  and leaves the same surface at an angle  beta ,2,2,2,118,diffract,13,{'diffract'},crystal:0:surface,angle:0:beta,1,10.1107/S0108767388012243
crystal surface,angle  beta,leaves,Expressions for Braggs law have been derived for the general case of Bragg diffraction in which an incident beam strikes a crystal surface at an angle  alpha  is then diffracted by planes inclined to the surface by  phiv  and leaves the same surface at an angle  beta ,1,2,2,118,leaf,1,"{'thumb', 'riff', 'flick', 'riffle', 'flip', 'leaf'}",crystal:0:surface,angle:0:beta,1,10.1107/S0108767388012243
general case of Bragg diffraction,planes inclined to the surface by  ,diffracted by,Expressions for Braggs law have been derived for the general case of Bragg diffraction in which an incident beam strikes a crystal surface at an angle  alpha  is then diffracted by planes inclined to the surface by  phiv  and leaves the same surface at an angle  beta ,2,1,1,95,diffract,13,{'diffract'},bragg:0:diffraction:1:general:0:case,surface:0:incline:1:plane,2,10.1107/S0108767388012243
grain boundaries,dislocation structure,allows,Accurate measurement of the deviation from coincidence orientation for grain boundaries allows the intergranular dislocation structure to be predicted,21,1,1,26,allow,33,"{'earmark', 'allow', 'leave', 'let', 'provide', 'admit', 'reserve', 'grant', 'appropriate', 'countenance', 'permit'}",grain:0:boundary,dislocation:0:structure,1,10.1107/S0021889890010822
coincidence orientation for grain boundaries,intergranular dislocation structure,allows,Accurate measurement of the deviation from coincidence orientation for grain boundaries allows the intergranular dislocation structure to be predicted,21,1,1,12,allow,33,"{'earmark', 'allow', 'leave', 'let', 'provide', 'admit', 'reserve', 'grant', 'appropriate', 'countenance', 'permit'}",grain:0:boundary:1:coincidence:0:orientation,intergranular:1:dislocation:0:structure,2,10.1107/S0021889890010822
hexagonal symmetry,pure rotation and a deformation,be split into,For hexagonal symmetry the deviation may generally be split into two components a pure rotation and a deformation,1,1,1,60,split,1,"{'burst', 'dissever', 'split', 'separate', 'divide', 'rive', 'part', 'cleave'}",hexagonal:0:symmetry,deformation:0:pure:0:rotation,1,10.1107/S0021889890010822
rotation  ndash  ,Kikuchi lines,depends,The precision on the elements of the rotation  ndash  axis and angle  ndash  depends strongly on the sharpness of the Kikuchi lines,4,1,1,64,depend,12,"{'depend', 'calculate', 'bet', 'count', 'reckon'}",rotation:0:ndash,kikuchi:0:line,1,10.1107/S0021889890010822
rotation  ndash  axis,sharpness of the Kikuchi lines,depends,The precision on the elements of the rotation  ndash  axis and angle  ndash  depends strongly on the sharpness of the Kikuchi lines,4,1,1,43,depend,12,"{'depend', 'calculate', 'bet', 'count', 'reckon'}",rotation:0:ndash:1:axis,kikuchi:0:line:1:sharpness,2,10.1107/S0021889890010822
title compound,dinuclear structure,displays,The title compound Cu2C7H3NO42C12H12N6H2O2 middot H2O displays a discrete dinuclear structure in which the central CuII atom is fivecoordinated in a distorted squarebased pyramidal coordination geometry and the flexible ligand 14bis124triazol1ylmethylbenzene adopts a bismonodentate bridging mode linking the CuII atoms,10,195,1,56,display,13,"{'display', 'reveal', 'show', 'expose', 'exhibit'}",title:0:compound,dinuclear:0:structure,1,10.1107/S1600536811022756
adjacent molecules,C mdash,are connected via,In the crystal adjacent molecules are connected via intermolecular C mdash H,6,6,35,34,connect,34,"{'relate', 'associate', 'colligate', 'join', 'unite', 'tie', 'link', 'connect'}",adjacent:0:molecule,c:0:mdash,1,10.1107/S1600536811023282
title compound,lone pair,is in,The TeIV atom in the title compound TeC4H9C8H10BrCl2 or C12H19BrCl2Te is in a distorted  psi trigonal ndash bipyramidal geometry with the lone pair of electrons projected to occupy a position in the equatorial plane and with the Cl atoms being mutually trans 17248 emsp14 4 deg ,41,195,2,103,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",title:0:compound,lone:0:pair,1,10.1107/S1600536811023142
TeIV atom in the title compound,ndash bipyramidal geometry,is in,The TeIV atom in the title compound TeC4H9C8H10BrCl2 or C12H19BrCl2Te is in a distorted  psi trigonal ndash bipyramidal geometry with the lone pair of electrons projected to occupy a position in the equatorial plane and with the Cl atoms being mutually trans 17248 emsp14 4 deg ,41,1,1,67,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",title:0:compound:1:teiv:0:atom,ndash:0:bipyramidal:1:geometry,2,10.1107/S1600536811023142
primary connections,C mdash,are of,The primary connections between layers are of the type C mdash H,5,1,35,32,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",primary:0:connection,c:0:mdash,1,10.1107/S1600536811023142
primary connections between layers,C mdash H,are of,The primary connections between layers are of the type C mdash H,5,1,16,17,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",layer:1:primary:0:connection,c:0:mdash:1:h,2,10.1107/S1600536811023142
title complex,extended layers,consists of,The crystal structure of the title complex ZnC7H6NO2S2H2On consists of extended layers parallel to 001 with 2pyridin4ylsulfanylacetate ligands bridging the ZnII atoms,35,13,1,29,consist,41,"{'lie', 'consist', 'belong', 'dwell', 'comprise'}",title:0:complex,extend:0:layer,1,10.1107/S1600536811024512
O atom,rotation axis,are situated on,The ZnII and one O atom are situated on a crystallographic twofold rotation axis,1,6,7,44,situate,4,"{'situate', 'posit', 'locate', 'deposit'}",o:0:atom,rotation:0:axis,1,10.1107/S1600536811024512
title compound,independent molecules,contains,The asymmetric unit of the title compound C15H12N2O contains two independent molecules with different conformations the phenyl ring and indazole mean plane in the two molecules forming dihedral angles of 5082 emsp14 5 and 8929 emsp14 6 deg ,62,195,17,24,contain,80,"{'hold', 'arrest', 'control', 'moderate', 'incorporate', 'carry', 'check', 'bear', 'curb', 'stop', 'comprise', 'contain'}",title:0:compound,independent:0:molecule,1,10.1107/S1600536812051811
asymmetric unit of the title compound,two independent molecules with different conformations,contains,The asymmetric unit of the title compound C15H12N2O contains two independent molecules with different conformations the phenyl ring and indazole mean plane in the two molecules forming dihedral angles of 5082 emsp14 5 and 8929 emsp14 6 deg ,62,7,2,20,contain,80,"{'hold', 'arrest', 'control', 'moderate', 'incorporate', 'carry', 'check', 'bear', 'curb', 'stop', 'comprise', 'contain'}",title:0:compound:1:asymmetric:0:unit,different:0:conformation:1:independent:0:molecule,2,10.1107/S1600536812051811
hydroxy group,mdash H,is involved in,The hydroxy group is involved in a weak intramolecular O mdash H,9,4,121,40,involve,42,"{'demand', 'take', 'imply', 'need', 'postulate', 'regard', 'ask', 'require', 'affect', 'involve', 'necessitate'}",hydroxy:0:group,mdash:0:h,1,10.1107/S1600536812051938
title molecule,envelope conformation,has,In the title molecule C11H13ClN2O the fivemembered ring has an envelope conformation,96,13,7,42,have,105,"{'feature', 'give', 'let', 'get', 'receive', 'experience', 'possess', 'ingest', 'own', 'have', 'undergo', 'consume', 'hold'}",title:0:molecule,envelope:0:conformation,1,10.1107/S1600536811024111
title compound,tetrahedral geometry,adopts,The molecular structure of the title compound C22H34N3OP adopts a distorted tetrahedral geometry at the P atom with the most noticeable distortion being for the O mdash P mdash N angle 11753 emsp14 10 deg ,30,195,6,31,adopt,39,"{'acquire', 'embrace', 'take', 'dramatise', 'dramatize', 'assume', 'borrow', 'follow', 'espouse', 'adopt'}",title:0:compound,tetrahedral:0:geometry,1,10.1107/S1600536812050398
most noticeable distortion,O mdash,being for,The molecular structure of the title compound C22H34N3OP adopts a distorted tetrahedral geometry at the P atom with the most noticeable distortion being for the O mdash P mdash N angle 11753 emsp14 10 deg ,3,1,3,15,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",noticeable:0:distortion,o:0:mdash,1,10.1107/S1600536812050398
distorted tetrahedral geometry,O mdash P mdash,being for,The molecular structure of the title compound C22H34N3OP adopts a distorted tetrahedral geometry at the P atom with the most noticeable distortion being for the O mdash P mdash N angle 11753 emsp14 10 deg ,3,3,1,65,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",distort:1:tetrahedral:0:geometry,p:0:mdash:1:o:0:mdash,2,10.1107/S1600536812050398
distorted tetrahedral geometry at the P atom,O mdash P mdash N angle,being for,The molecular structure of the title compound C22H34N3OP adopts a distorted tetrahedral geometry at the P atom with the most noticeable distortion being for the O mdash P mdash N angle 11753 emsp14 10 deg ,3,1,1,51,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",p:0:atom:2:distort:1:tetrahedral:0:geometry,p:0:mdash:1:o:0:mdash:2:n:0:angle,3,10.1107/S1600536812050398
O interactions,infinite chains,create,O interactions create infinite chains along 100 whereas C mdash H,5,5,5,8,create,8,"{'create', 'make', 'produce'}",o:0:interaction,infinite:0:chain,1,10.1107/S1600536812050398
benzene rings,ring system,are oriented with,In the title compound C22H14F2 the two benzene rings are oriented with respect to the naphthalene ring system at 6776 emsp14 8 and 6750 emsp14 8 deg  and the two benzene rings are twisted with respect to each other at 1895 emsp14 10 deg ,1,7,2,46,orient,8,"{'orientate', 'point', 'orient'}",benzene:0:ring,ring:0:system,1,10.1107/S1600536811020563
title compound,a trans conformation,displays,The title compound C15H12BrN3O4 displays a trans conformation with respect to the CN double bond,10,195,1,23,display,13,"{'display', 'reveal', 'show', 'expose', 'exhibit'}",title:0:compound,trans:0:conformation,1,10.1107/S1600536811023609
asymmetric unit,Cu ion,consists of,In the structure of the title compound Cu2NO24C5H8N24 the asymmetric unit consists of two moieties containing one Cu ion two nitrite ions and two 1ethyl1Himidazole molecules associated via weak Cu mdash O interactions,35,16,1,41,consist,41,"{'lie', 'consist', 'belong', 'dwell', 'comprise'}",asymmetric:0:unit,cu:0:ion,1,10.1107/S1600536811020745
dimeric units,mdash H,are linked into,The dimeric units are linked into a threedimensional network by C mdash H,7,1,121,49,link,102,"{'relate', 'associate', 'colligate', 'yoke', 'join', 'unite', 'tie', 'link', 'connect'}",dimeric:0:unit,mdash:0:h,1,10.1107/S1600536811020745
triazole compound,centrosymmetric dimers,are connected into,In the crystal structure of the title triazole compound C14H9ClN4O2S molecules are connected into centrosymmetric dimers by pairs of N mdash H,5,1,9,43,connect,34,"{'relate', 'associate', 'colligate', 'join', 'unite', 'tie', 'link', 'connect'}",triazole:0:compound,centrosymmetric:0:dimer,1,10.1107/S1600536811020459
title triazole compound,N mdash H,are connected into,In the crystal structure of the title triazole compound C14H9ClN4O2S molecules are connected into centrosymmetric dimers by pairs of N mdash H,5,1,16,78,connect,34,"{'relate', 'associate', 'colligate', 'join', 'unite', 'tie', 'link', 'connect'}",title:1:triazole:0:compound,n:1:mdash:0:h,2,10.1107/S1600536811020459
crystal structure of the title triazole compound,pairs of N mdash H,are connected into,In the crystal structure of the title triazole compound C14H9ClN4O2S molecules are connected into centrosymmetric dimers by pairs of N mdash H,5,1,1,69,connect,34,"{'relate', 'associate', 'colligate', 'join', 'unite', 'tie', 'link', 'connect'}",title:1:triazole:0:compound:2:crystal:0:structure,n:1:mdash:0:h:2:pair,3,10.1107/S1600536811020459
title compound,syn configuration,has,In the title compound C14H14F3NO4 the 333trifluoropyruvate fragment has a syn configuration and is noncoplanar with the indole plane dihedral angle  8487 emsp14 5 deg ,96,195,2,53,have,105,"{'feature', 'give', 'let', 'get', 'receive', 'experience', 'possess', 'ingest', 'own', 'have', 'undergo', 'consume', 'hold'}",title:0:compound,syn:0:configuration,1,10.1107/S1600536811021489
ester group,acetylsalicylic acid,is twisted with,In the title compound C19H18O5 the ester group is twisted with respect to the acetylsalicylic acid and eugenol rings at dihedral angles of 2248 emsp14 2 and 8107 emsp14 1 deg  respectively,2,1,1,32,twist,13,"{'worm', 'wrick', 'sophisticate', 'rick', 'convolute', 'bend', 'deform', 'flex', 'wrench', 'wriggle', 'twist', 'writhe', 'sprain', 'twine', 'wrestle', 'pervert', 'distort', 'squirm'}",ester:0:group,acetylsalicylic:0:acid,1,10.1107/S1600536811021416
title compound,potential ligand,has been,The title compound C26H23BrN6 has been synthesized as a potential ligand for the construction of metal ndash organic frameworks,95,195,2,38,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",title:0:compound,potential:0:ligand,1,10.1107/S1600536811023464
title compound,potential ligand,synthesized as,The title compound C26H23BrN6 has been synthesized as a potential ligand for the construction of metal ndash organic frameworks,1,195,2,38,synthesize,13,"{'synthesise', 'synthesize'}",title:0:compound,potential:0:ligand,1,10.1107/S1600536811023464
large voids,solvent molecules,contain,The structure contains large voids which contain highly disordered solvent molecules that may be CH3CH2OH,8,1,1,33,contain,80,"{'hold', 'arrest', 'control', 'moderate', 'incorporate', 'carry', 'check', 'bear', 'curb', 'stop', 'comprise', 'contain'}",large:0:void,solvent:0:molecule,1,10.1107/S1600536811023464
molecular conformation,mdash H,is stabilized by,The molecular conformation is stabilized by intramolecular O mdash H,58,6,121,35,stabilize,81,"{'stabilize', 'steady', 'stabilise', 'brace'}",molecular:0:conformation,mdash:0:h,1,10.1107/S1600536813000354
title compound,meso isomer,represents,The title compound C5H8Cl2O2 represents a meso isomer crystallizing in a chiral space group with two molecules per asymmetric unit,5,195,1,24,represent,10,"{'defend', 'interpret', 'symbolise', 'be', 'correspond', 'represent', 'symbolize', 'constitute', 'exemplify', 'comprise', 'typify'}",title:0:compound,meso:0:isomer,1,10.1107/S1600536813000366
supramolecular architecture,C mdash,is stabilized by,The overall threedimesional supramolecular architecture is stabilized by C mdash Cl,58,1,35,18,stabilize,81,"{'stabilize', 'steady', 'stabilise', 'brace'}",supramolecular:0:architecture,c:0:mdash,1,10.1107/S1600536813000366
title compound,independent molecules,consists of,The asymmetric unit of the title compound C11H13Br1N2O1S1 consists of two independent molecules which are linked by N mdash H,35,195,17,33,consist,41,"{'lie', 'consist', 'belong', 'dwell', 'comprise'}",title:0:compound,independent:0:molecule,1,10.1107/S1600536811021684
ZnII ion,O atoms,is coordinated by,middot H2O the ZnII ion is coordinated by two N and two O atoms from two 5nbutylpyridine2carboxylato ligands and one O atom from a water molecule in a distorted squarepyramidal geometry,43,5,21,33,coordinate,62,"{'coordinate', 'organise', 'organize', 'align', 'ordinate'}",znii:0:ion,o:0:atom,1,10.1107/S1600536811021623
hydrogen bonds,supramolecular structure,link,O hydrogen bonds link molecules into a twodimensional supramolecular structure parallel to 001,35,46,4,38,link,102,"{'relate', 'associate', 'colligate', 'yoke', 'join', 'unite', 'tie', 'link', 'connect'}",hydrogen:0:bond,supramolecular:0:structure,1,10.1107/S1600536811021623
title compound,independent molecules,contains,The asymmetric unit of the title compound C14H13NO5S contains two independent molecules in which the dihedral angles between the aromatic rings are 8345 emsp14 11 and 8665 emsp14 9 deg ,62,195,17,25,contain,80,"{'hold', 'arrest', 'control', 'moderate', 'incorporate', 'carry', 'check', 'bear', 'curb', 'stop', 'comprise', 'contain'}",title:0:compound,independent:0:molecule,1,10.1107/S1600536811025098
