subject,object,predicate,sentence,pred freq,sub freq,obj freq,char dist,word dist,stem,stem freq,synonyms,pred term,sub term,obj term,level,doc ID,changes
categorization process,discriminant analysis,using,The algorithm is comprised of preprocessing feature extraction from images using texture analysis and a categorization process using linear discriminant analysis,198,2,2,14,2,use,319,"{'utilise', 'use', 'habituate', 'apply', 'employ', 'practice', 'expend', 'utilize'}",using,categorization:0:process,discriminant:0:analysis,1,10.1107/S0907444905007948,
categorization process,discriminant analysis,using,The algorithm is comprised of preprocessing feature extraction from images using texture analysis and a categorization process using linear discriminant analysis,198,2,2,14,2,use,319,"{'utilise', 'use', 'habituate', 'apply', 'employ', 'practice', 'expend', 'utilize'}",using,categorization:0:process,discriminant:0:analysis,1,10.1107/S0907444905007948,
feature extraction from images,texture analysis,using,The algorithm is comprised of preprocessing feature extraction from images using texture analysis and a categorization process using linear discriminant analysis,198,2,4,7,1,use,319,"{'utilise', 'use', 'habituate', 'apply', 'employ', 'practice', 'expend', 'utilize'}",using,image:1:feature:0:extraction,texture:0:analysis,2,10.1107/S0907444905007948,
feature extraction from images,texture analysis,using,The algorithm is comprised of preprocessing feature extraction from images using texture analysis and a categorization process using linear discriminant analysis,198,2,4,7,1,use,319,"{'utilise', 'use', 'habituate', 'apply', 'employ', 'practice', 'expend', 'utilize'}",using,image:1:feature:0:extraction,texture:0:analysis,2,10.1107/S0907444905007948,
performance of this method,human expert,has been evaluated by,The performance of this method has been evaluated by comparing the results obtained by using this method with the results from a human expert and the concordance rate was 906,6,9,3,99,17,evaluate,13,"{'value', 'valuate', 'evaluate', 'assess', 'appraise', 'measure'}",has been:0:evaluated by,method:0:performance,human:0:expert,1,10.1107/S0021889890013097,"conjugated with: has been, postfix: by"
performance of this method,human expert,by comparing,The performance of this method has been evaluated by comparing the results obtained by using this method with the results from a human expert and the concordance rate was 906,3,9,3,99,17,compare,59,"{'equate', 'compare', 'liken'}",by comparing,method:0:performance,human:0:expert,1,10.1107/S0021889890013097,prefix: by
performance of this method,human expert,by using,The performance of this method has been evaluated by comparing the results obtained by using this method with the results from a human expert and the concordance rate was 906,13,9,3,99,17,use,319,"{'utilise', 'use', 'habituate', 'apply', 'employ', 'practice', 'expend', 'utilize'}",by using,method:0:performance,human:0:expert,1,10.1107/S0021889890013097,prefix: by
performance of this method,human expert and the concordance rate,has been evaluated by,The performance of this method has been evaluated by comparing the results obtained by using this method with the results from a human expert and the concordance rate was 906,6,9,3,99,17,evaluate,13,"{'value', 'valuate', 'evaluate', 'assess', 'appraise', 'measure'}",has been:0:evaluated by,method:0:performance,concordance:0:rate:1:human:0:expert,2,10.1107/S0021889890013097,"conjugated with: has been, postfix: by"
performance of this method,human expert and the concordance rate,by comparing,The performance of this method has been evaluated by comparing the results obtained by using this method with the results from a human expert and the concordance rate was 906,3,9,3,99,17,compare,59,"{'equate', 'compare', 'liken'}",by comparing,method:0:performance,concordance:0:rate:1:human:0:expert,2,10.1107/S0021889890013097,prefix: by
performance of this method,human expert and the concordance rate,by using,The performance of this method has been evaluated by comparing the results obtained by using this method with the results from a human expert and the concordance rate was 906,13,9,3,99,17,use,319,"{'utilise', 'use', 'habituate', 'apply', 'employ', 'practice', 'expend', 'utilize'}",by using,method:0:performance,concordance:0:rate:1:human:0:expert,2,10.1107/S0021889890013097,prefix: by
performance of this method,results from a human expert and the concordance rate,has been evaluated by,The performance of this method has been evaluated by comparing the results obtained by using this method with the results from a human expert and the concordance rate was 906,6,9,3,84,14,evaluate,13,"{'value', 'valuate', 'evaluate', 'assess', 'appraise', 'measure'}",has been:0:evaluated by,method:0:performance,concordance:0:rate:1:human:0:expert:2:result,3,10.1107/S0021889890013097,"conjugated with: has been, postfix: by"
performance of this method,results from a human expert and the concordance rate,by comparing,The performance of this method has been evaluated by comparing the results obtained by using this method with the results from a human expert and the concordance rate was 906,3,9,3,84,14,compare,59,"{'equate', 'compare', 'liken'}",by comparing,method:0:performance,concordance:0:rate:1:human:0:expert:2:result,3,10.1107/S0021889890013097,prefix: by
performance of this method,results from a human expert and the concordance rate,by using,The performance of this method has been evaluated by comparing the results obtained by using this method with the results from a human expert and the concordance rate was 906,13,9,3,84,14,use,319,"{'utilise', 'use', 'habituate', 'apply', 'employ', 'practice', 'expend', 'utilize'}",by using,method:0:performance,concordance:0:rate:1:human:0:expert:2:result,3,10.1107/S0021889890013097,prefix: by
Bragg angles,precise values,is shown to,A null method matching the Bragg angles of a standard and the sample is shown to give precise values of lattice parameters,12,2,2,47,10,show,150,"{'demonstrate', 'evidence', 'point', 'present', 'establish', 'picture', 'indicate', 'reveal', 'display', 'show', 'shew', 'evince', 'depict', 'render', 'express', 'demo', 'prove', 'testify', 'exhibit'}",is:0:shown to,bragg:0:angle,precise:0:value,1,10.1107/S0021889890013097,"conjugated with: is, postfix: to"
Bragg angles,precise values,to give,A null method matching the Bragg angles of a standard and the sample is shown to give precise values of lattice parameters,8,2,2,47,10,give,80,"{'have', 'yield', 'gift', 'pay', 'give', 'hold', 'afford', 'throw', 'present'}",to give,bragg:0:angle,precise:0:value,1,10.1107/S0021889890013097,prefix: to
Bragg angles of a standard and the sample,precise values of lattice parameters,is shown to,A null method matching the Bragg angles of a standard and the sample is shown to give precise values of lattice parameters,12,2,2,18,4,show,150,"{'demonstrate', 'evidence', 'point', 'present', 'establish', 'picture', 'indicate', 'reveal', 'display', 'show', 'shew', 'evince', 'depict', 'render', 'express', 'demo', 'prove', 'testify', 'exhibit'}",is:0:shown to,sample:0:standard:1:bragg:0:angle,lattice:0:parameter:1:precise:0:value,2,10.1107/S0021889890013097,"conjugated with: is, postfix: to"
Bragg angles of a standard and the sample,precise values of lattice parameters,to give,A null method matching the Bragg angles of a standard and the sample is shown to give precise values of lattice parameters,8,2,2,18,4,give,80,"{'have', 'yield', 'gift', 'pay', 'give', 'hold', 'afford', 'throw', 'present'}",to give,sample:0:standard:1:bragg:0:angle,lattice:0:parameter:1:precise:0:value,2,10.1107/S0021889890013097,prefix: to
lattice parameter of tungsten,SRM 640b silicon standard,is determined in,The method is general though for this demonstration the lattice parameter of tungsten is determined in terms of the SRM 640b silicon standard,3,2,1,31,6,determine,108,"{'ascertain', 'limit', 'decide', 'influence', 'see', 'determine', 'watch', 'mold', 'set', 'shape', 'learn', 'fix', 'specify', 'find', 'settle', 'regulate'}",is:0:determined in,tungsten:1:lattice:0:parameter,srm:1:silicon:0:standard,2,10.1107/S0021889890012365,"conjugated with: is, postfix: in"
lattice parameter of tungsten,terms of the SRM 640b silicon standard,is determined in,The method is general though for this demonstration the lattice parameter of tungsten is determined in terms of the SRM 640b silicon standard,3,2,1,18,3,determine,108,"{'ascertain', 'limit', 'decide', 'influence', 'see', 'determine', 'watch', 'mold', 'set', 'shape', 'learn', 'fix', 'specify', 'find', 'settle', 'regulate'}",is:0:determined in,tungsten:1:lattice:0:parameter,srm:1:silicon:0:standard:2:term,3,10.1107/S0021889890012365,"conjugated with: is, postfix: in"
programmable interfaces,diffractometer control,simplifies,The application of singleboard microcomputers as programmable interfaces simplifies the construction of complex diffractometer control units,3,3,1,40,5,simplify,4,{'simplify'},simplifies,programmable:0:interface,diffractometer:0:control,1,10.1107/S0021889890012365,
programmable interfaces,diffractometer control units,simplifies,The application of singleboard microcomputers as programmable interfaces simplifies the construction of complex diffractometer control units,3,3,1,40,5,simplify,4,{'simplify'},simplifies,programmable:0:interface,diffractometer:0:control:1:unit,2,10.1107/S0021889890012365,
programmable interfaces,complex diffractometer control units,simplifies,The application of singleboard microcomputers as programmable interfaces simplifies the construction of complex diffractometer control units,3,3,1,32,4,simplify,4,{'simplify'},simplifies,programmable:0:interface,complex:2:diffractometer:0:control:1:unit,3,10.1107/S0021889890012365,
control units,structure of the circuits,is reduced,The amount of hardware components of the control units is reduced and the structure of the circuits is easy to survey,2,1,2,20,4,reduce,15,"{'trim', 'cut', 'reduce', 'shrink'}",is:0:reduced,control:0:unit,circuit:0:structure,1,10.1107/S0021889890012365,conjugated with: is
hardware components of the control units,structure of the circuits,is reduced,The amount of hardware components of the control units is reduced and the structure of the circuits is easy to survey,2,1,2,20,4,reduce,15,"{'trim', 'cut', 'reduce', 'shrink'}",is:0:reduced,control:0:unit:1:hardware:0:component,circuit:0:structure,2,10.1107/S0021889890012365,conjugated with: is
intelligent multipurpose,personal computer,unburden,These intelligent multipurpose singleboard microcomputers unburden the personal computer and simplify the development of the diffractometer measuring program,1,1,1,41,4,unburden,1,"{'unburden', 'disburden'}",unburden,intelligent:0:multipurpose,personal:0:computer,1,10.1107/S0021889890012365,
personal computer,development of the diffractometer measuring program,simplify,These intelligent multipurpose singleboard microcomputers unburden the personal computer and simplify the development of the diffractometer measuring program,1,1,1,18,3,simplify,4,{'simplify'},simplify,personal:0:computer,program:0:measure:1:diffractometer:2:development,3,10.1107/S0021889890012365,
polycrystalline systems,very short times,using,The accuracy of the weight fractions calculated with the Rietveld method for various polycrystalline systems using data collected for very short times 5 ndash 45 emsp14 min with an RTMS realtime multiple strip detector was verified,198,1,1,26,4,use,319,"{'utilise', 'use', 'habituate', 'apply', 'employ', 'practice', 'expend', 'utilize'}",using,polycrystalline:0:system,short:0:time,1,10.1107/S0021889803022052,
weight estimates,data acquisition,were compared with,The weight estimates were compared with those obtained using the same conventional Bragg ndash Brentano geometry a gas proportional detector and a 13 emsp14 h data acquisition,42,9,3,139,22,compare,59,"{'equate', 'compare', 'liken'}",were:0:compared with,weight:0:estimate,datum:0:acquisition,1,10.1107/S0021889803022052,"conjugated with: were, postfix: with"
weight estimates,data acquisition,obtained,The weight estimates were compared with those obtained using the same conventional Bragg ndash Brentano geometry a gas proportional detector and a 13 emsp14 h data acquisition,5,9,3,139,22,obtain,83,"{'get', 'incur', 'obtain', 'receive', 'prevail'}",obtained,weight:0:estimate,datum:0:acquisition,1,10.1107/S0021889803022052,
weight estimates,data acquisition,using,The weight estimates were compared with those obtained using the same conventional Bragg ndash Brentano geometry a gas proportional detector and a 13 emsp14 h data acquisition,198,9,3,139,22,use,319,"{'utilise', 'use', 'habituate', 'apply', 'employ', 'practice', 'expend', 'utilize'}",using,weight:0:estimate,datum:0:acquisition,1,10.1107/S0021889803022052,
weight estimates,gas proportional detector,were compared with,The weight estimates were compared with those obtained using the same conventional Bragg ndash Brentano geometry a gas proportional detector and a 13 emsp14 h data acquisition,42,9,3,95,14,compare,59,"{'equate', 'compare', 'liken'}",were:0:compared with,weight:0:estimate,gas:0:proportional:1:detector,2,10.1107/S0021889803022052,"conjugated with: were, postfix: with"
weight estimates,gas proportional detector,obtained,The weight estimates were compared with those obtained using the same conventional Bragg ndash Brentano geometry a gas proportional detector and a 13 emsp14 h data acquisition,5,9,3,95,14,obtain,83,"{'get', 'incur', 'obtain', 'receive', 'prevail'}",obtained,weight:0:estimate,gas:0:proportional:1:detector,2,10.1107/S0021889803022052,
weight estimates,gas proportional detector,using,The weight estimates were compared with those obtained using the same conventional Bragg ndash Brentano geometry a gas proportional detector and a 13 emsp14 h data acquisition,198,9,3,95,14,use,319,"{'utilise', 'use', 'habituate', 'apply', 'employ', 'practice', 'expend', 'utilize'}",using,weight:0:estimate,gas:0:proportional:1:detector,2,10.1107/S0021889803022052,
weight estimates,Bragg ndash Brentano geometry,were compared with,The weight estimates were compared with those obtained using the same conventional Bragg ndash Brentano geometry a gas proportional detector and a 13 emsp14 h data acquisition,42,9,3,63,9,compare,59,"{'equate', 'compare', 'liken'}",were:0:compared with,weight:0:estimate,bragg:1:ndash:0:brentano:2:geometry,3,10.1107/S0021889803022052,"conjugated with: were, postfix: with"
weight estimates,Bragg ndash Brentano geometry,obtained,The weight estimates were compared with those obtained using the same conventional Bragg ndash Brentano geometry a gas proportional detector and a 13 emsp14 h data acquisition,5,9,3,63,9,obtain,83,"{'get', 'incur', 'obtain', 'receive', 'prevail'}",obtained,weight:0:estimate,bragg:1:ndash:0:brentano:2:geometry,3,10.1107/S0021889803022052,
weight estimates,Bragg ndash Brentano geometry,using,The weight estimates were compared with those obtained using the same conventional Bragg ndash Brentano geometry a gas proportional detector and a 13 emsp14 h data acquisition,198,9,3,63,9,use,319,"{'utilise', 'use', 'habituate', 'apply', 'employ', 'practice', 'expend', 'utilize'}",using,weight:0:estimate,bragg:1:ndash:0:brentano:2:geometry,3,10.1107/S0021889803022052,
results of the refinements,estimated weights,show,The results of the refinements show estimated weights consistent with both those obtained with a gas proportional detector and with the nominal values indicating a very good accuracy,44,1,1,6,1,show,150,"{'demonstrate', 'evidence', 'point', 'present', 'establish', 'picture', 'indicate', 'reveal', 'display', 'show', 'shew', 'evince', 'depict', 'render', 'express', 'demo', 'prove', 'testify', 'exhibit'}",show,refinement:0:result,estimate:0:weight,1,10.1107/S0021889803022052,
variable slits,slightly decreases,are used,Only when variable slits are used the accuracy of the estimated weights slightly decreases,8,1,1,48,8,use,319,"{'utilise', 'use', 'habituate', 'apply', 'employ', 'practice', 'expend', 'utilize'}",are:0:used,variable:0:slit,slightly:0:decrease,1,10.1107/S0021889803022052,conjugated with: are
lang 110 rang  ,edge dislocations,have been,Dislocations in the  lang 110 rang  sectors have been characterized as edge dislocations with Burgers vector parallel to the c axis,60,1,1,35,5,be,301,"{'comprise', 'represent', 'be', 'personify', 'exist', 'constitute', 'embody', 'equal'}",have:0:been,ring:0:lang,edge:0:dislocation,1,10.1107/S0021889803024415,conjugated with: have
Dislocations in the  lang 110 rang  ,edge dislocations with Burgers vector,have been,Dislocations in the  lang 110 rang  sectors have been characterized as edge dislocations with Burgers vector parallel to the c axis,60,2,1,35,5,be,301,"{'comprise', 'represent', 'be', 'personify', 'exist', 'constitute', 'embody', 'equal'}",have:0:been,dislocation:1:ring:0:lang,burgers:0:vector:1:edge:0:dislocation,2,10.1107/S0021889803024415,conjugated with: have
Dislocations in the  lang 110 rang  ,edge dislocations with Burgers vector parallel to the c axis,have been,Dislocations in the  lang 110 rang  sectors have been characterized as edge dislocations with Burgers vector parallel to the c axis,60,2,1,35,5,be,301,"{'comprise', 'represent', 'be', 'personify', 'exist', 'constitute', 'embody', 'equal'}",have:0:been,dislocation:1:ring:0:lang,c:0:axis:1:parallel:2:burgers:0:vector:1:edge:0:dislocation,3,10.1107/S0021889803024415,conjugated with: have
protein crystals,surface techniques,has been observed,This spiral growth on protein crystals has been observed many times by surface techniques,12,3,2,33,6,observe,44,"{'observe', 'keep', 'mention', 'detect', 'respect', 'notice', 'watch', 'honour', 'remark', 'note', 'find', 'honor', 'discover', 'celebrate'}",has been:0:observed,protein:0:crystal,surface:0:technique,1,10.1107/S0021889803026670,conjugated with: has been
spiral growth on protein crystals,surface techniques,has been observed,This spiral growth on protein crystals has been observed many times by surface techniques,12,1,2,33,6,observe,44,"{'observe', 'keep', 'mention', 'detect', 'respect', 'notice', 'watch', 'honour', 'remark', 'note', 'find', 'honor', 'discover', 'celebrate'}",has been:0:observed,protein:0:crystal:1:spiral:0:growth,surface:0:technique,2,10.1107/S0021889803026670,conjugated with: has been
illustrative samples,low temperatures,were measured at,Two illustrative samples a perfectly longrangeordered element Pb and a locally strained alloy ZnSe05Te05 were measured at low temperatures,2,1,2,98,14,measure,32,"{'value', 'valuate', 'evaluate', 'assess', 'appraise', 'quantify', 'measure'}",were:0:measured at,illustrative:0:sample,low:0:temperature,1,10.1107/S0021889803026670,"conjugated with: were, postfix: at"
Two illustrative samples,low temperatures,were measured at,Two illustrative samples a perfectly longrangeordered element Pb and a locally strained alloy ZnSe05Te05 were measured at low temperatures,2,1,2,98,14,measure,32,"{'value', 'valuate', 'evaluate', 'assess', 'appraise', 'quantify', 'measure'}",were:0:measured at,two:1:illustrative:0:sample,low:0:temperature,2,10.1107/S0021889803026670,"conjugated with: were, postfix: at"
Various aspects,direct comparison,were explored,Various aspects of the PDF were explored either qualitatively by direct comparison or quantitatively via structural modelling,5,1,1,50,8,explore,5,"{'research', 'search', 'explore'}",were:0:explored,various:0:aspect,direct:0:comparison,1,10.1107/S0021889803026670,conjugated with: were
Various aspects of the PDF,either qualitatively by direct comparison,were explored,Various aspects of the PDF were explored either qualitatively by direct comparison or quantitatively via structural modelling,5,2,1,15,2,explore,5,"{'research', 'search', 'explore'}",were:0:explored,pdf:1:various:0:aspect,qualitatively:1:direct:0:comparison,2,10.1107/S0021889803026670,conjugated with: were
Various aspects of the PDF,either qualitatively by direct comparison or quantitatively via structural modelling,were explored,Various aspects of the PDF were explored either qualitatively by direct comparison or quantitatively via structural modelling,5,2,1,15,2,explore,5,"{'research', 'search', 'explore'}",were:0:explored,pdf:1:various:0:aspect,structural:0:model:1:quantitatively:2:qualitatively:1:direct:0:comparison,3,10.1107/S0021889803026670,conjugated with: were
structure factors,electron diffraction,have been measured for,Debye ndash Waller DW factors and structure factors have been measured for Si using convergentbeam electron diffraction CBED experiments with a transmission electron microscope equipped with a fieldemission gun and a postcolumn energyfiltering device,3,4,6,48,7,measure,32,"{'value', 'valuate', 'evaluate', 'assess', 'appraise', 'quantify', 'measure'}",have been:0:measured for,structure:0:factor,electron:0:diffraction,1,10.1107/S010876731003446X,"conjugated with: have been, postfix: for"
structure factors,electron diffraction,using,Debye ndash Waller DW factors and structure factors have been measured for Si using convergentbeam electron diffraction CBED experiments with a transmission electron microscope equipped with a fieldemission gun and a postcolumn energyfiltering device,198,4,6,48,7,use,319,"{'utilise', 'use', 'habituate', 'apply', 'employ', 'practice', 'expend', 'utilize'}",using,structure:0:factor,electron:0:diffraction,1,10.1107/S010876731003446X,
different beams,zone axes,are obtained by,Strong dynamic interactions among different beams are obtained by tilting the crystal to specific four or sixbeam orientations near major zone axes which provide sufficient sensitivity to determine accurate DW factors and structure factors,26,4,2,89,14,obtain,83,"{'get', 'incur', 'obtain', 'receive', 'prevail'}",are:0:obtained by,different:0:beam,zone:0:axis,1,10.1107/S010876731003446X,"conjugated with: are, postfix: by"
different beams,zone axes,by tilting,Strong dynamic interactions among different beams are obtained by tilting the crystal to specific four or sixbeam orientations near major zone axes which provide sufficient sensitivity to determine accurate DW factors and structure factors,3,4,2,89,14,tilt,11,"{'tip', 'wobble', 'careen', 'tilt', 'angle', 'slant', 'cant', 'pitch', 'lean', 'shift'}",by tilting,different:0:beam,zone:0:axis,1,10.1107/S010876731003446X,prefix: by
different beams,major zone axes,are obtained by,Strong dynamic interactions among different beams are obtained by tilting the crystal to specific four or sixbeam orientations near major zone axes which provide sufficient sensitivity to determine accurate DW factors and structure factors,26,4,4,83,13,obtain,83,"{'get', 'incur', 'obtain', 'receive', 'prevail'}",are:0:obtained by,different:0:beam,major:1:zone:0:axis,2,10.1107/S010876731003446X,"conjugated with: are, postfix: by"
different beams,major zone axes,by tilting,Strong dynamic interactions among different beams are obtained by tilting the crystal to specific four or sixbeam orientations near major zone axes which provide sufficient sensitivity to determine accurate DW factors and structure factors,3,4,4,83,13,tilt,11,"{'tip', 'wobble', 'careen', 'tilt', 'angle', 'slant', 'cant', 'pitch', 'lean', 'shift'}",by tilting,different:0:beam,major:1:zone:0:axis,2,10.1107/S010876731003446X,prefix: by
Strong dynamic interactions among different beams,major zone axes,are obtained by,Strong dynamic interactions among different beams are obtained by tilting the crystal to specific four or sixbeam orientations near major zone axes which provide sufficient sensitivity to determine accurate DW factors and structure factors,26,2,4,83,13,obtain,83,"{'get', 'incur', 'obtain', 'receive', 'prevail'}",are:0:obtained by,different:0:beam:2:strong:1:dynamic:0:interaction,major:1:zone:0:axis,3,10.1107/S010876731003446X,"conjugated with: are, postfix: by"
Strong dynamic interactions among different beams,major zone axes,by tilting,Strong dynamic interactions among different beams are obtained by tilting the crystal to specific four or sixbeam orientations near major zone axes which provide sufficient sensitivity to determine accurate DW factors and structure factors,3,2,4,83,13,tilt,11,"{'tip', 'wobble', 'careen', 'tilt', 'angle', 'slant', 'cant', 'pitch', 'lean', 'shift'}",by tilting,different:0:beam:2:strong:1:dynamic:0:interaction,major:1:zone:0:axis,3,10.1107/S010876731003446X,prefix: by
DW factors of Si,CBED methods,were measured,The DW factors of Si were measured using fourbeam conditions near the 001 zone axis for temperatures ranging from 96 to 300 emsp14 K A comparison of the multibeam nearzoneaxis orientations with other CBED methods for DW and structure factor,10,4,2,180,28,measure,32,"{'value', 'valuate', 'evaluate', 'assess', 'appraise', 'quantify', 'measure'}",were:0:measured,si:1:dw:0:factor,cbed:0:method,2,10.1107/S010876731003446X,conjugated with: were
DW factors of Si,CBED methods,using,The DW factors of Si were measured using fourbeam conditions near the 001 zone axis for temperatures ranging from 96 to 300 emsp14 K A comparison of the multibeam nearzoneaxis orientations with other CBED methods for DW and structure factor,198,4,2,180,28,use,319,"{'utilise', 'use', 'habituate', 'apply', 'employ', 'practice', 'expend', 'utilize'}",using,si:1:dw:0:factor,cbed:0:method,2,10.1107/S010876731003446X,
DW factors of Si,other CBED methods for DW and structure factor,were measured,The DW factors of Si were measured using fourbeam conditions near the 001 zone axis for temperatures ranging from 96 to 300 emsp14 K A comparison of the multibeam nearzoneaxis orientations with other CBED methods for DW and structure factor,10,4,2,174,27,measure,32,"{'value', 'valuate', 'evaluate', 'assess', 'appraise', 'quantify', 'measure'}",were:0:measured,si:1:dw:0:factor,structure:0:dw:1:factor:2:cbed:0:method,3,10.1107/S010876731003446X,conjugated with: were
DW factors of Si,other CBED methods for DW and structure factor,using,The DW factors of Si were measured using fourbeam conditions near the 001 zone axis for temperatures ranging from 96 to 300 emsp14 K A comparison of the multibeam nearzoneaxis orientations with other CBED methods for DW and structure factor,198,4,2,174,27,use,319,"{'utilise', 'use', 'habituate', 'apply', 'employ', 'practice', 'expend', 'utilize'}",using,si:1:dw:0:factor,structure:0:dw:1:factor:2:cbed:0:method,3,10.1107/S010876731003446X,
different temperatures,electron diffraction,have been measured,Accurate Debye ndash Waller DW factors and several lowindex structure factors of chemically ordered  beta NiAl at different temperatures have been measured using an offzoneaxis multibeam convergentbeam electron diffraction method,10,4,6,66,8,measure,32,"{'value', 'valuate', 'evaluate', 'assess', 'appraise', 'quantify', 'measure'}",have been:0:measured,different:0:temperature,electron:0:diffraction,1,10.1107/S0108767310034471,conjugated with: have been
different temperatures,electron diffraction,using,Accurate Debye ndash Waller DW factors and several lowindex structure factors of chemically ordered  beta NiAl at different temperatures have been measured using an offzoneaxis multibeam convergentbeam electron diffraction method,198,4,6,66,8,use,319,"{'utilise', 'use', 'habituate', 'apply', 'employ', 'practice', 'expend', 'utilize'}",using,different:0:temperature,electron:0:diffraction,1,10.1107/S0108767310034471,
different temperatures,electron diffraction method,have been measured,Accurate Debye ndash Waller DW factors and several lowindex structure factors of chemically ordered  beta NiAl at different temperatures have been measured using an offzoneaxis multibeam convergentbeam electron diffraction method,10,4,2,66,8,measure,32,"{'value', 'valuate', 'evaluate', 'assess', 'appraise', 'quantify', 'measure'}",have been:0:measured,different:0:temperature,electron:0:diffraction:1:method,2,10.1107/S0108767310034471,conjugated with: have been
different temperatures,electron diffraction method,using,Accurate Debye ndash Waller DW factors and several lowindex structure factors of chemically ordered  beta NiAl at different temperatures have been measured using an offzoneaxis multibeam convergentbeam electron diffraction method,198,4,2,66,8,use,319,"{'utilise', 'use', 'habituate', 'apply', 'employ', 'practice', 'expend', 'utilize'}",using,different:0:temperature,electron:0:diffraction:1:method,2,10.1107/S0108767310034471,
Al atoms,experimental measurements,are compared with,The temperature dependences of DW factors of Ni and Al atoms are compared with previous experimental measurements and theoretical calculations,42,2,1,28,4,compare,59,"{'equate', 'compare', 'liken'}",are:0:compared with,al:0:atom,experimental:0:measurement,1,10.1107/S0108767310034471,"conjugated with: are, postfix: with"
Al atoms,previous experimental measurements and theoretical calculations,are compared with,The temperature dependences of DW factors of Ni and Al atoms are compared with previous experimental measurements and theoretical calculations,42,2,2,19,3,compare,59,"{'equate', 'compare', 'liken'}",are:0:compared with,al:0:atom,theoretical:0:calculation:1:previous:1:experimental:0:measurement,2,10.1107/S0108767310034471,"conjugated with: are, postfix: with"
DW factors of Ni and Al atoms,previous experimental measurements and theoretical calculations,are compared with,The temperature dependences of DW factors of Ni and Al atoms are compared with previous experimental measurements and theoretical calculations,42,1,2,19,3,compare,59,"{'equate', 'compare', 'liken'}",are:0:compared with,al:0:atom:1:ni:2:dw:0:factor,theoretical:0:calculation:1:previous:1:experimental:0:measurement,3,10.1107/S0108767310034471,"conjugated with: are, postfix: with"
Structure factors,prior reports,are determined with,Structure factors are determined with an accuracy of 005 and compared with prior reports,4,2,2,58,10,determine,108,"{'ascertain', 'limit', 'decide', 'influence', 'see', 'determine', 'watch', 'mold', 'set', 'shape', 'learn', 'fix', 'specify', 'find', 'settle', 'regulate'}",are:0:determined with,structure:0:factor,prior:0:report,1,10.1107/S0108767388012243,"conjugated with: are, postfix: with"
Structure factors,prior reports,compared with,Structure factors are determined with an accuracy of 005 and compared with prior reports,42,2,2,58,10,compare,59,"{'equate', 'compare', 'liken'}",compared with,structure:0:factor,prior:0:report,1,10.1107/S0108767388012243,postfix: with
crystal surface,angle  beta,diffracted by,Expressions for Braggs law have been derived for the general case of Bragg diffraction in which an incident beam strikes a crystal surface at an angle  alpha  is then diffracted by planes inclined to the surface by  phiv  and leaves the same surface at an angle  beta ,2,3,3,118,22,diffract,16,{'diffract'},diffracted by,crystal:0:surface,angle:0:beta,1,10.1107/S0108767388012243,postfix: by
crystal surface,angle  beta,leaves,Expressions for Braggs law have been derived for the general case of Bragg diffraction in which an incident beam strikes a crystal surface at an angle  alpha  is then diffracted by planes inclined to the surface by  phiv  and leaves the same surface at an angle  beta ,2,3,3,118,22,leaf,2,"{'thumb', 'riff', 'leaf', 'flip', 'flick', 'riffle'}",leaves,crystal:0:surface,angle:0:beta,1,10.1107/S0108767388012243,
crystal surface,planes inclined to the surface by  ,diffracted by,Expressions for Braggs law have been derived for the general case of Bragg diffraction in which an incident beam strikes a crystal surface at an angle  alpha  is then diffracted by planes inclined to the surface by  phiv  and leaves the same surface at an angle  beta ,2,3,1,43,8,diffract,16,{'diffract'},diffracted by,crystal:0:surface,surface:0:incline:1:plane,2,10.1107/S0108767388012243,postfix: by
planes inclined to the surface by  ,angle  beta,leaves,Expressions for Braggs law have been derived for the general case of Bragg diffraction in which an incident beam strikes a crystal surface at an angle  alpha  is then diffracted by planes inclined to the surface by  phiv  and leaves the same surface at an angle  beta ,2,1,3,40,8,leaf,2,"{'thumb', 'riff', 'leaf', 'flip', 'flick', 'riffle'}",leaves,surface:0:incline:1:plane,angle:0:beta,2,10.1107/S0108767388012243,
grain boundaries,dislocation structure,allows,Accurate measurement of the deviation from coincidence orientation for grain boundaries allows the intergranular dislocation structure to be predicted,29,1,1,26,3,allow,47,"{'earmark', 'countenance', 'let', 'grant', 'admit', 'provide', 'leave', 'allow', 'reserve', 'permit', 'appropriate'}",allows,grain:0:boundary,dislocation:0:structure,1,10.1107/S0021889890010822,
coincidence orientation for grain boundaries,intergranular dislocation structure,allows,Accurate measurement of the deviation from coincidence orientation for grain boundaries allows the intergranular dislocation structure to be predicted,29,1,2,12,2,allow,47,"{'earmark', 'countenance', 'let', 'grant', 'admit', 'provide', 'leave', 'allow', 'reserve', 'permit', 'appropriate'}",allows,grain:0:boundary:1:coincidence:0:orientation,intergranular:1:dislocation:0:structure,2,10.1107/S0021889890010822,
deviation from coincidence orientation for grain boundaries,intergranular dislocation structure,allows,Accurate measurement of the deviation from coincidence orientation for grain boundaries allows the intergranular dislocation structure to be predicted,29,1,2,12,2,allow,47,"{'earmark', 'countenance', 'let', 'grant', 'admit', 'provide', 'leave', 'allow', 'reserve', 'permit', 'appropriate'}",allows,grain:0:boundary:1:coincidence:0:orientation:2:deviation,intergranular:1:dislocation:0:structure,3,10.1107/S0021889890010822,
