subject,object,predicate,sentence,pred freq,sub freq,obj freq,char dist,word dist,root,root freq,synonyms,pred term,sub term,obj term,level,doc ID
Transmission electron microscopy,drastic change in particle shape,revealed,Transmission electron microscopy revealed a drastic change in particle shape after 64 emsp14 h of milling indicating the existence of size anisotropy which however decreased with further increase of the milling time,17,2,1,12,2,reveal,37,"{'expose', 'unveil', 'impart', 'discover', 'disclose', 'uncover', 'divulge', 'reveal', 'display', 'show'}",revealed,transmission:0:electron:1:microscopy,particle:0:shape:1:drastic:0:change,2,10.1107/S0021889801004009
existence of size,further increase of the milling time,decreased with,Transmission electron microscopy revealed a drastic change in particle shape after 64 emsp14 h of milling indicating the existence of size anisotropy which however decreased with further increase of the milling time,1,1,1,41,5,decrease,1,"{'diminish', 'minify', 'decrease', 'lessen', 'fall'}",decreased with,size:0:existence,mill:0:time:1:increase,2,10.1107/S0021889801004009
Transmission electron microscopy,drastic change in particle shape after 64 emsp14 h of milling,revealed,Transmission electron microscopy revealed a drastic change in particle shape after 64 emsp14 h of milling indicating the existence of size anisotropy which however decreased with further increase of the milling time,17,2,1,12,2,reveal,37,"{'expose', 'unveil', 'impart', 'discover', 'disclose', 'uncover', 'divulge', 'reveal', 'display', 'show'}",revealed,transmission:0:electron:1:microscopy,mill:0:h:2:particle:0:shape:1:drastic:0:change,3,10.1107/S0021889801004009
drastic change in particle shape after 64 emsp14 h of milling,existence of size,indicating,Transmission electron microscopy revealed a drastic change in particle shape after 64 emsp14 h of milling indicating the existence of size anisotropy which however decreased with further increase of the milling time,8,1,2,16,2,indicate,35,"{'indicate', 'suggest', 'betoken', 'argue', 'bespeak', 'point', 'signal', 'show'}",indicating,mill:0:h:2:particle:0:shape:1:drastic:0:change,size:0:existence,3,10.1107/S0021889801004009
ring system,dihedral angle,forms,In the title molecule C14H12N2O3S2 the benzisothiazolone ring system is essentially planar and forms a dihedral angle of 6737 emsp14 6 deg  with the plane of the benzene ring,32,3,44,35,6,form,139,"{'mould', 'spring', 'shape', 'organize', 'form', 'mold', 'imprint', 'constitute', 'organise', 'forge'}",forms,ring:0:system,dihedral:0:angle,1,10.1107/S1600536809003201
benzisothiazolone ring system,plane of the benzene ring,forms,In the title molecule C14H12N2O3S2 the benzisothiazolone ring system is essentially planar and forms a dihedral angle of 6737 emsp14 6 deg  with the plane of the benzene ring,32,1,1,81,15,form,139,"{'mould', 'spring', 'shape', 'organize', 'form', 'mold', 'imprint', 'constitute', 'organise', 'forge'}",forms,benzisothiazolone:1:ring:0:system,benzene:0:ring:1:plane,2,10.1107/S1600536809003201
crystal structure,mdash H,are linked via,In the crystal structure molecules are linked via intermolecular N mdash H,15,155,128,43,6,link,178,"{'yoke', 'join', 'tie', 'colligate', 'relate', 'associate', 'link', 'connect', 'unite'}",are:0:linked via,crystal:0:structure,mdash:0:h,1,10.1107/S1600536809003201
crystal structure,N mdash H,are linked via,In the crystal structure molecules are linked via intermolecular N mdash H,15,155,50,41,5,link,178,"{'yoke', 'join', 'tie', 'colligate', 'relate', 'associate', 'link', 'connect', 'unite'}",are:0:linked via,crystal:0:structure,n:1:mdash:0:h,2,10.1107/S1600536809003201
crystal structure,intermolecular N mdash H,are linked via,In the crystal structure molecules are linked via intermolecular N mdash H,15,155,11,26,4,link,178,"{'yoke', 'join', 'tie', 'colligate', 'relate', 'associate', 'link', 'connect', 'unite'}",are:0:linked via,crystal:0:structure,intermolecular:2:n:1:mdash:0:h,3,10.1107/S1600536809003201
heterocyclic ring,tetrahedral coordination,shows,In the title compound C10H9Cl2NO3S the S atom which is a component atom of a heterocyclic ring shows tetrahedral coordination,51,1,2,7,1,show,150,"{'point', 'exhibit', 'reveal', 'demo', 'show', 'testify', 'indicate', 'establish', 'render', 'display', 'prove', 'shew', 'demonstrate', 'express', 'evince', 'evidence', 'present', 'picture', 'depict'}",shows,heterocyclic:0:ring,tetrahedral:0:coordination,1,10.1107/S1600536809003079
component atom of a heterocyclic ring,tetrahedral coordination,shows,In the title compound C10H9Cl2NO3S the S atom which is a component atom of a heterocyclic ring shows tetrahedral coordination,51,1,2,7,1,show,150,"{'point', 'exhibit', 'reveal', 'demo', 'show', 'testify', 'indicate', 'establish', 'render', 'display', 'prove', 'shew', 'demonstrate', 'express', 'evince', 'evidence', 'present', 'picture', 'depict'}",shows,heterocyclic:0:ring:1:component:0:atom,tetrahedral:0:coordination,2,10.1107/S1600536809003079
title moleclue,chair conformation,adopts,In the title moleclue C19H21NO the 4piperidone ring adopts a chair conformation in which the two benzene rings and the methyl group attached to C atoms all have equatorial orientations,50,1,14,40,6,adopt,67,"{'borrow', 'espouse', 'follow', 'dramatise', 'dramatize', 'acquire', 'embrace', 'take', 'adopt', 'assume'}",adopts,title:0:moleclue,chair:0:conformation,1,10.1107/S1600536809003419
centrosymmetric dimers,C mdash,are formed through,In the crystal structure centrosymmetric dimers are formed through weak intermolecular C mdash H,7,5,40,40,5,form,139,"{'mould', 'spring', 'shape', 'organize', 'form', 'mold', 'imprint', 'constitute', 'organise', 'forge'}",are:0:formed through,centrosymmetric:0:dimer,c:0:mdash,1,10.1107/S1600536809003419
centrosymmetric dimers,C mdash H,are formed through,In the crystal structure centrosymmetric dimers are formed through weak intermolecular C mdash H,7,5,61,40,5,form,139,"{'mould', 'spring', 'shape', 'organize', 'form', 'mold', 'imprint', 'constitute', 'organise', 'forge'}",are:0:formed through,centrosymmetric:0:dimer,c:0:mdash:1:h,2,10.1107/S1600536809003419
centrosymmetric dimers,intermolecular C mdash H,are formed through,In the crystal structure centrosymmetric dimers are formed through weak intermolecular C mdash H,7,5,22,25,4,form,139,"{'mould', 'spring', 'shape', 'organize', 'form', 'mold', 'imprint', 'constitute', 'organise', 'forge'}",are:0:formed through,centrosymmetric:0:dimer,intermolecular:2:c:0:mdash:1:h,3,10.1107/S1600536809003419
perfect crystal,dynamical theory,is discussed on,The phase shift of forwarddiffracted Xrays by a perfect crystal is discussed on the basis of the dynamical theory of Xray diffraction,3,1,3,34,7,discuss,25,"{'discourse', 'discuss'}",is:0:discussed on,perfect:0:crystal,dynamical:0:theory,1,10.1107/S0909049597015525
inorganic layers,P centers,consist of,The inorganic layers consist of alternating pyramidal Sn and tetrahedral P centers joined by doubly bridging O atoms,4,6,2,53,7,consist,68,"{'belong', 'dwell', 'consist', 'comprise', 'lie'}",consist of,inorganic:0:layer,p:0:center,1,10.1107/S0108270101010034
inorganic layers,P centers,alternating,The inorganic layers consist of alternating pyramidal Sn and tetrahedral P centers joined by doubly bridging O atoms,7,6,2,53,7,alternate,7,"{'alternate', 'switch', 'interchange', 'tack', 'flip-flop', 'understudy'}",alternating,inorganic:0:layer,p:0:center,1,10.1107/S0108270101010034
P centers,O atoms,joined by,The inorganic layers consist of alternating pyramidal Sn and tetrahedral P centers joined by doubly bridging O atoms,6,1,28,27,4,join,13,"{'join', 'connect', 'link', 'conjoin', 'unite'}",joined by,p:0:center,o:0:atom,1,10.1107/S0108270101010034
inorganic layers,Sn and tetrahedral P centers,consist of,The inorganic layers consist of alternating pyramidal Sn and tetrahedral P centers joined by doubly bridging O atoms,4,6,2,34,4,consist,68,"{'belong', 'dwell', 'consist', 'comprise', 'lie'}",consist of,inorganic:0:layer,tetrahedral:0:sn:1:p:0:center,2,10.1107/S0108270101010034
inorganic layers,Sn and tetrahedral P centers,alternating,The inorganic layers consist of alternating pyramidal Sn and tetrahedral P centers joined by doubly bridging O atoms,7,6,2,34,4,alternate,7,"{'alternate', 'switch', 'interchange', 'tack', 'flip-flop', 'understudy'}",alternating,inorganic:0:layer,tetrahedral:0:sn:1:p:0:center,2,10.1107/S0108270101010034
Sn and tetrahedral P centers,doubly bridging O atoms,joined by,The inorganic layers consist of alternating pyramidal Sn and tetrahedral P centers joined by doubly bridging O atoms,6,1,2,11,2,join,13,"{'join', 'connect', 'link', 'conjoin', 'unite'}",joined by,tetrahedral:0:sn:1:p:0:center,doubly:0:bridge:1:o:0:atom,2,10.1107/S0108270101010034
inorganic layers,pyramidal Sn and tetrahedral P centers,consist of,The inorganic layers consist of alternating pyramidal Sn and tetrahedral P centers joined by doubly bridging O atoms,4,6,2,24,3,consist,68,"{'belong', 'dwell', 'consist', 'comprise', 'lie'}",consist of,inorganic:0:layer,pyramidal:2:tetrahedral:0:sn:1:p:0:center,3,10.1107/S0108270101010034
inorganic layers,pyramidal Sn and tetrahedral P centers,alternating,The inorganic layers consist of alternating pyramidal Sn and tetrahedral P centers joined by doubly bridging O atoms,7,6,2,24,3,alternate,7,"{'alternate', 'switch', 'interchange', 'tack', 'flip-flop', 'understudy'}",alternating,inorganic:0:layer,pyramidal:2:tetrahedral:0:sn:1:p:0:center,3,10.1107/S0108270101010034
pyramidal Sn and tetrahedral P centers,doubly bridging O atoms,joined by,The inorganic layers consist of alternating pyramidal Sn and tetrahedral P centers joined by doubly bridging O atoms,6,1,2,11,2,join,13,"{'join', 'connect', 'link', 'conjoin', 'unite'}",joined by,pyramidal:2:tetrahedral:0:sn:1:p:0:center,doubly:0:bridge:1:o:0:atom,3,10.1107/S0108270101010034
thiourea molecules,tetragonal antiprism,is composed from,The title compound PrH2O9I3 middot 2CSNH22 an adduct of nonaaquapraseodymium triiodide with two thiourea molecules is composed from PrH2O93 cations polyhedron monocapped tetragonal antiprism noncoordinated thiourea molecules and iodide anions,3,1,1,56,7,compose,13,"{'frame', 'pen', 'compile', 'write', 'indite', 'compose'}",is:0:composed from,thiourea:0:molecule,tetragonal:0:antiprism,1,10.1107/S1600536811054663
adduct of nonaaquapraseodymium,monocapped tetragonal antiprism,is composed from,The title compound PrH2O9I3 middot 2CSNH22 an adduct of nonaaquapraseodymium triiodide with two thiourea molecules is composed from PrH2O93 cations polyhedron monocapped tetragonal antiprism noncoordinated thiourea molecules and iodide anions,3,1,1,83,11,compose,13,"{'frame', 'pen', 'compile', 'write', 'indite', 'compose'}",is:0:composed from,nonaaquapraseodymium:0:adduct,monocapp:1:tetragonal:0:antiprism,2,10.1107/S1600536811054663
adduct of nonaaquapraseodymium triiodide with two thiourea molecules,noncoordinated thiourea molecules and iodide anions,is composed from,The title compound PrH2O9I3 middot 2CSNH22 an adduct of nonaaquapraseodymium triiodide with two thiourea molecules is composed from PrH2O93 cations polyhedron monocapped tetragonal antiprism noncoordinated thiourea molecules and iodide anions,3,1,1,77,9,compose,13,"{'frame', 'pen', 'compile', 'write', 'indite', 'compose'}",is:0:composed from,thiourea:0:molecule:1:triiodide:2:nonaaquapraseodymium:0:adduct,iodide:0:anion:1:noncoordinated:1:thiourea:0:molecule,3,10.1107/S1600536811054663
complex cation,twofold axis,are located on,The complex cation and one of the two independent iodide anions are located on a twofold axis,18,1,8,63,12,locate,34,"{'settle', 'locate', 'site', 'place', 'situate'}",are:0:located on,complex:0:cation,twofold:0:axis,1,10.1107/S1600536811054663
independent iodide anions,twofold axis,are located on,The complex cation and one of the two independent iodide anions are located on a twofold axis,18,1,8,18,4,locate,34,"{'settle', 'locate', 'site', 'place', 'situate'}",are:0:located on,independent:1:iodide:0:anion,twofold:0:axis,2,10.1107/S1600536811054663
complex cation and one of the two independent iodide anions,twofold axis,are located on,The complex cation and one of the two independent iodide anions are located on a twofold axis,18,1,8,18,4,locate,34,"{'settle', 'locate', 'site', 'place', 'situate'}",are:0:located on,independent:1:iodide:0:anion:2:complex:0:cation,twofold:0:axis,3,10.1107/S1600536811054663
condensed anion,centre of symmetry,consists of,In the crystal structure of the title compound C10H16N2Hg2Br6 the condensed anion consists of two edgesharing HgBr4 tetrahedra and is situated on a centre of symmetry,60,2,8,67,11,consist,68,"{'belong', 'dwell', 'consist', 'comprise', 'lie'}",consists of,condense:0:anion,symmetry:0:centre,1,10.1107/S1600536811055887
condensed anion,centre of symmetry,is situated on,In the crystal structure of the title compound C10H16N2Hg2Br6 the condensed anion consists of two edgesharing HgBr4 tetrahedra and is situated on a centre of symmetry,4,2,8,67,11,situate,7,"{'locate', 'posit', 'situate', 'deposit'}",is:0:situated on,condense:0:anion,symmetry:0:centre,1,10.1107/S1600536811055887
IrI ion,coordination geometry,has,In the title compound IrClC8H12C17H25N3 the IrI ion has a distorted squareplanar coordination geometry,165,1,11,30,4,have,175,"{'feature', 'have', 'possess', 'consume', 'undergo', 'ingest', 'get', 'give', 'experience', 'hold', 'let', 'receive', 'own'}",has,iri:0:ion,coordination:0:geometry,1,10.1107/S1600536812000992
title compound,dihedral angles,contains,The asymmetric unit of the title compound C14H11NS contains two molecules in which the dihedral angles between the phenyl rings are 7723 emsp14 7 and 8630 emsp14 7 deg ,108,302,19,46,7,contain,134,"{'contain', 'stop', 'bear', 'arrest', 'control', 'curb', 'comprise', 'incorporate', 'check', 'moderate', 'hold', 'carry'}",contains,title:0:compound,dihedral:0:angle,1,10.1107/S1600536812000888
asymmetric unit,piperazinediium cation,contains,In the title compound C5H14N2Cd2Cl6 middot H2On the asymmetric unit contains one piperazinediium cation one Cd2Cl62 minus  anion and a water molecule,108,34,1,14,2,contain,134,"{'contain', 'stop', 'bear', 'arrest', 'control', 'curb', 'comprise', 'incorporate', 'check', 'moderate', 'hold', 'carry'}",contains,asymmetric:0:unit,piperazinediium:0:cation,1,10.1107/S1600536812001626
chloride bridges,polymeric chains,generating,Adjacent CdII atoms are interconnected alternately by paired chloride bridges generating polymeric chains parallel to 010,4,1,7,12,1,generate,46,"{'render', 'father', 'engender', 'mother', 'yield', 'generate', 'sire', 'beget'}",generating,chloride:0:bridge,polymeric:0:chain,1,10.1107/S1600536812001626
Adjacent CdII atoms,paired chloride bridges,are interconnected,Adjacent CdII atoms are interconnected alternately by paired chloride bridges generating polymeric chains parallel to 010,1,1,1,35,4,interconnect,3,"{'interlink', 'interconnect', 'complect'}",are:0:interconnected,adjacent:0:cdii:1:atom,pair:1:chloride:0:bridge,2,10.1107/S1600536812001626
Neighbouring chains,mdash H,are connected by,Neighbouring chains are connected by O mdash H,17,6,128,20,4,connect,56,"{'join', 'tie', 'colligate', 'relate', 'associate', 'link', 'connect', 'unite'}",are:0:connected by,neighbouring:0:chain,mdash:0:h,1,10.1107/S1600536812001626
Neighbouring chains,O mdash H,are connected by,Neighbouring chains are connected by O mdash H,17,6,51,18,3,connect,56,"{'join', 'tie', 'colligate', 'relate', 'associate', 'link', 'connect', 'unite'}",are:0:connected by,neighbouring:0:chain,o:1:mdash:0:h,2,10.1107/S1600536812001626
crystal packing,N mdash H,stabilized by,The crystal packing is further stabilized by intermolecular N mdash H,156,91,50,41,5,stabilize,182,"{'steady', 'stabilize', 'stabilise', 'brace'}",stabilized by,crystal:0:pack,n:1:mdash:0:h,2,10.1107/S1600536812001626
crystal packing,intermolecular N mdash H,stabilized by,The crystal packing is further stabilized by intermolecular N mdash H,156,91,11,26,4,stabilize,182,"{'steady', 'stabilize', 'stabilise', 'brace'}",stabilized by,crystal:0:pack,intermolecular:2:n:1:mdash:0:h,3,10.1107/S1600536812001626
ZnII atom,N atoms,is coordinated by,In the title compound ZnCl2C7H6N2S2 middot 05CH3CH2OH the ZnII atom is coordinated by two N atoms of two 2aminobenzothiazole ligands and two Cl atoms within a distorted tetrahedral geometry,78,5,22,23,4,coordinate,94,"{'align', 'ordinate', 'organize', 'coordinate', 'organise'}",is:0:coordinated by,znii:0:atom,n:0:atom,1,10.1107/S1600536812001560
ZnII atom,two Cl atoms within a distorted tetrahedral geometry,is coordinated by,In the title compound ZnCl2C7H6N2S2 middot 05CH3CH2OH the ZnII atom is coordinated by two N atoms of two 2aminobenzothiazole ligands and two Cl atoms within a distorted tetrahedral geometry,78,5,1,70,11,coordinate,94,"{'align', 'ordinate', 'organize', 'coordinate', 'organise'}",is:0:coordinated by,znii:0:atom,distort:1:tetrahedral:0:geometry:2:cl:0:atom,3,10.1107/S1600536812001560
molecular structure,mdash H,is stabilized by,The molecular structure is stabilized by intramolecular N mdash H,156,20,128,35,5,stabilize,182,"{'steady', 'stabilize', 'stabilise', 'brace'}",is:0:stabilized by,molecular:0:structure,mdash:0:h,1,10.1107/S1600536812001560
molecular structure,N mdash H,is stabilized by,The molecular structure is stabilized by intramolecular N mdash H,156,20,50,33,4,stabilize,182,"{'steady', 'stabilize', 'stabilise', 'brace'}",is:0:stabilized by,molecular:0:structure,n:1:mdash:0:h,2,10.1107/S1600536812001560
molecular structure,intramolecular N mdash H,is stabilized by,The molecular structure is stabilized by intramolecular N mdash H,156,20,2,18,3,stabilize,182,"{'steady', 'stabilize', 'stabilise', 'brace'}",is:0:stabilized by,molecular:0:structure,intramolecular:2:n:1:mdash:0:h,3,10.1107/S1600536812001560
chemical reaction,crystal structure,be observed by,The process of chemical reaction in a crystal can be observed by stepwise crystal structure analysis if the singlecrystal integrity is preserved during the reaction,3,1,46,42,8,observe,44,"{'notice', 'honour', 'respect', 'mention', 'watch', 'find', 'keep', 'discover', 'observe', 'detect', 'remark', 'celebrate', 'honor', 'note'}",be:0:observed by,chemical:0:reaction,crystal:0:structure,1,10.1107/S0108767398009118
chemical reaction in a crystal,crystal structure analysis,be observed by,The process of chemical reaction in a crystal can be observed by stepwise crystal structure analysis if the singlecrystal integrity is preserved during the reaction,3,1,2,29,5,observe,44,"{'notice', 'honour', 'respect', 'mention', 'watch', 'find', 'keep', 'discover', 'observe', 'detect', 'remark', 'celebrate', 'honor', 'note'}",be:0:observed by,crystal:1:chemical:0:reaction,crystal:0:structure:1:analysis,2,10.1107/S0108767398009118
process of chemical reaction in a crystal,stepwise crystal structure analysis,be observed by,The process of chemical reaction in a crystal can be observed by stepwise crystal structure analysis if the singlecrystal integrity is preserved during the reaction,3,1,1,20,4,observe,44,"{'notice', 'honour', 'respect', 'mention', 'watch', 'find', 'keep', 'discover', 'observe', 'detect', 'remark', 'celebrate', 'honor', 'note'}",be:0:observed by,crystal:1:chemical:0:reaction:2:process,stepwise:2:crystal:0:structure:1:analysis,3,10.1107/S0108767398009118
Such a reaction,situ observation,is called,Such a reaction is called a crystallinestate reaction and the stepwise crystal structure analysis is termed realtime in situ observation,2,4,2,105,15,call,2,"{'telephone', 'scream', 'ring', 'shout', 'squall', 'visit', 'name', 'cry', 'holler', 'hollo', 'phone', 'yell', 'call'}",is:0:called,such:0:reaction,situ:0:observation,1,10.1107/S0108767398009118
Such a reaction,situ observation,is termed,Such a reaction is called a crystallinestate reaction and the stepwise crystal structure analysis is termed realtime in situ observation,2,4,2,105,15,term,2,{'term'},is:0:termed,such:0:reaction,situ:0:observation,1,10.1107/S0108767398009118
Such a reaction,time in situ observation,is called,Such a reaction is called a crystallinestate reaction and the stepwise crystal structure analysis is termed realtime in situ observation,2,4,2,97,14,call,2,"{'telephone', 'scream', 'ring', 'shout', 'squall', 'visit', 'name', 'cry', 'holler', 'hollo', 'phone', 'yell', 'call'}",is:0:called,such:0:reaction,situ:0:observation:1:time,2,10.1107/S0108767398009118
Such a reaction,time in situ observation,is termed,Such a reaction is called a crystallinestate reaction and the stepwise crystal structure analysis is termed realtime in situ observation,2,4,2,97,14,term,2,{'term'},is:0:termed,such:0:reaction,situ:0:observation:1:time,2,10.1107/S0108767398009118
second example,hydrogen ndash deuterium exchange,is in,The second example is in situ observation of hydrogen ndash deuterium exchange by neutron diffraction,56,1,1,27,5,be,474,"{'be', 'represent', 'personify', 'comprise', 'embody', 'exist', 'constitute', 'equal'}",is in,2:0:example,hydrogen:0:ndash:1:deuterium:2:exchange,3,10.1107/S0108767398009118
reaction mechanisms,powerful method,are clarified by,In all the examples the reaction mechanisms are clarified by the realtime in situ observation which is a powerful method to analyze the mechanism of chemical reactions,1,1,1,62,11,clarify,1,"{'clarify', 'elucidate'}",are:0:clarified by,reaction:0:mechanism,powerful:0:method,1,10.1107/S0108767398009118
pi  ndash  ,furan and benzene,occurs between,A slipped  pi  ndash  pi  interaction occurs between the furan and benzene rings of adjacent molecules centroid ndash centroid distance  3892 emsp14 3 emsp14  Aring  and slippage  1786 emsp14 3 emsp14  Aring ,5,3,1,35,5,occur,16,"{'happen', 'pass', 'occur', 'hap'}",occurs between,pi:0:ndash,benzene:0:furan,1,10.1107/S1600536811056091
pi  ndash  pi  ,furan and benzene rings,occurs between,A slipped  pi  ndash  pi  interaction occurs between the furan and benzene rings of adjacent molecules centroid ndash centroid distance  3892 emsp14 3 emsp14  Aring  and slippage  1786 emsp14 3 emsp14  Aring ,5,3,1,31,4,occur,16,"{'happen', 'pass', 'occur', 'hap'}",occurs between,pi:1:pi:0:ndash,benzene:0:furan:1:ring,2,10.1107/S1600536811056091
crystal structure,weak C mdash,exhibits,The crystal structure also exhibits a weak C mdash Br,38,155,4,17,3,exhibit,46,"{'expose', 'exhibit', 'parade', 'present', 'display', 'demo', 'show', 'march', 'demonstrate'}",exhibits,crystal:0:structure,weak:1:c:0:mdash,2,10.1107/S1600536811056091
asymmetric unit,centre of symmetry,consists of,The asymmetric unit consists of one halfmolecule that is completed by application of a centre of symmetry,60,34,8,68,11,consist,68,"{'belong', 'dwell', 'consist', 'comprise', 'lie'}",consists of,asymmetric:0:unit,symmetry:0:centre,1,10.1107/S1600536812002061
asymmetric unit,application of a centre of symmetry,consists of,The asymmetric unit consists of one halfmolecule that is completed by application of a centre of symmetry,60,34,1,51,8,consist,68,"{'belong', 'dwell', 'consist', 'comprise', 'lie'}",consists of,asymmetric:0:unit,symmetry:0:centre:1:application,2,10.1107/S1600536812002061
octahedral environment,O atoms,surrounded by,The ZnII atom is sixcoordinated in an octahedral environment surrounded by two O atoms in the axial positions and four N atoms in the equatorial plane,9,5,28,19,3,surround,9,"{'border', 'skirt', 'environ', 'ring', 'circumvent', 'besiege', 'wall', 'beleaguer', 'surround', 'round', 'fence', 'smother', 'palisade', 'encircle', 'circle'}",surrounded by,octahedral:0:environment,o:0:atom,1,10.1107/S1600536812002061
octahedral environment,two O atoms in the axial positions,surrounded by,The ZnII atom is sixcoordinated in an octahedral environment surrounded by two O atoms in the axial positions and four N atoms in the equatorial plane,9,5,1,15,2,surround,9,"{'border', 'skirt', 'environ', 'ring', 'circumvent', 'besiege', 'wall', 'beleaguer', 'surround', 'round', 'fence', 'smother', 'palisade', 'encircle', 'circle'}",surrounded by,octahedral:0:environment,axial:0:position:1:o:0:atom,2,10.1107/S1600536812002061
octahedral environment,two O atoms in the axial positions and four N atoms in the equatorial plane,surrounded by,The ZnII atom is sixcoordinated in an octahedral environment surrounded by two O atoms in the axial positions and four N atoms in the equatorial plane,9,5,1,15,2,surround,9,"{'border', 'skirt', 'environ', 'ring', 'circumvent', 'besiege', 'wall', 'beleaguer', 'surround', 'round', 'fence', 'smother', 'palisade', 'encircle', 'circle'}",surrounded by,octahedral:0:environment,equatorial:0:plane:1:n:0:atom:2:axial:0:position:1:o:0:atom,3,10.1107/S1600536812002061
mononuclear units,mdash H,linked via,Adjacent mononuclear units are further linked via O mdash H,15,1,128,26,5,link,178,"{'yoke', 'join', 'tie', 'colligate', 'relate', 'associate', 'link', 'connect', 'unite'}",linked via,mononuclear:0:unit,mdash:0:h,1,10.1107/S1600536812002061
Adjacent mononuclear units,O mdash H,linked via,Adjacent mononuclear units are further linked via O mdash H,15,1,51,24,4,link,178,"{'yoke', 'join', 'tie', 'colligate', 'relate', 'associate', 'link', 'connect', 'unite'}",linked via,adjacent:1:mononuclear:0:unit,o:1:mdash:0:h,2,10.1107/S1600536812002061
short review,liquid crystals,is given of,A short review is given of recent Xray diffraction studies of the phases and phase transitions of thermotropic liquid crystals,7,3,1,97,15,give,80,"{'afford', 'have', 'pay', 'present', 'give', 'yield', 'hold', 'throw', 'gift'}",is:0:given of,short:0:review,liquid:0:crystal,1,10.1107/S0108767304025991
short review,thermotropic liquid crystals,is given of,A short review is given of recent Xray diffraction studies of the phases and phase transitions of thermotropic liquid crystals,7,3,1,84,14,give,80,"{'afford', 'have', 'pay', 'present', 'give', 'yield', 'hold', 'throw', 'gift'}",is:0:given of,short:0:review,thermotropic:1:liquid:0:crystal,2,10.1107/S0108767304025991
short review,transitions of thermotropic liquid crystals,is given of,A short review is given of recent Xray diffraction studies of the phases and phase transitions of thermotropic liquid crystals,7,3,1,69,12,give,80,"{'afford', 'have', 'pay', 'present', 'give', 'yield', 'hold', 'throw', 'gift'}",is:0:given of,short:0:review,thermotropic:1:liquid:0:crystal:2:transition,3,10.1107/S0108767304025991
antiferroelectric phases,smectic phases,studied with,The areas covered are twistgrainboundary phases antiferroelectric phases studied with resonant Xray diffraction and smectic phases within gel structures,1,1,1,44,6,study,26,"{'analyse', 'study', 'read', 'canvass', 'canvas', 'meditate', 'learn', 'consider', 'examine', 'analyze', 'contemplate'}",studied with,antiferroelectric:0:phasis,smectic:0:phasis,1,10.1107/S0108767304025991
base complex,vanadyl group,features,The title Schiff base complex VC13H7BrClNO2CH3OOCH3OH features a vanadyl group a tridentate Schiff base ligand and coordinated methanol and methanolate ligands,32,2,3,36,3,feature,32,"{'feature', 'sport', 'have', 'boast'}",features,base:0:complex,vanadyl:0:group,1,10.1107/S160053681200311X
Schiff base complex,vanadyl group,features,The title Schiff base complex VC13H7BrClNO2CH3OOCH3OH features a vanadyl group a tridentate Schiff base ligand and coordinated methanol and methanolate ligands,32,2,3,36,3,feature,32,"{'feature', 'sport', 'have', 'boast'}",features,schiff:1:base:0:complex,vanadyl:0:group,2,10.1107/S160053681200311X
title Schiff base complex,vanadyl group,features,The title Schiff base complex VC13H7BrClNO2CH3OOCH3OH features a vanadyl group a tridentate Schiff base ligand and coordinated methanol and methanolate ligands,32,2,3,36,3,feature,32,"{'feature', 'sport', 'have', 'boast'}",features,title:2:schiff:1:base:0:complex,vanadyl:0:group,3,10.1107/S160053681200311X
NO5 donor set,distorted octahedron,is based on,The NO5 donor set is based on a distorted octahedron,33,1,3,15,4,base,33,"{'establish', 'base', 'station', 'found', 'send', 'post'}",is:0:based on,donor:0:set,distort:0:octahedron,1,10.1107/S160053681200311X
supramolecular chains,crystal structure,are found in,Helical supramolecular chains along 010 are found in the crystal structure mediated by O mdash H,18,2,46,28,6,found,54,"{'institute', 'plant', 'establish', 'base', 'found', 'constitute', 'launch'}",are:0:found in,supramolecular:0:chain,crystal:0:structure,1,10.1107/S160053681200311X
Helical supramolecular chains,crystal structure,are found in,Helical supramolecular chains along 010 are found in the crystal structure mediated by O mdash H,18,1,46,28,6,found,54,"{'institute', 'plant', 'establish', 'base', 'found', 'constitute', 'launch'}",are:0:found in,helical:1:supramolecular:0:chain,crystal:0:structure,2,10.1107/S160053681200311X
organic materials,fast response,exhibit,pi Conjugated organic materials exhibit high and tunable nonlinear optical NLO properties and fast response times,4,2,1,63,9,exhibit,46,"{'expose', 'exhibit', 'parade', 'present', 'display', 'demo', 'show', 'march', 'demonstrate'}",exhibit,organic:0:material,fast:0:response,1,10.1107/S2053229616006677
organic materials,fast response times,exhibit,pi Conjugated organic materials exhibit high and tunable nonlinear optical NLO properties and fast response times,4,2,1,63,9,exhibit,46,"{'expose', 'exhibit', 'parade', 'present', 'display', 'demo', 'show', 'march', 'demonstrate'}",exhibit,organic:0:material,fast:0:response:1:time,2,10.1107/S2053229616006677
kappa 3O prime  prime,hydrothermal conditions,has been,O prime  prime  kappa 3O prime  prime OO prime bis4 prime phenyl22 prime 6 prime 2 prime  prime terpyridine kappa 3NN prime N prime  prime cobaltII Co2C14H8O52C21H15N32 1 has been synthesized under hydrothermal conditions,282,2,3,161,25,be,474,"{'be', 'represent', 'personify', 'comprise', 'embody', 'exist', 'constitute', 'equal'}",has:0:been,kappa:1:prime:0:prime,hydrothermal:0:condition,2,10.1107/S2053229616006677
