"L domain and K domain" "joined" "linker region" .
"trigonal regions" "indicating" "other reflexions in the zone" .
"crystal packing" "shows" "asymmetric unit" .
"methyl group on the isatin N atom" "determines" "difference in the packing" .
"photoluminescence properties" "investigated by" "room temperature" .
"molecular complexes of an organic nature" "compared with" "structural characteristics of the dioxide reported here" .
"Human immunodeficiency" "induce" "antiviral functions" .
"measured intensity" "shows" "incident and scattered beams" .
"component species" "are connected via" "mdash H" .
"Determination of this structure" "provide" "new insights" .
"anomalous scatterers" "were found by" "anomalous differences" .
"HRSVN structures" "reported" "recently published structure" .
"problems in this environment" "cause" "quality of the resulting phases" .
"related analysis" "applied to" "flat molecule structures" .
"ZnII atoms" "coordinated by" "five O atoms within a distorted trigonal biyramid" .
"dicupric monooxalate lactoferrin" "has been" "oscillation photography on a synchrotron source" .
"associated lipocalin" "using" "precipitating agent" .
"accurate crystallographic structure" "were extracted from" "Laue intensities" .
"Anabolic ornithine transcarbamoylase" "catalyzes" "urea cycle" .
"decomposition temperatures" "linking" "modification and commercial" .
"Quantitative mineralogical analyses of these mixtures" "have been" "Rietveld method" .
"Detailed measurements" "have been" "reflected and transmitted intensities for scattering of" .
"confidence in assessing macromolecular models" "develop" "biostructural information from crystallographic literature" .
"recent research" "indicates" "Dsb proteins" .
"mononuclear complex" "is located on" "rotation axis" .
"Maximally diverse conditions" "taking into" "chemicals used in the formulation" .
"viral RNA" "allows" "terminal CARD" .
"appropriate averaging procedures" "yield" "important structural information about macromolecular crystals" .
"EAV virion" "consists of" "lipid envelope containing several membrane proteins" .
"interest from the point of view of catalysis" "crystallizes with" "independent molecules" .
"macromolecular structure" "develop" "macromolecular models" .
"C gamma  atom" "has" "gauche II conformation" .
"predominant oxidation product" "has been" "cell differentiation and human diseases" .
"crystal structure" "features" "mdash H" .
"title compound" "has" "N atoms" .
"CdII atoms into a chain motif" "interlinked by" "O mdash H" .
"Analysis of the intensity distributions" "showed" "twin boundary distribution results" .
"apex of the pyramid" "is occupied by" "O atom" .
"Our results" "suggest" "relatively small perturbations" .
"thin specimen" "be used to" "quantitative information" .
"title compound" "exhibits" "centrosymmetric binuclear molecule" .
"reliability factors" "found" "Elfstr ouml" .
"individual snapshots" "separate" "whole set of snapshots" .
"aspects of data collection" "including including" "strategy optimization" .
"active forms" "appears to" "hydrophobic interactions" .
"holmium ions" "were shown to" "magnesium ions" .
"twofold axis" "links" "complex molecules" .
"crystal structure using the Rietveld profile technique" "requires" "suitable description of the shape of the peaks" .
"Bragg profile" "mapped without" "time resolution" .
"complete data set" "collected to" "single native crystal" .
"phenyl rings" "show" "isomorphous compounds" .
"Zn atoms" "are bridged by" "carboxylate groups" .
"calculation experiments" "taken from" "crystalline standard and Naphthalene" .
"limited number" "inhibit" "serine hydroxyl" .
"NiII ion" "has" "distorted octahedral coordination geometry" .
"enzyme cytochrome" "were grown by" "vapour diffusion using ammonium sulfate as a precipitant" .
"title compound" "confirms" "space group" .
"embryonically lethal abnormal vision" "has been" "alternative splicing" .
"maleonitriledithiolate ligands" "exhibits" "coordination geometry" .
"forensic analysis of evidences" "extract" "information from small quantities of samples" .
"solvent molecules" "is located about" "crystallographic inversion centre" .
"inclusion of these data" "improve" "experimental phases" .
"Guinier camera" "is considered with" "scattering curves" .
"interpenetrating layers" "were derived" "lattice complexes" .
"pure potassium dihydrogen" "were grown from" "water solution" .
"inversion centre" "exhibits" "distorted octahedral geometry" .
"relatively simple assumption" "expected" "intensity dislocations" .
"basal plane" "is defined by" "phenolate O" .
"hitherto unknown fold" "having" "surface electrostatic charge distribution" .
"positions and sensitivities of individual tubes" "determined" "channel widths" .
"title compound" "belongs to" "family of dimeric clusters" .
"title molecule" "are tilted with" "respect to the benzene" .
"Slow dehydration" "led to" "fairly symmetric 4 emsp14 4 emsp14 0 rocking curve" .
"c axis" "being" "C mdash H" .
"parallel electron beam" "be used to" "moir eacute  patterns" .
"crystal growth rate" "is controlled by" "interface under the used experimental conditions" .
"bipy chains" "linked" "mdash H" .
"ZnII centers" "exhibit" "different coordination environments" .
"powerful means" "tune" "potential hydrogen storage materials" .
"One MnII cation" "is coordinated by" "Cl minus  anion and five N atoms from the ligand" .
"title compound" "contains" "independent moleules" .
"AMoRe program" "starting from" "monomer model" .
"rich diffraction pattern" "contain" "wealth of information" .
"N hydrogen" "help to" "crystal packing" .
"crystal structure" "determined to" "anomalous diffraction data" .
"water molecule" "is occupied by" "methanol molecule" .
"keV synchrotron radiation" "is presented" "crystal reflections" .
"fixed conformation" "is used to" "structures of the inhibitors" .
"SPINE standard" "meets" "sample exchange" .
"Great efforts" "understand" "hydrogenation properties of currently available materials" .
"putative methyltransferase gene" "expressed in" "Escherichia coli" .
"Cu complexes" "are measured" "spectral information" .
"advanced computer architectures" "solve" "very large number of local optima" .
"ring systems" "overlap but" "C mdash" .
"CoII ion" "distorted" "octahedral coordination" .
"Erbium dinickel" "crystallizes in" "structure type" .
"title compound" "has" "syn configuration" .
"redesigned construct" "has" "crystals that diffract to similar resolution" .
"title compound" "were synthesized under" "solvothermal conditions" .
"spectra library" "lays" "unknown composition" .
"diffraction lines" "were resolved" "wavelength  lambda  " .
"title compound" "has" "ring system" .
"polyalanine linker between CTB and MPR" "proved to" "pentameric form of the protein" .
"crystal forms" "were obtained by" "number of screening conditions" .
"diffraction data set" "collected with" "Aring  wavelength" .
"diamagnetic complexes" "are proposed as" "family of complexes                                                              " .
"the released positron beam has a large diameter" "used to" "sufficient flux" .
"trained personnel experienced with the beamlines" "resulting in" "high quality data" .
"Chiral chains" "are formed by" "mdash H" .
"strontium magnesium" "found to" "monoclinic P21 structure" .
"cryocooled macromolecular crystals" "defined for" "robotic sample changers" .
"color change induced by vapors" "are expected to" "sensing of volatile organic compounds or humidity" .
"Neighbouring layers" "interact by" "very weak  pi  ndash  " .
"title compound" "makes" "dihedral angle" .
"rotation axis" "is bonded to" "O atoms" .
"Salmonella typhi" "has" "native form" .
"hydrogen bonds" "link" "chain structure" .
"Dimeric complex" "consists of" "Mn atoms" .
"spiral growth on protein crystals" "observed" "surface techniques" .
"chemical compounds" "be used to" "structural variation" .
"title compound" "imposed" "twofold rotational symmetry" .
"reference frame" "makes" "linear relationships" .
"tensor properties" "solved for" "simple general formulas" .
"the conformation and the same H atom" "involved in" "intermolecular O mdash H" .
"title compound" "adopts" "tautomeric form" .
"compact formulas and rules" "are applied to" "specific tensor properties discussed in recent literature" .
"crystal structure" "are connected by" "intermolecular O mdash H" .
"naphthoquinone moieties" "are connected by" "mdash H" .
"minimal principle model" "is reformulated for" "case of centrosymmetric structures" .
"water molecules" "interact through" "hydrogen bonds" .
"donor molecule" "forms" "solvate salt" .
"overall structure" "is described" "related xylanases" .
"polymer solutions" "are calculated by" "distribution function" .
"ReV atom" "adopts" "C mdash H" .
"synchrotron beam" "used to" "spatial resolution" .
"aqueous solutions at low temperatures" "according to" "ndash liquid phase diagram" .
"Sodium cobalt phosphate" "occurs as" "different polymorphs" .
"inversion centre" "is at" "C mdash C bond" .
"Numerical results" "are given for" "dipole lattice sums" .
"absolute structure" "established" "anomalous dispersion effects" .
"Hydrophilic regions" "are generated by" "mdash H" .
"area detector" "allows" "atomic pair" .
"chair conformation" "fused to" "envelope conformation" .
"Auger electron decay" "has" "effect of reducing the absorbed dose" .
"histidinium cations" "are linked by" "hydrogen bonds" .
"anions plus water molecules" "stacked along" "c axis" .
"title molecule" "has" "envelope conformation" .
"performance of this system" "investigating" "ferroelectric phase transition" .
"picrate anions" "lie" "relative orientation of nearly 120 deg" .
"accurate crystallographic structure amplitudes" "were extracted from" "Laue intensities" .
"inversion center" "exhibits" "distorted octahedral coordination geometry" .
"Charge interpolation methods" "have yielded" "spatial resolution of  sigma" .
"comparison of molecular structures" "is facilitated by" "combination of graphical and numerical techniques" .
"various types of functional material in mesoporous silica matrices" "design" "unique and fascinating properties" .
"additional group" "prevents" "close interactions" .
"emsp14 kDa protein" "belongs to" "SAICAR synthase family of enzymes" .
"phosphate group of 3 prime GMP or one of the sulfate ions" "make" "electrostatic interaction with the binase molecule at the catalytic site" .
"title compound" "are linked by" "hydrogen bonds" .
"nuclear contributions" "described by" "bimodal size distribution" .
"diffuse system" "is explained by" "accoustical mode B1" .
"oxidation state of iron ions" "support" "obtained crystal structure" .
"curved crystals" "investigated" "computer simulation" .
"three lobes or fingers" "delineate" "additional grooves" .
"title compound" "has" "inversion symmetry" .
"flexibility and efficiency of Pi sampling" "is demonstrated by" "crystallization of soluble proteins" .
"cis and trans configurations and" "appear as" "main cluster types" .
"O atom of the aldehyde group" "is displaced" "phenyl ring plane" .
"structural details" "compare" "recombinant WhNV B2 protein" .
"forbidden reflection 442 in silicon between room temperature and 700 K" "has been" "multiple beam diffraction" .
"repulsive parameter" "decides" "space group" .
"methyl acetate groups" "form" "mean plane of pyridine ring" .
"FeIII atom" "coordinated by" "Cl atoms" .
"main chains" "are connected by" "hydrogen bonds" .
"title compound" "obtained from" "condensation reaction" .
"Schiff base" "resulting in" "metal ion" .
"bromoacetyl group" "makes" "ring system" .
"title compound" "contains" "centrosymmetric polyvanadate" .
"Diffraction images" "were recorded at" "ADSC Quantum 210r CCD detector" .
"The sulfonyl and the aniline benzene rings" "are tilted" "deg  in the three molecules" .
"title compound" "adopts" "imine tautomeric form" .
"solvothermal reactions" "afforded" "linear compounds" .
"selenomethionyl derivatives" "permits" "sequence assignment" .
"USAXS intensity" "shows" "Porod behaviour" .
"pi  interactions" "link" "bc plane" .
"title compound" "consists of" "complex cation" .
"uniqueness of the model" "analyzing" "systematic SAXS simulations" .
"mdash O distance" "depends" "O atom" .
"ZnO2Cl2 tetrahedra and SeO3E tetrahedra" "being" "lone pair" .
"axial position" "coordinated to" "N atom" .
"ZnII centers" "exhibit" "coordination environments" .
"coordination environment of each metal atom" "involves" "O atoms of the tridentate ligand" .
"transform ndash" "is used to" "crystal structure of the molecule" .
"ribosome structures" "have provided" "important insights into the mechanism of translation" .
"CoIII atom" "has" "slightly distorted octahedral geometry" .
"pi  interactions" "stabilize" "crystal structure" .
"title compound" "synthesized by" "intramolecular cyclization" .
"detailed definition" "has shown" "quinohaemoprotein alcohol" .
"title compound" "consists of" "centrosymmetric dinuclear" .
"diffraction dispersion surface" "is performed to" "forbidden wavefields" .
"Bragg angles of a standard and the sample" "give" "precise values of lattice parameters" .
"alignment of the material" "allows for" "improved structural characterization" .
"Scattering exponents" "are discussed for" "polydisperse surface and mass" .
"H atoms of the NH and OH groups" "are involved in" "intermolecular hydrogen bonds" .
"centrosymmetric naphthoquinone moieties" "are connected by" "N mdash H" .
"water O atom" "lies on" "twofold rotation axis" .
"phosphide pentanickel" "has" "reliability factors" .
"ZnII atom" "is bonded in" "distorted octahedral arrangement" .
"arctangent function and rational functions" "being" "appropriate integers and r a distance" .
"Al atoms" "are compared with" "previous experimental measurements and theoretical calculations" .
"pyrazole ring" "makes" "tolyl and benzyl rings" .
"pattern formation" "have been" "idealized case" .
"proteolytically derived fragment of the enzyme consisting of residues 89" "has been" "catalytic activity" .
"Transmission electron microscopy" "revealed" "drastic change in particle shape" .
"previous report" "crystallized in" "monoclinic space group" .
"optical phase" "is adjusted to" "fundamental energy" .
"Overwhelming evidence" "improve" "atomic models" .
"each CuII ion" "has" "coordination environment" .
"perfluorophenyl groups" "form" "dihedral angle" .
"main interests in the molecular biosciences" "understanding" "structure ndash function" .
"osmium derivatives" "show" "emsp14  Aring  shrinkage" .
"Orthorhombic and monoclinic phases" "are optimized to" "zero pressure" .
"N interactions" "lead to" "supramolecular layers in the bc plane" .
"adjacent molecules" "are connected via" "mdash H" .
"electron density peaks" "is observed in" "vicinity of some atoms" .
"resolution of data" "been" "R factors" .
"N hydrogen bonds" "connect" "inversion dimers" .
"exposure time of 120 emsp14 ps" "obtained from" "single crystals of an indole alkaloid" .
"Bond lengths" "compared with" "published values" .
"mathematical algorithm" "generate" "whose Fourier amplitudes" .
"bromoacetyl group" "makes" "deg  with the anthracene ring system" .
"molecular structure" "is consolidated by" "mdash H" .
"intensity dislocations" "be brought into" "good agreement" .
"P atom" "exhibits" "distorted tetrahedral configuration" .
"method developed" "applied to" "powder pattern" .
"anomalous differences" "calculating" "the phase doublets" .
"phosphonoacetate carbonyl" "rotated" "ureido ring" .
"octahedral environment" "surrounded by" "O atoms" .
"anomalous scattering curves" "is presented" "protein  crystallographic studies" .
"computer architectures" "have been" "very large number" .
"title complex" "obtained" "hydrothermal conditions" .
"personal computer" "simplify" "development of the diffractometer measuring program" .
"CALPHA polyalanine model" "is found to" "approximately correct orientations" .
"picrate anions" "lie" "relative orientation" .
"Rocking curves" "are performed" "whose full widths at half maximum give a value of a few degrees for the misorientations of the planes" .
"tetrahedral phosphorus" "are linked by" "mdash H" .
"crystal structure" "are linked" "O mdash H" .
"Geometric parameters" "show" "unusual values" .
"coordination sphere" "is completed by" "O atom of a methanol molecule" .
"P atom" "has" "tetrahedral environment" .
"flexible nature" "bend" "complex formation" .
"theoretical inversion" "has" "approximate measurement of structure factor magnitudes" .
"benzene ring" "is twisted with" "dihedral angle" .
"related analysis" "has been" "flat molecule structures" .
"aromatic H atoms" "interact with" "methylene H atoms" .
"hydroxy group" "forms" "mdash H" .
"adenylylation of FMN" "using" "cubic crystals" .
"positions of the monomers" "confirming" "ring structure" .
"stepping motors" "designed as" "attachment for a horizontal  thgr" .
"translation initiation factor" "inhibits" "initiation of protein synthesis" .
"data for the structure" "were collected" "MoK alpha  radiation" .
"title compound" "crystallizes in" "monoclinic space group" .
"parameters of the model" "improve" "fit between model and experiment" .
"sampling method" "is derived from" "factorial approach" .
"thiocarbonohydrazide and methanol" "are linked by" "mdash H" .
"title compound" "features" "O mdash H" .
"ovis ecdysone receptor" "has been" "synthetic methylene" .
"Zn atoms" "are bridged by" "bidentate carboxylate groups" .
"ring junction H atoms" "is in" "glycosidic linkage" .
"histidine residue" "is observed in" "triad arrangement" .
"coumarin and phenyl" "form" "dihedral angle" .
"equatorial positions" "are occupied by" "N atom" .
"crystal structure" "involves" "mdash H" .
"structures of moderate complexity" "is provided" "crystallographic phase problem" .
"mixed oxides" "been" "the potential to improve the performance of these materials further" .
"hydrogen bonds" "link" "b axis" .
"periodic organization of the molecules" "is stabilized by" "weak C mdash H" .
"neutron diffraction study" "performed on" "diffraction lines" .
"aromatic ring" "bears" "ABC ring" .
"natural products" "have been" "simple phenyl group" .
"Lorentzian profiles and the resulting calculations" "show" "good fit with experiment" .
"title salt" "contains" "tetrachloridoferrate anion" .
"monocrystalline heterostructures" "be enhanced by" "extremely asymmetrical diffraction geometry" .
"entropy of an asymmetrical ensemble" "be increased by" "equivalent positions" .
"Structural comparisons" "reveal" "evolutionary connection" .
"crystal packing" "is consolidated by" "mdash H" .
"associated lipocalin" "have been" "precipitating agent" .
"supramolecular aggregation" "is completed by" "presence of C mdash H" .
"space group" "had" "asymmetric unit" .
"similar device" "been" "polychromatic experiments" .
"hydrogenation or dehydrogenation processes" "have developed" "situ hydrogen" .
"inversion dimers" "linked through" "mdash H" .
"structural changes" "using" "fetal hand" .
"rapid sample screening and data collection of crystals" "characterize" "membrane protein crystals" .
"chair conformation" "observed for" "monocyclic analogues" .
"molecular conformation" "features" "N mdash H" .
"peptide molecules in each layer" "are related" "very rare pattern" .
"title compound" "obtained as" "project focussing on the synthesis of carbolines" .
"theoretical inversion" "enabling" "direct observations" .
"polymer solutions" "applying" "distribution function" .
"CdII ion" "lies on" "rotation axis" .
"serine protease inhibitors" "are known to" "serine hydroxyl of the catalytic triad" .
"standard point" "enables" "quantitative comparison" .
"calculation experiments" "has been" "crystalline standard and Naphthalene" .
"CuI ions" "are in" "coordination environment" .
"amino H atom" "has" "intramolecular contact to a carbonyl O atom" .
"title dicarbonyl compound" "possesses" "local twofold symmetry" .
"cavity of an adjacent molecule" "gives" "c axis" .
"atomic models" "imposing" "strong constraints" .
"octahedral environment" "surrounded by" "two O atoms in the axial positions and four N atoms in the equatorial plane" .
"drastic change in particle shape after 64 emsp14 h of milling" "indicating" "existence of size" .
"adenylylation of FMN" "crystallized" "cubic crystals" .
"silicon monochromator" "studied under" "absorbed powers" .
"hydrogen bonds" "link" "organic cations" .
"genomes of coronaviruses" "are between" "known RNA viruses" .
"strain and damage profiles" "fit" "calculated curve" .
"IrIII atom" "is coordinated by" "S ligand" .
"alkoxide complexes" "proposed like" "good route" .
"crystal packing" "is effected through" "C mdash" .
"alpha  helices and  beta  sheets occurring in many protein structures" "starting" "fragments for structure solution in ACORN" .
"second example" "is in" "hydrogen ndash deuterium exchange" .
"proton transfer" "occurs from" "carboxylic acid group" .
"supramolecular aggregation" "is completed by" "C mdash H" .
"neutron instrument" "has" "advantages of neutrons" .
"MoVI atom" "is coordinated by" "O atoms" .
"Main dimensions" "include" "Cu mdash" .
"packing of compound" "has" "intermolecular O mdash H" .
"title compound" "comprises" "dinuclear complex molecules" .
"resolution of data" "been" "merging R factors" .
"transform ndash infrared spectroscopy" "determine" "crystal structure of the molecule" .
"CrIII ion" "has" "octahedral coordination geometry" .
"structure factors" "are calculated" "factors of O2 minus  and" .
"disorder of this loop" "be ascribed to" "missing salt bridge" .
"title compound" "adopt" "envelope conformations" .
"inversion center" "is coordinated by" "form of a Jahn ndash" .
"title compound" "contains" "three intramolecular interactions that stabilize the structure" .
"64 emsp14 h of milling" "indicating" "existence of size" .
"chelating NCCN groups" "subtend" "dihedral angle" .
"ndash  pi  interactions between neighboring acridinium cations" "produce" "stacks along the a axis" .
"form convenient" "are made with" "summation methods" .
"molecular geometry" "reveal" "ndash enol form" .
"proteasome forms barrel shape" "contains" "highly homological seven  alpha" .
"O atom" "are situated on" "twofold rotation axis" .
"sulfonamide group" "is involved in" "N mdash H" .
"sodium channels" "interacting with" "neurofascin and NrCAM" .
"absolute configuration of two newly created stereogenic centres" "understand" "facial selectivity of the addition" .
"cone conformation adopted by the macrocycle" "is stabilized by" "intramolecular hydrogen bonds" .
"disorder of this loop" "be ascribed to" "salt bridge" .
"Numerical results for some molecules" "showed" "differences in the obtained components of TLS" .
"sample orientation" "accumulating" "positron signals" .
"diffracting crystals" "belonged to" "space group" .
"biochemical activity and structural analysis" "suggest" "an inositol polyphosphate" .
"linear relationships between the molecules or fragments easily visualized" "be used to" "diagrams clearly displaying the molecular similarities and differences" .
"surface of the specimen" "deviating" "edge of the specimen" .
"point mutants" "is buried within" "deep cleft" .
"Nodaviridae family" "encodes" "viral protein" .
"atomic scattering factor of germanium" "has been" "Pendell ouml" .
"acid group" "adopts" "gauche conformation" .
"famotidine form" "has been" "powder diffraction data" .
"survey of a variety of heavy metals" "suggests" "large changes" .
"difference in the packing" "form" "screw axis" .
"rational functions" "being" "appropriate integers" .
"temperature range" "constructed to" "structural evolution" .
"title molecule" "exists in" "trans configuration" .
"structure ndash function relations" "plays" "major role" .
"oxalate ions" "give" "dinuclear Nd2 unit" .
"potential recognition sites of the two proteins" "suggesting" "similar negatively charged target" .
"title polymeric compound" "lies on" "center of inversion" .
"simple scheme" "is divided into" "optical phase" .
"secondary protein structure or disulphide bond configuration" "shows" "correlation with solvent accessibility" .
"asymmetric unit of the title compound" "is composed of" "independent molecules" .
"Crystals of pure potassium dihydrogen" "were grown from" "water solution by the slow evaporation method and their piezoelectric properties" .
"O atom" "occupies" "apical position" .
"hkl reflections" "leading to" "loss of intensity" .
"SAICAR synthase" "are involved in" "de novo" .
"differences in the obtained components of TLS" "lie within" "range of two standard deviations" .
"main interests in the molecular biosciences" "understanding" "structure ndash function relations" .
"crystal surface" "diffracted by" "planes inclined to the surface by  " .
"title compound" "is of" "point of view of catalysis" .
"structures of examined compounds" "reveal" "17 topological types of coordination" .
"dinuclear cation" "lies on" "inversion centre" .
"Crystal symmetry" "generates" "racemic mixture of the chiral organic molecules" .
"O hydrogen bonds" "link" "c axis" .
"base complexes" "form" "binuclear units" .
"trypsin digestion" "remove" "disordered portion" .
"general positions" "form" "special positions" .
"highest resolution" "adds to" "understanding of flap dynamics and drug resistance" .
"observed line defects" "carry" "distinct dislocation features running approximately along the  lang 1" .
"diyttrium heptaoxodisilicate" "has been" "centrosymmetric space" .
"synchrotron radiation" "based on" "crystal reflections" .
"sparteine ligand" "induce" "pseudotetrahedral environment" .
"benzene rings" "are oriented with" "naphthalene ring system" .
"diprotonated histidinium cations" "are linked by" "strong hydrogen bonds" .
"molecular packing" "is stabilized by" "mdash H" .
"Probabilistic formulae" "rescaled by" "empirical factors" .
"Various aspects" "were explored" "direct comparison" .
"entropy of an asymmetrical ensemble" "averaging" "equivalent positions" .
"topological density" "determining" "entire coordination sequence" .
"useful information" "be taken into" "interpretation and model" .
"parameter of the model" "has" "clear physical meaning" .
"Pincer complexes" "have been" "major focus" .
"procedures for alignment and measurement" "are given" "performance test with silicon crystals" .
"NiII atom" "is coordinated by" "two O and four N atoms" .
"powder diffraction data" "check" "successful application of the LOT method" .
"polygalacturonase A" "have been" "vapor diffusion methods" .
"experiment and individual" "monitor" "function of time" .
"saturation value" "is reached after" "severe milling" .
"coordination geometry" "has been" "neutron powder" .
"crystal structures" "shows" "small but distinct differences" .
"molecular dynamics" "generate" "novel insights" .
"cations and anions" "linked via" "mdash H" .
"possible phase transitions on cooling and compression" "polarized" "Raman spectroscopy" .
"Many explanations" "have been given" "consensus among the scientific community" .
"significance of this study" "lies in" "crystal structures" .
"two wave points on the same branch of the dispersion surface" "produce" "beating in the diffracted intensity" .
"gastric mucosa of human stomach" "depends on" "helical cell shape" .
"long axis of the molecules" "connect" "ribbons parallel to the a axis" .
"selenomethionine labelling of point mutants" "is buried within" "deep cleft of the AP2 complex" .
"scattering curves" "is presented" "crystallographic studies" .
"title compound" "exists as" "extended conformer" .
"Intermolecular hydrogen bonds" "stabilize" "crystal structure" .
"anomalous substructure" "be found in" "the expected map quality that would be obtained if the substructure were found" .
"counting rate" "determined to" "counting loss" .
"photographic intensity" "reviewed" "ndash  photometry" .
"combination of complementary characterization techniques" "including including" "Hot Stage microscopy and solubility measurements" .
"nonparametric kernel density" "implemented to" "multiple parameters" .
"triazole ring" "carries" "methyl and ethoxycarbonyl groups" .
"crystallization cocktails" "requires" "new cocktails" .
"crystal structure" "are linked" "intermolecular O mdash H" .
"Laue spots" "is discussed on" "temperature and other factors" .
"title compound" "crystallizes" "asymmetric unit" .
"detuning technique" "found to" "number of periods of the undulator" .
"title complex" "has" "centre of symmetry" .
"title salt" "is built up" "quinolizidine moieties" .
"performance of this method" "using" "human expert and the concordance rate" .
"crystal structure of the title complex" "consists of" "extended layers" .
"mdash H atoms" "contrasts" "anti disposition in the orthorhombic form" .
"aromatic residue" "creating" "oxygen bind" .
"tetraphenylphosphonium cations" "reside within" "polymeric anion" .
"title complex" "prepared as" "possible precursor" .
"pi  interactions" "contribute to" "stability of the crystal packing" .
"molecular shape" "has" "rotator phase" .
"thin walls difficult" "dry" "first place" .
"EXAFS analysis" "revealed" "low luminescence" .
"points of best fit between pairs of lattices" "is formulated in" "higher dimensions" .
"crystal structure" "adopt" "pi  ndash  pi  " .
"S atom" "is bonded in" "tetrahedral geometry" .
"methylphenyl rings" "are oriented" "piperidone plane" .
"commercial crystal screen" "using" "actual commercial screen" .
"indole ring systems" "deviate" "dihedral angles" .
"crystal structure" "is stabilized by" "aromatic  pi  " .
"scattering data" "developed to" "phase transitions" .
"title compound" "obtained as" "desired tosylated compound" .
"novel JmjC domain" "identified in" "regulation network of Osx" .
"up to 24 molecules in the unit cell" "described" "centrosymmetric space groups" .
"periplasmic protein" "plays" "important role" .
"directional interactions" "join" "centrosymmetric dimers" .
"curved crystals" "has been" "computer simulation" .
"oppositely charged partners" "is required for" "functional structures" .
"current study" "reports" "both apo VatD and a VatD ndash desferrioxamine B ndash Fe3" .
"best case" "allowed" "average length of the built fragments" .
"Pi sampling method" "has been" "screen formulations and recipes" .
"electronic energy" "plays" "prominent role" .
"Erbium dinickel disilicide" "crystallizes in" "tetragonal ThCr2Si2 structure type" .
"crystal packing" "is stabilized by" "intermolecular C mdash H" .
"phosphide pentanickel tetraphosphide" "leading to" "improved reliability factors" .
"features of the initial map" "is investigated in" "limits of the resulting procedure" .
"size distributions" "are compared with" "transmission electron microscopy" .
"type of structure" "presenting" "selective separations" .
"Serial femtosecond crystallography" "collecting" "polycrystalline samples" .
"modified DNA" "facilitate" "biological function" .
"crystal structure" "consists of" "discrete molecules" .
"O hydrogen bonds and the packing" "exhibits" "pi  ndash  pi  interactions" .
"repulsive parameter between the Cl and K ions" "decides" "space group" .
"test calculations" "obtain" "errors in the data" .
"categorization process" "using" "discriminant analysis" .
"disorder for paracrystalline materials" "is presented" "spiral paracrystal and distortion of the lattice cells" .
"abnormal vision" "has been" "alternative splicing" .
"phenomenon on dose calculations" "are presented for" "uranium derivatised protein" .
"present report" "is made to" "single line defects" .
"bulk modulus of the two polymorphs" "calculated on" "basis of the volumetric compressibility" .
"Methylated cytosine of CpG dinucleotides in vertebrates" "be oxidized by" "Tet proteins" .
"CALPHA polyalanine model" "provide" "approximately correct orientations" .
"binding sites" "based on" "anomalous intensity differences" .
"charge balance" "achieved by" "pyridyl functions" .
"title compound" "are linked across" "C mdash C distance" .
"propionic acid group" "adopts" "gauche conformation" .
"N mdash H bonds" "are anti" "sulfonyl benzene rings" .
"Pd atom" "lies on" "centre of symmetry" .
"refined structure" "is described in" "antiferroelectric modulation" .
"N atoms from the N4 plane" "displaced from" "O atom" .
"trityl propeller" "bisects" "phenyl rings" .
"molecular weight" "were expressed as" "Escherichia coli" .
"cell lengths" "compared with" "Cmcm structure" .
"The cullin E3 ligase complexes are the most abundant class of E3 ligases" "contain" "cullin components" .
"recent times" "have been" "nature of chemical species present in 2D and 3D" .
"for example texture" "govern" "important physical properties" .
"amino group" "is formed by" "isocyanide groups" .
"metal centre" "is in" "coordination geometry" .
"Our results" "suggest" "relatively small perturbations at the dimer interface" .
"probabilistic approach" "used by" "preceding paper" .
"screening and data collection of crystals" "characterize" "membrane protein crystals" .
"crystal packing" "is stabilized by" "intermolecular O mdash H" .
"Maximally diverse conditions" "be produced by" "the chemicals used in the formulation and the nbsp concentrations of the corresponding solutions" .
"octahedral coordination" "is completed by" "chloride ion" .
"amino H" "has" "intramolecular contact" .
"trityl groups" "show" "anti orientation" .
"molecular structure" "is stabilized by" "intramolecular C mdash H" .
"recombinant enzyme" "using" "emsp14  Aring  resolution" .
"N hydrogen bond" "exhibits" "slightly distorted chair conformation" .
"phase information" "be used to" "comparison with the measured reflectivity" .
"recent times" "characterize" "chemical species present in 2D and 3D" .
"archaeabacterial TIMs" "compared with" "dimeric TIMs" .
"protein complex" "identify" "correct solutions" .
"crystal structure" "be described as" "alternation of cationic and anionic layers" .
"O hydrogen bond" "stabilizes" "molecular conformation" .
"adjacent molecules" "are connected via" "intermolecular C mdash H" .
"asymmetric unit of the title compound" "contains" "pentacoordinate ZnII complex molecules" .
"plot method" "is shown" "B factor" .
"deaminase product" "is reported at" "emsp14  Aring  resolution" .
"apical positions" "investigated for" "bis complexes" .
"atom values" "shows" "trigonal regions" .
"N bond" "lying at" "inversion center" .
"each CuII ion" "has" "pyramidal coordination environment" .
"Relative phases" "are determined with" "mean accuracy" .
"MnII ion" "approximates" "octahedral geometry" .
"centre of inversion" "exists in" "octahedral geometry" .
"cyclization product" "soaking" "density map" .
"starting material" "are removed from" "Si atom" .
"near isotropic saturation value" "is reached after" "severe milling" .
"energies just above the absorption" "edges" "present values" .
"O interactions" "link" "stabilization of the crystal structure" .
"adenylylation of FMN" "has been" "cubic crystals" .
"Inhibition of D" "represent" "novel therapeutic approach" .
"Si framework" "be described as" "sphere packing" .
"SANS spectrum" "indicates" "broad size distribution of pores and the absence of volume fractality" .
"Crystals of the title compound" "contain" "one molecule per asymmetric unit" .
